{'短评内容': '承包出去的，和小旅社一样，不想上当，就不要订', '短评打分': 2}
{'短评内容': '周边环境很好，宾馆内部装修需要升级改造，入住率还会提升的', '短评打分': 5}
{'短评内容': '交通方便。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '酒店装修很老了，下水不畅，房间有股霉味，应该翻新装修了 ', '短评打分': 4}
{'短评内容': '很旧很旧的，勉强住还行', '短评打分': 3}
{'短评内容': '还好！安静！', '短评打分': 4}
{'短评内容': '地理位置好，房间装修老式，价格便宜，个人觉得性价比高。', '短评打分': 5}
{'短评内容': '老板人很好 房间大但是气味很重 设施很旧 ', '短评打分': 3}
{'短评内容': '好极了，价格便宜！', '短评打分': 5}
{'短评内容': '酒店太旧，周边环境不错，这个价格只能接受', '短评打分': 3}
{'短评内容': '霉味浓', '短评打分': 2}
{'短评内容': '一般般吧！房比较旧的', '短评打分': 3}
{'短评内容': '除了地理位置好之外，其他不怎么样。缺点有：  1、设施陈旧；  2、服务一般，打电话想加张被子都没有！  3、还有蚊子，最气愤的是蚊子不咬人，你说它要是咬人的话，晚上吃饱了就不嗡嗡叫了！它就不吃，就围着你嗡嗡叫，你没辙吧！？只能晚上开着灯睡觉，老婆和我都没睡好！    以上缺点，请改进！', '短评打分': 3}
{'短评内容': '这个酒店挂羊头卖狗肉，是不是真正的这个名字的酒店，很难找到，在那个小巷子里！床铺脏，地板那个比厕所都恶心，还有臭味！尽然还有青蛙！我一晚上都不敢睡觉！', '短评打分': 1}
