{'descr': '这里非常好，下次再来', 'star': 5}
{'descr': '没有在宾馆吃早餐，因为周边有几个早点店，还是不错的。有停车场，但是车位不是很多。房间采光差了点，其他还行。', 'star': 5}
{'descr': '整体还不错，比较实惠', 'star': 5}
{'descr': '隔音效果超级差，隔壁的声音一直传过来，刚有睡意就被吵醒，刚有睡意就被吵醒，三番两次后终于失眠，极其痛苦的一晚上。', 'star': 3}
{'descr': '性价比可以', 'star': 5}
{'descr': '老人家很满意，设施全，交通方便', 'star': 5}
{'descr': 'good', 'star': 5}
{'descr': '酒店设施一般，房间好几个灯坏的，洗脸的时候脸盆下面的水管还掉了，地上一滩水，差点摔跤。去动物园跟海洋馆蛮方便的', 'star': 3}
{'descr': '很干净 很安静 很满意', 'star': 5}
{'descr': '是我住过的最差的格林豪泰，没有之一。值得一提的是，卫生我打10分，我是说如果满分100分的话。', 'star': 2}
{'descr': '房间干净，服务态度良好，唯一的缺点是因为酒店位于交叉路口，车辆声音比较响。', 'star': 3}
{'descr': '停车方便。闹中有静。服务质量好。设施齐全。符合房价。', 'star': 4}
{'descr': '环境不错', 'star': 5}
{'descr': '位置不错，服务很好，环境卫生都不错，值得推荐！', 'star': 5}
{'descr': '挺好的，干净舒适', 'star': 5}
{'descr': '很吵', 'star': 3}
{'descr': '服务比较好，停车也很方便。附近有超市。很好的', 'star': 5}
{'descr': '该酒店设施比较新好像是新开业的，房间也挺大的，周边吃饭很方便，下次我还会选择。', 'star': 5}
{'descr': '总的来说酒店住宿还可以，但早餐是在旁边的一个饭店，那个饭店的服务非常差。', 'star': 1}
{'descr': '酒店有异味 自助早餐非常差', 'star': 3}
{'descr': '虽然服务不错，但是装修的味道重，睡觉不爽！！', 'star': 1}
{'descr': '新开的房间环境很好，服务态度不错。4楼在装修，白天有点吵', 'star': 5}
