{'短评内容': '位置离厦鼓码头很近', '短评打分': 4}
{'短评内容': '卫生间和淋浴间分开间隔，会使房间湿沥沥，这个设置比较不喜欢，其他都可以，走一小段路就有公车站，去厦大和渡轮中心的车都有，坐一个站就可以渡轮了。我们第二天早上去鼓浪屿非常近并且方便。', '短评打分': 5}
{'短评内容': 'Wi-Fi 从头到尾都不能用', '短评打分': 3}
{'短评内容': '隔音不行，装修有点老了', '短评打分': 5}
{'短评内容': '酒店不错，挺好', '短评打分': 5}
{'短评内容': '房间超值', '短评打分': 5}
{'短评内容': '酒店一般，设备较旧，早餐极差，', '短评打分': 3}
{'短评内容': '酒店附近公交车有多条线路，去厦门各个景点非常方便。从酒店到厦鼓码头步行只需10分钟。周围饭店超市都有，非常方便，满意！服务周到，酒店的早餐很难吃，早餐卫生环境也一般，自己买了榨菜吃了粥。总体还可以。性价比挺高的。', '短评打分': 5}
{'短评内容': '还行，交通挺方便的', '短评打分': 3}
{'短评内容': '干净卫生 房间也大 价格又不贵 总体来说满意', '短评打分': 5}
{'短评内容': '就厕所有纸、床头没有纸巾、其它还行吧！', '短评打分': 3}
{'短评内容': '酒店离东渡码头较近,从鼓浪屿回来入住很方便,卫生、设施都挺好,去中山路、厦大的公交车离酒店也很近,服务也不错,早餐较简单,推荐入住。', '短评打分': 5}
{'短评内容': '距离轮渡码头很近，很方便，走着就过去了', '短评打分': 5}
{'短评内容': '差得不行 洗手间跟鬼屋一样！被子又脏又尘，没有第二次. 被女朋友骂死', '短评打分': 2}
{'短评内容': '总体而言还是可以的！我挺喜欢的！', '短评打分': 4}
{'短评内容': '国庆的时候订的酒店，真的一般性，床太软，设施太久！', '短评打分': 3}
{'短评内容': '酒店内还比较干净 就是早餐不咋的  不过总体来说还好   ', '短评打分': 4}
{'短评内容': '酒店设施、服务都挺好的，就是位置差一点。', '短评打分': 5}
{'短评内容': '位置还可以，就是去的时候在修路，', '短评打分': 4}
{'短评内容': '一直住的这个酒店，挺好的', '短评打分': 5}
{'短评内容': '还不错，较干净', '短评打分': 3}
{'短评内容': '  总的来说东渡的这家都市精品酒店性价比是很不错的。详细地说一说优缺点：\n1，酒店的复式房369，除去101的返现，258每天送两瓶矿泉水，价格很实惠。\n2，酒店送两份早餐，因为比较喜欢中式早餐，个人觉得早餐还蛮好的，有炒饭炒粉，稀饭馒头卤蛋，还有很多小菜。\n3，复式房装修不错，有家的感觉，两台液晶电视，一台电脑。面积还算大，厕所和沐浴分开，干湿分离。客厅有沙发茶几，还有一套茶具茶座。\n4，卧室在', '短评打分': 5}
{'短评内容': '几年前住过，这次是帮家人定的，反馈下来还不错', '短评打分': 5}
{'短评内容': '房间宽敞，酒店也很干净，离机场也很近，很满意！', '短评打分': 5}
{'短评内容': '很满意的酒店。前台办理入住很快，客房服务也很好，有矿泉水送；房间干净舒适！酒店在路边标识很明显所以对初次到厦门的朋友来说很好找，停车也方便面。', '短评打分': 5}
{'短评内容': '硬件都不错，就是有点潮。 早餐能多点就好了', '短评打分': 5}
{'短评内容': '该酒店内部环境好，地理位置好，服务态度也好', '短评打分': 5}
{'短评内容': '不错，挺干净的，也挺安静。交通也很便利。', '短评打分': 3}
{'短评内容': '交通比较方便 酒店附近就有公交车站 房间很大 就是不喜欢拖鞋是重复使用的 最好有一次性的 感觉方便 ', '短评打分': 5}
{'短评内容': '照片拍的是好的。其实房间没有照片里面的那么的大。不过也还是挺大的。\n酒店不错，早上还有早餐。嘿嘿。', '短评打分': 5}
{'短评内容': '本来要拍照的，后来实在没时间。开始因为住的汉庭房间太小，所以才换这家的。后来发现选择是对的。交通还方便，出门走3分钟是公交车站，去轮渡、南普陀寺、胡里山炮台都都有公交。去轮渡码头大概15分钟的公交车程。去厦门北站要先坐到开禾路口再换快速公交，也挺方便。酒店房间还算大，比竟这种旅游胜地，那种快捷酒店房间都很小的。装修风格也还好，都挺舒适的，最主要是服务员很热情，态度很好，有问题马上给解决了。\n缺点是', '短评打分': 5}
{'短评内容': '环境不错，房间还不错，快捷酒店里算不错的。', '短评打分': 5}
{'短评内容': '还不错、就是房间位置不好\n好像网上定的房间位置都不好 ', '短评打分': 5}
{'短评内容': '，酒店很方便，条件还可以', '短评打分': 3}
{'短评内容': '酒店的价格较合理装修也不错除了电脑确实不给力之外……但玩儿的这几天也帮了不少忙所以还是给了好评 交通也比较便利  走不远就有公交站  总体来说比较合算也很不错 ', '短评打分': 5}
{'短评内容': '    地理位置很好，去轮渡，去火车站，公共汽车和打的都很方便。房间也挺大的,有电脑（但系统不好操作）， 装修比较时尚，比较干净整洁，相当于三星级酒店。', '短评打分': 5}
{'短评内容': '都还好吧早餐也可以吧 不是丰富但是很可口！应该是厨子不错，晚上在哪里吃也不错 还不贵 点了四五个菜还不到一百！很好吃还！', '短评打分': 5}
{'短评内容': '设施简单，类似快捷酒店的布置。没有什么显著特点。', '短评打分': 5}
{'短评内容': '交通比较方便，有许多公交到轮渡，也有车直达厦大。复式房一进去有给人耳目一新的感觉，由于床在楼上，房间就显得挺大，洗澡间也大。不足的地方就是，楼上睡觉的地方的温度要比楼下高很多，似乎有空调吹不进感觉。另外，厦门的人还是比较文明的，一上车均会给老人让坐。', '短评打分': 5}
{'短评内容': '虽然外观不是富丽堂皇，内部还是可以的，住的是复式间，比想象中的小了一点，不过也不错哦，推荐一下。', '短评打分': 5}
{'短评内容': '该酒店在厦门算性价比高，房间比较安静，周边交通方便。', '短评打分': 5}
{'短评内容': '酒店的环境卫生还是挺不错，服务态度也很好，值得推荐\n', '短评打分': 5}
{'短评内容': '酒店什么都好  就是早餐是在太差  一定要改进', '短评打分': 5}
{'短评内容': '酒店的环境卫生还是挺不错，服务态度也很好，值得推荐', '短评打分': 5}
{'短评内容': '环境还不错吧，感觉还可以，价格不贵，居家旅行必备之地', '短评打分': 5}
{'短评内容': '有个客人每次来厦门都要住这家酒店。 便宜干净环境也还成', '短评打分': 5}
{'短评内容': '很经常住这家酒店。 装修挺时尚的。 也干净。 性价比高', '短评打分': 5}
{'短评内容': '性价比很高的酒店。 装修也很时尚. 附近交通也挺便利', '短评打分': 5}
{'短评内容': '房间大小可以清洁尤其是床垫很舒服!但早餐太差了还说中西餐…', '短评打分': 3}
{'短评内容': '中规中矩的酒店，不过我不喜欢问房间的那种味道。\n总体还是可以的。', '短评打分': 5}
{'短评内容': '非常方便的一家酒店，离各大景点都非常近，下次来厦门还要住（就是早餐不太好）', '短评打分': 5}
{'短评内容': '酒店很不错 很干净 前台服务态度很好 很热情 感觉各方面都不错 早餐没有去吃所以不知道如何', '短评打分': 3}
{'短评内容': '总体环境不错，早餐需要提高，需要服务费应该注明', '短评打分': 5}
{'短评内容': '酒店设施不错，服务员很贴心，住的很开心。但是早餐就算了吧，还不如直接说没有的好，这样的早餐会减分的', '短评打分': 5}
{'短评内容': '很不错的酒店，房间大设施新，服务员更好，只是早餐太差了。', '短评打分': 5}
{'短评内容': '很不错的酒店，是这几天住的最好的，希望下次去还能住那里', '短评打分': 5}
{'短评内容': '还不错    就是贵了一点？', '短评打分': 3}
{'短评内容': '很干净的酒店，交通非常便捷，环境也很好，性价比很高。如果有机会再去厦门，还是会选择这家，', '短评打分': 5}
{'短评内容': '裝修尚可, 但早餐極差, 希望重視一下吃的需求', '短评打分': 5}
{'短评内容': '硬件还ok  软件有待提高 （－.提前一周订三间房,安排不同的楼层。二,早上退房时遇上团队,前台只有－人,足足恭侯三十分钟才完成手续）', '短评打分': 5}
{'短评内容': '装修比较新，且交通比较方便，挺适合年轻人住的', '短评打分': 5}
{'短评内容': '離公交車站近,出門方便. 但房屋一進去有味道,', '短评打分': 5}
{'短评内容': '住的复式大床房。前台MM满热情的，值得推荐', '短评打分': 5}
{'短评内容': '一般，房间很潮湿。', '短评打分': 3}
{'短评内容': '原来我们订的是豪华双人房，没有想到酒店给我们免费升级为价格350元的精品复式双人房（可能是豪华双人房没有了），白赚了至少70元，空间很大，设计很不错，感觉很舒服，装修很新、很时尚，我的新家想参考他们的颜色和格调，地点还可以，不是很远。早餐的内容就一般过得去了。', '短评打分': 5}
{'短评内容': '比较居家的感觉，干净，早点可以，方便出行！', '短评打分': 5}
