{'短评内容': '服务挺热心的', '短评打分': 5}
{'短评内容': '都很好，就是门口在修地铁，不好找。', '短评打分': 5}
{'短评内容': '提供早餐，位置很好，有停车场', '短评打分': 5}
{'短评内容': '我是真的很想你', '短评打分': 5}
{'短评内容': '环境还可以，套房也挺大的，就是没看见小冰箱啊，酒店门口修地铁，不好找，早餐还行，水果也挺丰富的，炒菜欠缺些', '短评打分': 4}
{'短评内容': '之前的酒店没房间了，这个也不错', '短评打分': 5}
{'短评内容': '环境很好，早餐时间7:30-9:00', '短评打分': 5}
{'短评内容': '洗涑用品和洗发水、沐浴露的质量让人担忧', '短评打分': 3}
{'短评内容': '拖鞋太薄，洗发水和沐浴露应该是买的散装的，质量让人担忧。360一晚的价格，提供的用品总成本不到10块钱……', '短评打分': 3}
{'短评内容': '就在云南大学滇池学院旁边，上去考试，挺方便的。房间干净，就是住在二楼，外面空调机有点响。', '短评打分': 5}
{'短评内容': '地理位置好，房间里地毯不是很干净，有待改进', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间很干净，环境很好，很安静，价格也可以', '短评打分': 4}
{'短评内容': '每次去都住的套房 性价比挺高的 酒店不新了 但住起来各种设施还有周边环境还是很满意', '短评打分': 5}
{'短评内容': '不错，住了几次', '短评打分': 5}
