{'descr': '有点老了', 'star': 3}
{'descr': '没有早餐，环境还行', 'star': 5}
{'descr': '很好很不错很棒', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '非常不错', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '每次来牡丹江都会住这里，从2012年到现在 一如既往地好，赞一个', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '还不错，蛮好的，很方便', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': '外边太吵睡不着觉，灯光太暗', 'star': 3}
{'descr': '这个位置在饭店后面 稍微有点吵 不过服务生还是很有礼貌 环境卫生还可以', 'star': 3}
{'descr': '住宿环境不错，主要是交通方便，吃饭、购物都方便。', 'star': 3}
{'descr': '连灯都没有，窗外恐怖，楼层低，墙面脏，', 'star': 3}
{'descr': '床很大，离步行街近，出行方便', 'star': 3}
{'descr': '地理位置优越，我住的是家庭房，房间挺大的，也很干净，让人很满意，下次还住这。值得推荐！！', 'star': 3}
{'descr': '地理位置不错，              旁边就是步行街,', 'star': 5}
{'descr': '地理位置不错，旁边就是步行街；房间比较大；还算干净', 'star': 5}
