{'短评内容': '房间拥挤，灯光昏暗，设施老旧。', '短评打分': 2}
{'短评内容': '停车不方便，房间大，选择它是因为它和复兴路近，最近有工作在那', '短评打分': 4}
{'短评内容': '酒店算是不错了这个价格，环境可以接受，靠近步行街交通方便。', '短评打分': 5}
{'短评内容': '还不错哟～', '短评打分': 5}
{'短评内容': '位置不错，没停车场，中规中矩', '短评打分': 5}
{'短评内容': '在韶关来说99就有点贵', '短评打分': 3}
{'短评内容': '酒店房间太小，进去看了下就想出来退房，一颗星都不想给', '短评打分': 1}
{'短评内容': '第一次来住，不错还可以，', '短评打分': 5}
{'短评内容': '楼下车很吵，无法睡', '短评打分': 4}
{'短评内容': '太吵了一晚没睡', '短评打分': 4}
{'短评内容': '呵呵还可以', '短评打分': 5}
{'短评内容': '挺好和很好', '短评打分': 5}
{'短评内容': '感觉一般，设施比较旧，房间又小。', '短评打分': 4}
{'短评内容': '提前一个多月订的房间，还算满意，位置适中，卫生干净，就是服务不太合意。在到店的当天，前台说还要交押金500，好吧可以理解，给了，问有否收据，前台说没有，在第二天退房时就会一并退款的。但是，到了第二天早上准备出发去徒步，办理退房时，人已经换了，问押金的事，不知道她是否不清楚还算怎样，说没有，一下子就气了：都是前一天晚上问您们拿收据，才好在退款时清晰，现在跟我们说没有？后来，那前台好好查询后，又说有了', '短评打分': 4}
{'短评内容': '环境不错，离市区近，方便', '短评打分': 4}
{'短评内容': '非常舒服', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '住路边比较吵 停车不方便', '短评打分': 4}
{'短评内容': '可以。', '短评打分': 3}
{'短评内容': '房间挺干净的，而且离火车站近，非常容易找', '短评打分': 5}
{'短评内容': '我最看重的是环境是否整洁，还是比较满意的，性价比高，如果退房时间可以和会员一样好了。', '短评打分': 5}
{'短评内容': '这酒店总体上还是挺不错的，但是有一些细节问题没有做到十分到位，例如，客人续住以后换床单。。。', '短评打分': 5}
{'短评内容': '整体还不错，但是我住的602房间太小了，比其他房间小多了。洗手间的下水道口很臭，看换气扇都不行。', '短评打分': 5}
{'短评内容': '房間比較細, 浴室去水處有臭味, 但服務員很好, 介紹晚上娛樂, karaoke方向, check out 時建議我們打的去火車站等  ', '短评打分': 5}
{'短评内容': '环境不错，挺温馨的', '短评打分': 3}
{'短评内容': '就在步行街旁边比较方便，房间很简单，很简单，凑合住是挺不错的！', '短评打分': 5}
{'短评内容': '酒店设施齐全,价位合理,可以作为自组游的选择之一', '短评打分': 5}
{'短评内容': '酒店交通很方便,服務員態度也很好,但房間有異味,每天外出後都有廁所味,暖氣也不够.另外不知何故walk in 比網上預訂的便宜.算了吧,不訂也訂了.', '短评打分': 1}
{'短评内容': '性价比较高，吹风机可以借，有一次性用品，不像七天，空间也比较大', '短评打分': 5}
{'短评内容': '酒店服务态度还不错！', '短评打分': 3}
{'短评内容': '离步行街很近，酒店走出去没多久就到了。吃的买的，都很方便。酒店服务也不错。就是房间小了点，而且淋浴和座厕没有隔断有点不方便。', '短评打分': 5}
{'短评内容': '酒店一般，价格偏贵，里面好比较干净，地理位置好。', '短评打分': 5}
{'短评内容': '一家很不错的酒店，环境相对很好，离市中心也很近，很方便吃饭和购物。我在那住了两天，有点不足的是，电视比较小，其他的还都ok', '短评打分': 5}
{'短评内容': '酒店位于文化街与解放路交汇处，邻近风度广场、商业步行街、火车站，购物、出行便利；但酒店没有停车位，需要将车放在店门前的路边，8点-22点每小时要4元钱，超贵，并且酒店不承担，客户自掏。7楼的豪华大床房，房内设施极度简单，临路边，吵得睡不着觉！不会再去了...', '短评打分': 1}
{'短评内容': '各方面还差不多，但我在三楼也水压不足。实在有点过份。', '短评打分': 1}
{'短评内容': 'I found this hotel clean and tidy, both room and lobby. 推荐这家酒店', '短评打分': 5}
{'短评内容': '房间总体情况装修算号，给的房间进去住后很臭，而且洗澡的那里，排水的地方塞住了，只住了以往....而且晚上还很吵，隔壁房间不知道在弄什么，好像在修房间。很无语', '短评打分': 1}
{'短评内容': ' 不错，挺好的', '短评打分': 3}
{'短评内容': '我住807房。地理位置不错，房间也挺干净的。就是打市话要10元/天，我不需要打那么多啊，这个有点不方便。请考虑更改。', '短评打分': 5}
{'短评内容': '不错  第二次入住了   装修满意 设施OK  就是没有排插啊  充电啊  手提电脑十分不便  上次来也是这个问题   望能尽快改善', '短评打分': 5}
{'短评内容': '不好不坏，普通的连锁酒店感觉。不过装修工程不到位，洗手间门框做错了，门板装不上所以没有门。', '短评打分': 5}
{'短评内容': '交通方便，离火车站近，打车未跳表。房间干净，舒适，服务态度很好，我们需要吹风机和枕头、厕纸之类的东西，打电话去总台，很快就送来了！该店离江边很近，晚上可以散散步吹吹风。虽然房间全部向马路，有一些噪音，但还可忍受，不算太吵。', '短评打分': 5}
{'短评内容': '总体环境很好。地漏有点问题，问前台后被告知需要自己将地漏盖子拿掉，洗澡水才能顺利流下去。', '短评打分': 5}
{'短评内容': '房间非常宽敞、整洁、干净、明亮。酒店虽然在大街旁，但窗户的隔音系统非常好。\n酒店的服务和态度更令值得赞叹！赞赞赞！', '短评打分': 5}
{'短评内容': '房间还是很干净的，服务还是挺不错的 ，就是房间小了点 ', '短评打分': 5}
{'短评内容': '都蛮好的 就是房间小了点，为什么网上订的 就不给个大房？自己去的就有大房？', '短评打分': 5}
{'短评内容': '酒店环境不错  客房舒适宽敞  不过电视太小了，而且房费有点贵  希望改善', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '进入酒店整体感觉不错，房间也宽敞，不知道是不是新增加的部分，房间所有设备都很新，性价比可以的，唯一不足的是卫生间比较窄', '短评打分': 5}
{'短评内容': '环境还不错，主要是旁边就是步行街，前台小姐很漂亮，态度也不错，不过这家酒店离火车站还有两个公交站的距离啊。', '短评打分': 5}
{'短评内容': '邻近步行街 交通很方便。房间舒适卫生 下次还会去！', '短评打分': 5}
{'短评内容': '干净舒适 邻近步行街 交通方便 实惠经济', '短评打分': 5}
{'短评内容': '干净 性价比高  服务挺热情  就是床有点硬  卫生间干湿不分 靠近解放路的有点吵', '短评打分': 5}
{'短评内容': '很不错，最大的优点是很干净很干净，花洒很好用，前台mm挺pp，缺点是床有点硬。。', '短评打分': 5}
{'短评内容': '酒店还不错 很干净 花洒很好用 就是床有点硬', '短评打分': 3}
{'短评内容': '酒店位置不错虽然晚上看牌子不大但比较好找，下火车直接有公交车到解放路，酒店环境还可以，性价比比较高。', '短评打分': 5}
{'短评内容': '设备比如家酒店差。干湿不分，。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '不错，就是房间里的插座少了点，万能充还得插到卫生间里去。。。工作台那里只有一个插座，郁闷，怎么用？', '短评打分': 1}
{'短评内容': '房间比风采路分店大很多，浴室的水也比风采路的大，除了装饰，觉得比风采路的好...', '短评打分': 5}
{'短评内容': '房间干净，设施比较全，作为出门的便捷旅馆很适合', '短评打分': 5}
{'短评内容': '地理位置非常好，设施也都很新，缺点就是椅子少了点。床上只有一个枕头。', '短评打分': 5}
{'短评内容': '地理位置不错，周边吃饭购物出行都很方便，这里的服务很不错，周到热情，性价比也很高', '短评打分': 5}
{'短评内容': '酒店服务不错，靠近步行街，出行方便，房间布置的比较温馨，住宿环境很不错', '短评打分': 5}
{'短评内容': '距离商业街很近的酒店，房间装修的很舒服，服务一般，价格合适', '短评打分': 3}
{'短评内容': '挺干净的，地理位置也好，吃饭购物很方便。唯一就是离马路太近，稍稍有点吵。还能接受。\n前台态度超级好，服务员的笑容给人印象很深刻，很舒服。另外很有诚信，100分。\n', '短评打分': 5}
{'短评内容': '酒店的位置不错出行也很方便离商业街都很近，房间装修也很好比较新住着也很舒服，价格很不错性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '还好，就是有一点点吵。晚上稍微好一些。屋子也不小，足够了', '短评打分': 5}
{'短评内容': '前台服务漫不经心，卫生间太小，感觉太压抑。', '短评打分': 5}
{'短评内容': '很新，服务好，近步行街，交通便利！', '短评打分': 3}
{'短评内容': '路边比较吵  停车不方便', '短评打分': 3}
