{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 5}
{'短评内容': '很好有停车场', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ', '短评打分': 5}
{'短评内容': '，，，，，，', '短评打分': 5}
{'短评内容': '还可以，这个交通，价位', '短评打分': 3}
{'短评内容': '洗澡没热水电视打不开', '短评打分': 2}
{'短评内容': '设备旧了点，其他还不错', '短评打分': 5}
{'短评内容': '酒店很好，干净卫生，下次陆续入住！', '短评打分': 5}
{'短评内容': '设备老点没关系，床上也老，旧的不想躺进去。', '短评打分': 2}
{'短评内容': '房间一般，酒店时间太常，地砖味道很大', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '价格便宜门面可以，性价比高', '短评打分': 3}
