{'短评内容': '还不错的酒店哦！很干净。交通也很方便。。。。。', '短评打分': 5}
{'短评内容': '离汽车站和火车站都很近，很方便。整体环境也不错。就是大楼顶的招牌字夜晚灯光不亮，害我好找啊。', '短评打分': 5}
{'短评内容': '158返51的双人间，算下来107一晚，性价比还是很高的。房间设施还算可以，就是空调不够冷，最低大概也就28度左右吧。早餐一般，基本是素食，有鸡蛋，奶是冲的，不过这个早餐也对得起107的价格了。\n\n这酒店如果按158的价格，那可以选择的还有很多，不值这价，107的话确实很实惠', '短评打分': 5}
{'短评内容': '整体还可以，这个价格值了。就是早餐有待改善。', '短评打分': 5}
{'短评内容': '服务很好，以后有机会还会来的哦，希望以后更加好的服务', '短评打分': 5}
{'短评内容': '酒店位置很好，离常州火车站、常州汽车客运总站步行只要10分钟，但是又很安静。酒店内部设施有点旧，但是很齐全，有种老国营酒店的感觉。早餐自助的品种并不算丰富，但是总比没有好吧。推荐来常州旅游或差旅的朋友入住。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '环境很好 房间也很舒服 去的时候单人房没有了 还免费升级电脑房 ', '短评打分': 5}
{'短评内容': '28元的早餐太差了点~总体来说对的起这价格~还可以！', '短评打分': 5}
{'短评内容': '整体感觉不错，服务蛮好，房间也不错，够大，就是空调有点不给力！', '短评打分': 5}
{'短评内容': '比较破。空调不好。早餐不好吃。感觉偏贵了还是', '短评打分': 1}
{'短评内容': '粤海之星酒店位置好（靠近常州火车站、城际高铁站、长途汽车站等），闹市中心，周围店铺林立、购物就餐方便，早餐也不错，服务态度也好，是一家不错的酒店。', '短评打分': 5}
{'短评内容': '订的标准间，收拾的有些匆忙，但服务还算不错，前台和阿姨都比较热心…入住后感觉很好，房间大，空间大，其他合方面都中规中矩，这个', '短评打分': 3}
{'短评内容': '地理位置十分不错，离火车站，武进汽车站都很近，房间蛮宽敞的，就是比较旧，但是不影响睡眠，挺好的', '短评打分': 3}
{'短评内容': '现在住宿环境没有以前好了，浴巾也太旧', '短评打分': 3}
{'短评内容': '离火车站和汽车站蛮近的，整体感觉还不错，就是早餐有待改善。', '短评打分': 5}
{'短评内容': '交通方便，性价比高。早餐味道一般.入住和离店手续办得都很快。下次去常州首选这家', '短评打分': 5}
{'短评内容': '酒店离火车站很近，硬软件都不错。性价比很高，推荐要求实惠和舒适方便的人…', '短评打分': 3}
{'短评内容': '房间不错，就是装修和设施有些老化，但性价比还是很高的', '短评打分': 5}
{'短评内容': '地理位置好，价格也可以，有免费停车场。下次再来', '短评打分': 5}
{'短评内容': ' 挺不错的', '短评打分': 3}
{'短评内容': '服务态度不错！出现问题可以很快解决！看好这家酒店', '短评打分': 3}
{'短评内容': '中央空调制冷不好', '短评打分': 3}
{'短评内容': '酒店不错值得再来', '短评打分': 3}
{'短评内容': '＋服务态度很好，早餐很丰盛', '短评打分': 3}
{'短评内容': '味道大了点！性价比还行', '短评打分': 3}
{'短评内容': '-地点適中，易找方便，硬件還可以，包早歺，性价比高。但要注意浴室衛生不到位，牆腳很髒，有黑蓬边。面巾很可怕，破舊兼变灰黑色，需改善。', '短评打分': 3}
{'短评内容': '地毯烟味很重,早上洗簌水只有一点点余温,很赶时间但退房的时候花了15分钟。优点环境安静,交通便利，不管是火车还是汽车站很近。', '短评打分': 1}
{'短评内容': '很好，很强大，性价比很高，服务到位，入住很愉快。', '短评打分': 5}
{'短评内容': '第一次住，性价比不错。交通这很方便.感觉不错', '短评打分': 5}
{'短评内容': '位置很好，停车也方便。\n最大的问题是卫生，房间里的椅子根本没法坐，污渍很恶心。希望改进。我住509房，一进房间就发现了，酒店的服务员发现不了吗？', '短评打分': 1}
{'短评内容': '酒店很不错，服务员很热情，早餐很好吃，是我去常州的首选酒店', '短评打分': 5}
{'短评内容': '酒店客房服务人员很热情，但酒店条件有待改善，连最基本的打印、复印等商务服务都没有。', '短评打分': 1}
