{'短评内容': '安静，舒服，下次再来', '短评打分': 5}
{'短评内容': '酒店很干净很新', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境好，房间干净，服务态度很好。', '短评打分': 5}
{'短评内容': '位置好，干净舒适！', '短评打分': 5}
{'短评内容': '点评送积分    点评送积分 点评送积分 ', '短评打分': 4}
{'短评内容': '酒店服务挺好  但设施不是很好哦', '短评打分': 4}
{'短评内容': '还可以！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '环境安静，离火车站也不远，周边', '短评打分': 5}
{'短评内容': '方便简洁', '短评打分': 4}
{'短评内容': '入住率挺好的！交通方便，环境蛮可以的！', '短评打分': 3}
{'短评内容': '下次继续住非常好。。。', '短评打分': 3}
{'短评内容': '还可以吧，主要是离会议现场很近，方便', '短评打分': 3}
{'短评内容': '还可以！出差住了一晚', '短评打分': 3}
{'短评内容': '比较干净，价格合理，简洁实用，热水方便。适宜自费，若公费就显得小气', '短评打分': 3}
{'短评内容': '出差到包头，条件一般，可能因为所在地的原因吧，整体印象一般.', '短评打分': 3}
{'短评内容': '房间暖气不好，睡觉比较冷。', '短评打分': 3}
{'短评内容': '房间小，隔音不好，卫生间马桶漏水，没有洗澡用的沐浴露和洗发水。服务还可以。', '短评打分': 5}
{'短评内容': '不好意思，上面的评论打错了 入住呼市的酒店评价。酒店总的来说价位比较实惠，不含早餐。旁边马路对面好多饭馆，离火车站不远起步价加一点就到了 还不错', '短评打分': 3}
{'短评内容': '入住的时候酒店部分正在装修，油漆味大的不行。熏得难受', '短评打分': 1}
{'短评内容': '不知道此宾馆到底有没有免费的早餐，在预定的时候是有的，其实根本没有！怎么回事？刚开始我还以为我记错了呢，所以没有提，回来一看，原来不是我记错了，确实是被忽悠了！', '短评打分': 3}
{'短评内容': '酒店的设施有点旧，在预定时是有早餐的，实际上根本没有，纯粹是欺骗顾客！', '短评打分': 1}
{'短评内容': '酒店的条件真的不是特别好，比较旧，设施条件也很简单，但是在这个价格来说一般吧，不过他的位置确实很不错，交通方便。', '短评打分': 3}
{'短评内容': '标B太闷了！', '短评打分': 1}
