{'descr': '帮朋友订的。交通挺方便的，离家也近。。出行方便', 'star': 5}
{'descr': '服务很好 不错 就是不知道现金怎么返还，呵呵', 'star': 5}
{'descr': '酒店就在绿州酒店边上。房间太旧，设施老化。不推荐。', 'star': 5}
{'descr': '酒店不错。应该从地铁二号线中山公园站6号出更近。', 'star': 5}
{'descr': '其他的不错，但是大厅的电脑全都是坏的，房间价格便宜，最让我恼火的是电脑，还要去外面上网', 'star': 5}
{'descr': '很不错的，干净舒适的感觉很是喜欢！出差经济实惠！', 'star': 5}
{'descr': '很一般。打的的乘客需要提早在红绿灯处告知转入里道，不然走好多冤枉路。', 'star': 1}
{'descr': '还行 我去绿洲大厦上课 离得很近  就是在上海没有分店 会员卡办了也没用', 'star': 5}
{'descr': '这次预定的是豪华大床房，水床很不错，睡得舒服，其他方面不如其他酒店。当天晚上洗澡发现沐浴露和洗发露竟然没有了，真的很生气，只是个空壳。地板很多灰，卫生不干净。那个房间的地板还坏了一块，都不去修补一下，哎，很失望！！', 'star': 1}
{'descr': '离地铁站有点远，走路要15分钟，服务态度好', 'star': 3}
{'descr': '这酒店虽小，设施齐全，我很漫意，下次再来', 'star': 3}
{'descr': '干净、舒适，给人很窝心的感觉，非常不错的选择哦！', 'star': 5}
{'descr': '不错。就是小点。比较干净。网速很快。但是早上很乱，不知为何。大厅空调很凉快，也可免费上网。', 'star': 5}
{'descr': '房间挺好的，交通也很方便', 'star': 3}
{'descr': '地势很好，价格便宜，附近有乐购超市，很方便', 'star': 5}
{'descr': '离场馆很近 。。但是房子真的超级MINI', 'star': 5}
{'descr': '干净整洁，还可以的', 'star': 3}
{'descr': '干净整洁，还可以的', 'star': 3}
{'descr': '是原来的汉庭，后来变成众奕，但感觉差好多，卫生太差了', 'star': 3}
{'descr': '是原来的汉庭，后来变成众奕，但感觉差好多，卫生太差了', 'star': 3}
{'descr': '还不错.比较方便.\n设施比较干净整洁.\n值得入住.', 'star': 5}
{'descr': '还不错.比较方便.\n设施比较干净整洁.\n值得入住.', 'star': 5}
{'descr': '服务不错~睡床超级舒服，但是不适合腰不好的人~特别软的~房间干净度不敢恭维了，还有就是网线那个叫短的啊~无线也基本是连接不好，刚连上就断，别说上网了，电视调节比较负责，电视机不是一般的“大”~哈哈哈~', 'star': 5}
{'descr': '服务不错~睡床超级舒服，但是不适合腰不好的人~特别软的~房间干净度不敢恭维了，还有就是网线那个叫短的啊~无线也基本是连接不好，刚连上就断，别说上网了，电视调节比较负责，电视机不是一般的“大”~哈哈哈~', 'star': 5}
{'descr': '99的价钱虽然便宜可是配套设施不应该也打折扣啊～电视没法看，根本没信号。居然房卡也不好用，还得每次都要服务员上来给开门。要是因为这些原因把价位定在99那也过分了。不能因为钱花的少就得住这样的房间。', 'star': 1}
{'descr': '99的价钱虽然便宜可是配套设施不应该也打折扣啊～电视没法看，根本没信号。居然房卡也不好用，还得每次都要服务员上来给开门。要是因为这些原因把价位定在99那也过分了。不能因为钱花的少就得住这样的房间。', 'star': 1}
{'descr': '就这样吧，经济酒店，房间挺小的', 'star': 3}
{'descr': '就这样吧，经济酒店，房间挺小的', 'star': 3}
{'descr': '性价比很高，电视有点卡', 'star': 3}
{'descr': '性价比很高，电视有点卡', 'star': 3}
{'descr': '怎么会没有外线电话啊', 'star': 3}
{'descr': '怎么会没有外线电话啊', 'star': 3}
{'descr': '酒店环境不错', 'star': 3}
{'descr': '酒店环境不错', 'star': 3}
{'descr': '在上海还算挺便宜的。就是房间挺小的。还有淋雨室玻璃是透明的。洗澡不太方便。', 'star': 5}
{'descr': '在上海还算挺便宜的。就是房间挺小的。还有淋雨室玻璃是透明的。洗澡不太方便。', 'star': 5}
{'descr': '特价房太小，太吵', 'star': 3}
{'descr': '特价房太小，太吵', 'star': 3}
{'descr': '对的起这个价钱     离2号线还是要走十几分钟     还是听干净的   隔音不是特别好但是总体而言还是挺满意的   ', 'star': 3}
{'descr': '对的起这个价钱     离2号线还是要走十几分钟     还是听干净的   隔音不是特别好但是总体而言还是挺满意的   ', 'star': 3}
{'descr': '酒店地理位置不错，但就是隔音差了点~其他都还OK，希望酒店改进改进啊~', 'star': 5}
{'descr': '酒店地理位置不错，但就是隔音差了点~其他都还OK，希望酒店改进改进啊~', 'star': 5}
{'descr': '酒店位置非常好，出行非常方便，特价房虽然空间不大，但是设施、卫生都还不错。最关键的是一般酒店特价房都是无窗户的，本酒店特价房照样有窗户，无非是空间上小一些。对于1、2个人住宿到也够用了。', 'star': 5}
{'descr': '酒店位置非常好，出行非常方便，特价房虽然空间不大，但是设施、卫生都还不错。最关键的是一般酒店特价房都是无窗户的，本酒店特价房照样有窗户，无非是空间上小一些。对于1、2个人住宿到也够用了。', 'star': 5}
{'descr': '感觉还不错  交通比较好  离中山公园近  房间有点旧 但是还是可以', 'star': 5}
{'descr': '感觉还不错  交通比较好  离中山公园近  房间有点旧 但是还是可以', 'star': 5}
{'descr': '房间还不错 床很大  位置距离地铁还是远了点', 'star': 5}
{'descr': '房间还不错 床很大  位置距离地铁还是远了点', 'star': 5}
{'descr': '此酒店条件很一班.', 'star': 3}
{'descr': '此酒店条件很一班.', 'star': 3}
{'descr': '经济实惠，环境也还可以，房间设施对得起这个价格。', 'star': 5}
{'descr': '经济实惠，环境也还可以，房间设施对得起这个价格。', 'star': 5}
{'descr': '酒店不大，隔音不好', 'star': 3}
{'descr': '酒店不大，隔音不好', 'star': 3}
{'descr': '当时为了看演出在网上订了这间酒店。因为查了地图离国际体操中心非常近，而且当时有新春特惠大床房非常便宜。离地铁2号线中山公园站不远，步行10分钟就可以到，但是出地铁站后单问酒店的话不是很好找，问国际体操中心就可以了，因为真的离得超级近！房间真的很小，进门就是床，下床就是厕所。不过空调，热水，电视都很方便。相比价格来说是超级划算。酒店旁边还有一个大型超市。虽然挨着高架，但是一点都不吵。退房时完了一会儿', 'star': 5}
{'descr': '当时为了看演出在网上订了这间酒店。因为查了地图离国际体操中心非常近，而且当时有新春特惠大床房非常便宜。离地铁2号线中山公园站不远，步行10分钟就可以到，但是出地铁站后单问酒店的话不是很好找，问国际体操中心就可以了，因为真的离得超级近！房间真的很小，进门就是床，下床就是厕所。不过空调，热水，电视都很方便。相比价格来说是超级划算。酒店旁边还有一个大型超市。虽然挨着高架，但是一点都不吵。退房时完了一会儿', 'star': 5}
{'descr': '这家酒店还蛮干净温暖的，墙上的油画也不错。', 'star': 5}
{'descr': '这家酒店还蛮干净温暖的，墙上的油画也不错。', 'star': 5}
{'descr': '酒店设施还蛮齐全的 就是特价房的大床房有点小，但是离体操中心真的很近很近~！！！外地的去那里看演出的话住那里很划算的 我是提前预定的，价格超便宜 而且看了一下即时的房价也不是很高 很值 很满意！', 'star': 5}
{'descr': '酒店设施还蛮齐全的 就是特价房的大床房有点小，但是离体操中心真的很近很近~！！！外地的去那里看演出的话住那里很划算的 我是提前预定的，价格超便宜 而且看了一下即时的房价也不是很高 很值 很满意！', 'star': 5}
{'descr': '电视很先进,房间干净,地理位置好,下次还会住', 'star': 3}
{'descr': '电视很先进,房间干净,地理位置好,下次还会住', 'star': 3}
{'descr': '地理位置很好~~离地铁站近，周边还有一个超市~~~\n总是很喜欢~~~以后再去上海还回去定这家酒店', 'star': 5}
{'descr': '地理位置很好~~离地铁站近，周边还有一个超市~~~\n总是很喜欢~~~以后再去上海还回去定这家酒店', 'star': 5}
{'descr': '从网上预约后去的酒店，没有预先订的那个房间，就给免费换了一个更大一点的。服务态度很好。。相比低廉的价格，很干净而且还算方便。唯一感到遗憾的是房间内没有吹风机，去前台借也没有借到！', 'star': 5}
{'descr': '从网上预约后去的酒店，没有预先订的那个房间，就给免费换了一个更大一点的。服务态度很好。。相比低廉的价格，很干净而且还算方便。唯一感到遗憾的是房间内没有吹风机，去前台借也没有借到！', 'star': 5}
{'descr': '物有所值，非常整洁，距中山公园地铁也不远。', 'star': 5}
{'descr': '物有所值，非常整洁，距中山公园地铁也不远。', 'star': 5}
{'descr': '酒店还不错。 就是网速很慢，很卡。 不过总体还行。', 'star': 5}
{'descr': '酒店还不错。 就是网速很慢，很卡。 不过总体还行。', 'star': 5}
{'descr': '环境还行，服务也ok，交通也方便，就是网不大给力，希望以后越來越好', 'star': 3}
{'descr': '环境还行，服务也ok，交通也方便，就是网不大给力，希望以后越來越好', 'star': 3}
{'descr': '地理位置超好,房间卫生一般,不过价格便宜,电视每天可以看到很多电影,下次还会住!', 'star': 3}
{'descr': '地理位置超好,房间卫生一般,不过价格便宜,电视每天可以看到很多电影,下次还会住!', 'star': 3}
{'descr': '性价比确实高，预定了2次99的大床房，都还不错，唯一不好的，就是大家公认说的，隔音有点差的问题，希望酒店以后稍微改进下咯~', 'star': 5}
{'descr': '性价比确实高，预定了2次99的大床房，都还不错，唯一不好的，就是大家公认说的，隔音有点差的问题，希望酒店以后稍微改进下咯~', 'star': 5}
{'descr': '前台服务很好,电视超先进,同样价格的房间有大有小,旁边有乐购买东西很方便!', 'star': 3}
{'descr': '前台服务很好,电视超先进,同样价格的房间有大有小,旁边有乐购买东西很方便!', 'star': 3}
{'descr': '酒店环境不错，就是卫生稍微差点，整体还可以的', 'star': 5}
{'descr': '酒店环境不错，就是卫生稍微差点，整体还可以的', 'star': 5}
