{'短评内容': '还不错，携程换的酒店', '短评打分': 5}
{'短评内容': '环境很差,10年前的装修了看来,无空调,花洒头坏的,洗手间很小。建议走远点住好点的地方', '短评打分': 2}
{'短评内容': '总体还行吧 院子很安静', '短评打分': 3}
{'短评内容': '老板很热情，不错！推荐', '短评打分': 3}
{'短评内容': '这个客栈当然是真心推荐了  房间很好 设备也很齐全 我是个比较挑剔的人 但这里真心不错 离古城也近 步行 自行车都可以再周围闲逛的 主要是老板人也好拉 因为自己的原因没弄清艺龙打折的流程 还麻烦了老板 哈哈 环境好 老板人好 值得推荐  最后退房的时候忘记交钥匙了', '短评打分': 3}
{'短评内容': '还行，就是无线有点不行，二楼信号很差', '短评打分': 3}
{'短评内容': '老板很热情，住宿方便，很安静，', '短评打分': 3}
{'短评内容': '还好，比较干净，很实惠', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净非常干净，离大理古城10分钟时间，有地方停车', '短评打分': 4}
{'短评内容': '干净非常干净，离大理古城10分钟时间，有地方停车', '短评打分': 4}
{'短评内容': '刚刚走进文献静苑就给了我一个惊喜，好别致的小院子呀，老板娘用了一番心思去布置，有回到家的感觉，是我在外漂泊住过最满意的店了。走进房间干净整洁，床单，毛巾像新的一样白净，据说老板娘有洁癖的，哈哈。我是一个人入住的，还在店里混了2顿饭，老板娘的手艺绝佳。', '短评打分': 5}
{'短评内容': '非常干净整洁，而且周围很安静，自驾游这些天来睡了一个非常舒服的觉。还有一点，房间内插座足够且位置合理，随身携带的笔记本，手机，pad都能充电，很方便！我的手机漏在了酒店，退房后几个小时后才想起，店主很热情地帮我保存等我去取！非常感谢！最后还要谢谢店主的小礼物，很有民族特色，很漂亮！', '短评打分': 5}
{'短评内容': '我是下午1点到达该店的，住的是一楼的房间。房间里面很整洁，该有的东东都有了，我很喜欢客栈里面的环境。最主要的是价格超值。下次来还要住这里。', '短评打分': 5}
{'短评内容': '离古城就五分钟的步行距离，环境很安静，白天光线很充足，院子有秋千椅还有洗衣机提供使用。在3楼天台还可以看到苍山和大理的景色，超级无敌美！！！老板一家人真的很好，给了很多照顾，老板娘每天都会很关心地问我们玩得累不累，出门要小心，非常贴心。离开客栈时还送了小礼物，真的很舍不得温柔善良的老板老板娘啊。客栈还提供山地自行车！亲们，强烈推荐啊～～以后去大理肯定还会去看望老板娘的～', '短评打分': 5}
{'短评内容': '1、设施较新；\n2、离古城较远，走路到古城南门15分钟； \n3、观景房3间中窗子向洱海那间大且光线好，其余两间没多少实际意义；\n4、前台砍价后直接入住，价格有时还低！', '短评打分': 5}
{'短评内容': '大理文献静苑客栈如网上评价所述，老板待人真诚热情，所定房间为堂屋上二楼的正房，朝向好，安静，采光、通风很好。以后还回来这里的！', '短评打分': 3}
{'短评内容': '干净舒适，地理位置在古城内，但在比较安静的街道，睡觉不吵。客栈可以租单车，还可以帮忙定门票和汽车票，比较方便，可以再选择的客栈', '短评打分': 5}
{'短评内容': '文献静苑比较干净，床也很舒适，不错的客栈', '短评打分': 3}
{'短评内容': '客栈小巧精致，装饰很有品味，洁具很干净，小院宁静清新！不远处就有吃玩之处，很方便。', '短评打分': 5}
{'短评内容': '客栈环境不错，但离古城有点偏，但很安静，房间的布置也很优雅干净。老板娘态度很热情，但经营客栈经验有点浅，请多站在房客的角度想，不要光想着挣钱，细水长流才会有回头客。', '短评打分': 5}
{'短评内容': '还比较干净的客栈，稍微有些偏了，院子有点小，基本还行吧！', '短评打分': 5}
{'短评内容': '店主非常热情，在我们住宿的期间接送我们去各个景点为我们省了不少时间呢，住宿的条件也很好很舒服，推荐大家来哦', '短评打分': 5}
{'短评内容': '不知道其他房型是怎么样的，我住的是一楼的，非常多的蚊子，一晚上用蚊香！洗手间明显是在房间硬是用透明的玻璃隔出来小小的一个。全透明，非常不便。不习惯', '短评打分': 1}
{'短评内容': '挺舒适，刚开业没多久，什么都很新，很干净。', '短评打分': 5}
{'短评内容': '环境不错，老板很热情。还有一只金毛犬好活泼的。', '短评打分': 5}
{'短评内容': '我们全家三代九人加上我们的小狗狗一起住进了这家小客栈,感觉舒适温馨,如同住在自己的家里.客房布置得很有品位,卧具新而干净,客栈的位置也很好,四周非常安静,门前还可以停车,对于自驾车的朋友们是个很好选择.客栈老板十分热情,给我们提供很多当地的游览信息.客栈还养了一只小金毛哦,喜欢狗狗的朋友可以去逗它玩哦.', '短评打分': 5}
