{'短评内容': '太好了，不住白不住，反正就住一晚，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体挺不错', '短评打分': 5}
{'短评内容': '房间大，位置不错，这个价位在北京比快捷酒店还划算', '短评打分': 4}
{'短评内容': '卫生，服务态度好', '短评打分': 5}
{'短评内容': '酒店位于月坛南街，距离国家能源局很近，交通方便，房价在这个地段不高，性价比高，房间设施略显陈旧，前台服务热情，值得推荐。', '短评打分': 4}
{'短评内容': '宾馆设施老点儿，服务态度还行。网上订房挺方便。', '短评打分': 5}
{'短评内容': '一', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '房间很大，但设施陈旧，房间有股味儿，服务态度也一般，房间的卡还打不开门，感受一般，不会再选择', '短评打分': 3}
{'短评内容': '非常不错，房间干净，特别大', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '酒店周边环境、设备设施、房间卫生、酒店服务，还好。', '短评打分': 4}
{'短评内容': '前台的太牛，不敢恭维', '短评打分': 1}
{'短评内容': '不错，交通便利', '短评打分': 5}
{'短评内容': '服务没问题，但房间太冷了，一进屋还有浓浓的烟味，最后没办法还是退掉换别家吧。', '短评打分': 2}
