{'短评内容': '这是多么标准的十个字！', '短评打分': 5}
{'短评内容': '感觉都江堰酒店的网络都很差，卡的要死。21世纪了啊', '短评打分': 4}
{'短评内容': '房间可以', '短评打分': 3}
{'短评内容': '不想说什么了，果断差评，一点不人性化，退房的时候晚了一个小时，一点退房然后我们两点下去的，就因为晚了一个小时而已扣了我们一半的价钱，呵呵，其他酒店都是两点退的，就算是延迟了也只扣最多三十，而且服务员也很搞笑，每次叫两声就直接开门进来了？经过我们同意了吗？真的服了，再也不会来了，劝来旅游的别来这家。', '短评打分': 1}
{'短评内容': '我是续订的，因为住了一天.感觉不错，酒店位置不错，p旁边就是长途客运中心，公交1号，7号，102路都在酒店隔壁！我因为第二天回成都就又住了一天，不错的酒店，下次来还会住。', '短评打分': 5}
{'短评内容': '看了点评选中入住，果然不错，房间很大，卫生干净，交通也方便，性价比高，缺点是马桶有点漏水！', '短评打分': 5}
{'短评内容': '性价比超高的酒店', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常好，实惠，而且房间不撇！！', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '一般般，设施陈旧，门都是坏的', '短评打分': 3}
{'短评内容': '没有发票', '短评打分': 4}
{'短评内容': '价格合理，服务很周到，', '短评打分': 5}
{'短评内容': '房间够大，干净一般。电视柜上有小强在爬，服务员看到了还说你们怕蟑螂啊', '短评打分': 5}
{'短评内容': '离长途客运很近，公交很方便，房间很大和卫生。全家很满意。\n', '短评打分': 5}
{'短评内容': '酒店还不错，交通方便，很干净，在都江堰来说是不错的选择', '短评打分': 5}
{'短评内容': '房间很不错 还有无线网 就是淋浴室的水小了一点 总体很满意 跟照片上的一样', '短评打分': 3}
{'短评内容': '很不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '位置还不错，房间干净，房间里收费物品太多，网络信号不是很稳定', '短评打分': 5}
{'短评内容': '这个确实不错的,除了前台小妹态度很一般之外,房间很宽敞,挺豪华,也干净整洁,注意桌上的小包的茶叶,虽然没有标价,但要收钱的,10元一包,还有一个我不喜欢的地方是,化妆镜基本正对着床,从风水上来说,这样放不好的,于是睡觉的时候,我还把镜子取下来了的.位置挺安静,周边的吃的特别难吃,可能要走远一点才好.酒店本身 不错,只是周边环境较破烂.但就睡觉来说,这酒店不错.', '短评打分': 5}
{'短评内容': '？酒店风格很不错，房型够大，很喜欢', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店交通便利，去青城山和都江堰都很方便。房间很漂亮，很干净，酒店服务也很不错！', '短评打分': 3}
{'短评内容': '还不错，楼上风景很不错，就是比较吵，在都江堰算可以的了', '短评打分': 5}
{'短评内容': '酒店周围的环境太吵杂了，服务很一般，我们入住那晚的电梯时好时坏，我们走了两次楼梯下来的。', '短评打分': 1}
{'短评内容': '酒店综合还不错！就是房间地板好像有点问题，周边环境差点，早餐虽然是送的（牛奶一盒加早餐包），出门在外，想吃点热的，这些东西也确实太简单了点！', '短评打分': 5}
{'短评内容': '里面的设施还不错，只是早餐过点了就没有了，大概九点过的样子就没有了\n\n酒店周边交通很方便', '短评打分': 5}
{'短评内容': '酒店内部可以，周围在修路，较乱', '短评打分': 5}
{'短评内容': '白天有点吵，晚上还行。\r\n周边的基础设施暂时还在修建，感觉不像幸福大道那边舒服。\r\n服务不错。设施也不错。', '短评打分': 3}
{'短评内容': '由于是临近客运站  因此有不少大客车的喇叭声异常刺耳，如果是白天入住想休息是根本不可能的，晚上要稍微好一点，但早上又是很早就很吵了，所以舒适度只能说是一般。', '短评打分': 5}
{'短评内容': '酒店设施和服务很好。\n陈波', '短评打分': 5}
