{'descr': '创很大，很舒服，很安静', 'star': 5}
{'descr': '酒店设施较旧', 'star': 4}
{'descr': '有免费早餐，早餐还不错', 'star': 4}
{'descr': '不能加床，可以带孩子', 'star': 3}
{'descr': '隔音不好', 'star': 3}
{'descr': '一般一般啊', 'star': 3}
{'descr': '快捷酒店嘛我就不想多说了，以下写的话大部分属凑字数拿积分，房间还不错，反正也算干净吧，至于那些高级设施您就别想了，这个价位不太可能，它这个亮点就是，你要有心挑房间的话，它有些房间是有落地大窗子的，风景的话，窗外的长途车你也还是能仔细看一看吧。卫生间，这个我要说，太简陋，跟汉庭完全没法比，希望想选这个宾馆的，看到我这个点评多少对你有点用吧。', 'star': 5}
{'descr': '离南京站步行要20分钟，酒店条件对得起这个价格', 'star': 5}
{'descr': '酒店位置蛮方便的，价格也还可以，到店安排的是圆床，我跟小伙伴住也正好，唯一不好的就是房间没有窗户，空间太小了，卫生间马桶和淋浴都没有隔开，这一点不好', 'star': 5}
{'descr': '同学晚间来宁，靠近火车站附近入住了，在中央门立交边上，这里是老牌的商圈之一，附近有金桥、玉桥市场，南京商厦等等，往中山北路直抵新街口，出行相当便利，环境还可以，价格可以接受！', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '挺好的', 'star': 4}
{'descr': '区位方便，价格实惠，房间干净清爽，习惯好评', 'star': 3}
{'descr': '感觉一般，特价房无窗，比较闷，有窗的还不错', 'star': 3}
{'descr': '酒店地理位置很好，就在北广场，我们早上到的比较早，也给安排了房间，但是这个房间是最旁边的，小电视，wifi不好使，当时没太在意，先出去玩了一天，晚上回来发现空调也不好使，开始说是没有开，4小时开一会，后来出去发现走廊都比屋里凉快，而且空调风很大，再次联系，有个师傅过来看确认空调坏了，晚上11点多了，说给我们换个房间，本来不想折腾，但是太热就换了，这个房间在中间，空调好，大电视，wifi也好，之后就', 'star': 5}
{'descr': '酒店管理很不错.环境也好.下次再来', 'star': 3}
{'descr': '房间设施很不好，卫生条件差，服务员态度不好，不要去住啊，很不好', 'star': 1}
{'descr': '一般吧，总体来说还算可以、说好的双早就没吃过、无奈。。。', 'star': 5}
{'descr': '隔音不好 毛巾什么的 比较陈旧 不是很理想 唯一的就是交通方便', 'star': 5}
