{'短评内容': '感觉不错哟', '短评打分': 5}
{'短评内容': '感觉不错呀', '短评打分': 5}
{'短评内容': '性价比高，交通方便。', '短评打分': 5}
{'短评内容': '房间还可以，比较宽敞，周围交通也还挺方便，就是酒店没有早餐，价格非常合理，比较优惠，离办事的地方也近，下次再住！', '短评打分': 4}
{'短评内容': '房间还可以，比较宽敞，周围交通也还挺方便，就是酒店没有早餐，价格非常合理，比较优惠，离办事的地方也近，下次再住！', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '价格有点贵，吃、交通方便。', '短评打分': 5}
{'短评内容': '房间卫生很好，交通、吃都很方便。', '短评打分': 5}
{'短评内容': '很不错，干净舒服！', '短评打分': 5}
{'短评内容': '中午太吵了', '短评打分': 5}
{'短评内容': '没有地方停车', '短评打分': 5}
{'短评内容': '干净卫生，舒适安静！', '短评打分': 3}
{'短评内容': '不错，好评，值得推荐，干净卫生', '短评打分': 3}
{'短评内容': '酒店面积大，离机场较近！晚上会有小妹敲门-_-||，服务员态度不咋样！这个价位也算可以了吧！', '短评打分': 4}
{'短评内容': '住过好几次这酒店了，只是这个房间空调有点噪音', '短评打分': 3}
{'短评内容': '还可以，出行方便，价格合理', '短评打分': 3}
