{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地段比较好，交通便捷，房间挺不错', '短评打分': 5}
{'短评内容': '设备不是太新，卫生服务不错', '短评打分': 5}
{'短评内容': '设施太旧，位置还好', '短评打分': 4}
{'短评内容': '环境很差劲。房子没有烟灰缸  ', '短评打分': 3}
{'短评内容': '酒店太老了', '短评打分': 5}
{'短评内容': '整体感觉就是差，还不如一般的商务酒店，服务态度也差。', '短评打分': 2}
{'短评内容': '不错，价格也很合理，就是早餐差了一点', '短评打分': 3}
{'短评内容': '不错，位置好，吃饭游玩都方便，推荐入住。', '短评打分': 3}
{'短评内容': '房间不错，条件好，位置好，出行吃饭都方便。', '短评打分': 3}
{'短评内容': '挺好。挺大。宽敞整洁', '短评打分': 3}
{'短评内容': '不错交通好，房间卫生干净，如果有机会还来', '短评打分': 3}
