{'descr': '很推荐的，记得从兆龙饭店东门进去，晚上如果东门关了叫门口保安就可以了。', 'star': 4}
{'descr': '没的说，干净', 'star': 5}
{'descr': '还可以吧！', 'star': 5}
{'descr': '因为位置好，自己又熟悉那里，每次都愿意选它。可惜，下月15日以后，兆龙青旅就不存在了。据说这座楼要改为写字楼', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '介绍果然句句实言', 'star': 5}
{'descr': '不错，适合短住，地理位置很好', 'star': 5}
{'descr': '非常满意，赞一个', 'star': 5}
{'descr': 'ok', 'star': 5}
{'descr': '好好好！！', 'star': 5}
{'descr': '一直住这里，棒！', 'star': 5}
{'descr': 'it was ok for one night', 'star': 3}
{'descr': '去办事方便，适合短差入住！', 'star': 4}
{'descr': '再也不想住这', 'star': 5}
{'descr': '非常好，很方便', 'star': 5}
{'descr': '说不出来的感觉，个人不推荐吧。', 'star': 3}
{'descr': '这次没订上，下次试试', 'star': 3}
