{'短评内容': '地方好找，装修格调好，服务不错', '短评打分': 5}
{'短评内容': '位置不错～在南门跟钟楼之间..设施还算过得去..就是去的有一天说是设备检修..都没热水洗澡..还好就一天..酒店装修很老了..有墙纸脱落..被子有点硬....诶呀主要就是去玩的..住的已经不大所谓了..', '短评打分': 4}
{'短评内容': '房间铺着地毯，但是地毯脏的令人恶心，烟头烫的洞和一块一块的黑污渍令人作呕，整个地毯是常年没有清洗的黑。再说洗澡，热水12点以后再有，只能蹲在地上洗，因为淋浴器安装在人的膝盖处的高度，洗头要想两只手都用就得蹲在地上，洗澡水20秒就会烫的没法洗，20秒后又变冷了，如此反复循环。试问这样的设施还开酒店。以后是不会再选择了，提醒后来的住客绕道吧。', '短评打分': 1}
{'短评内容': '位置好但是老舊了', '短评打分': 2}
{'短评内容': '', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常棒  交通也很方便', '短评打分': 5}
{'短评内容': '设施齐全，不错', '短评打分': 5}
{'短评内容': 'Other than location is great everything is pretty awful. Price is not that cheap. room is quite worn out. There are chips and damages on almost every corner. Carpet is suppose to be medium grey but it', '短评打分': 2}
{'短评内容': '下次还住这里。很方便。', '短评打分': 4}
{'短评内容': '酒店就在南大街上，相当方便，就是房间里的墙纸剥落，设施略显陈旧，酒店的服务很不错。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '水压水温不错 就是比较吵 希望退房时间延长到2点', '短评打分': 4}
{'短评内容': '酒店太老了！房子小！出行方便！地理位置好！', '短评打分': 4}
{'短评内容': '酒店沒有看圖片這麼好', '短评打分': 3}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '一般化的酒店，地毯比较旧，房间烟味大沒有措施去味...', '短评打分': 3}
{'短评内容': ' 酒店圆床是特色。但是洗手间排风扇噪音太大。热水冷热不均，随时变来变去，下水道也堵', '短评打分': 3}
{'短评内容': '酒店格局比较特别~住惯了一般方方正正的酒店，再进入这个曲线圆床的房间，感觉挺小资的。值得尝试', '短评打分': 5}
{'短评内容': '房间小 冷', '短评打分': 3}
{'短评内容': '热水忽冷忽热 墙纸有点脱落 其他都很好~', '短评打分': 3}
