{'descr': '酒店位置优越', 'star': 5}
{'descr': '酒店位置优越', 'star': 5}
{'descr': '很不错 环境好 ', 'star': 5}
{'descr': '不错，酒店在湿地边上', 'star': 4}
{'descr': '早餐不错哦', 'star': 5}
{'descr': '周边环境一般，人气不足！', 'star': 4}
{'descr': '环境好，服务优', 'star': 5}
{'descr': '比较坑的酒店，位置非常偏僻，说是五星，实际上也就三星吧。 早餐尚可。 酒店的温泉是最大的坑。', 'star': 4}
{'descr': '还算挺好的', 'star': 5}
{'descr': '好 服务好', 'star': 5}
{'descr': '太偏僻啦……无车族最好不要去，特别冷清的吓人！荒无人烟啊！吃饭都困难之困难！不会再去  酒店环境总体还可以  毛巾什么的感觉都不太干净！床单也不给换新', 'star': 3}
{'descr': '携程上显示5星级，到达后才知是4星级，说5星级的人少不开，不过这家的设施很好，干净卫生服务也好，性价比高，好评', 'star': 5}
{'descr': '设施坏，服务极差，不会再往', 'star': 1}
{'descr': '酒店位置比较偏，但是周边环境不错，服务态度也很好，下次考虑再次入住', 'star': 5}
{'descr': '公寓房间不错，也很舒适，还有厨房，加之赶上会议，房价含早餐，真心不错！', 'star': 5}
{'descr': '相比价位，实在是不太满意。偏远，没人住。', 'star': 1}
{'descr': '酒店环境比较好，房间整洁，服务很好，但早餐应品种更丰富一些。', 'star': 5}
{'descr': '酒店交通便利，房间比较整洁，服务态度很好。早餐有待提高。', 'star': 5}
{'descr': '酒店位置离曹妃甸港很近，硬件设施很好很新，就是酒店没有接机服务，不太方便。', 'star': 5}
{'descr': '宾馆整体环境很好，房间比较干净整洁，服务不错，早餐一般。', 'star': 5}
{'descr': '第一次住这个酒店，旁边的海员俱乐部住过，这个比那个条件好很多，不过价格也贵了。', 'star': 5}
{'descr': '渤海国际大酒店的地理位置绝佳，适合全家来度假！有高尔夫球场，温泉，还有湿地公园。\n\n地方不好找，沿路过来让人没法相信这里居然有个5星级酒店。', 'star': 5}
{'descr': '酒店环境很好。很安静。就是房间里的硬件条件不足。例如：没有咖啡、茶供客人饮用。', 'star': 5}
{'descr': '曹妃甸开发区范围内唯一的高档酒店，比较新。按开发区来说，条件较好，人气不旺。淋浴喷头是我碰到位置最高的，不太方便。', 'star': 5}
{'descr': '基本满意。大堂没有WI-FI是个遗憾，希望尽快改进。但整个曹妃甸也就这个酒店了。', 'star': 5}
{'descr': '听说每次结账的时候在前台都会耽误点时间，希望改进', 'star': 5}
{'descr': '酒店硬件很好，房间也很干净、整洁。\n\n入住率不高，五星的标准收费，洗漱用品却是3、4星酒店的标准。房间冰箱是空的，没有酒水、饮料，小吃。没有客房送餐菜单。管理有待提高。', 'star': 5}
{'descr': '酒店不错，只是前台业务可能不太熟练，结账速度实在太慢', 'star': 5}
{'descr': '酒店不错，但是前台业务有待提高，结账速度太慢', 'star': 5}
{'descr': '客房比较干净，服务也很好，酒店环境优美，空气好。早餐太西化，中国人吃不惯，而且价格太贵。', 'star': 5}
{'descr': '酒店的星级标准为5星级，但住后略显失望。可能由于我去的那天人太少，显得非常冷清。夏天去应该挺好的吧。', 'star': 5}
{'descr': '地方偏了一点，但离景区很近，自驾车会很方便。酒店周围环境很好，很干净。', 'star': 5}
{'descr': '酒店的硬件配套设施全，环境干净舒适，很不错的酒店。', 'star': 5}
{'descr': '整体还不错', 'star': 5}
{'descr': '房间有点贵', 'star': 5}
{'descr': '干净', 'star': 3}
{'descr': '很好的酒店', 'star': 3}
{'descr': '不错的一家值得再住', 'star': 5}
{'descr': '不错的一家值得再住', 'star': 5}
{'descr': '酒店的服务和环境还可以，但是餐饮味道不好，感觉东西也不新鲜，硬件条件还是不错的，价格稍微有点贵，但是周围没有其他酒店，只能选择他。', 'star': 3}
{'descr': '酒店的服务和环境还可以，但是餐饮味道不好，感觉东西也不新鲜，硬件条件还是不错的，价格稍微有点贵，但是周围没有其他酒店，只能选择他。', 'star': 3}
{'descr': '酒店的条件还是挺不错的，服务态度也比较好，我觉得位置挺方便的，对于商务出行来说还是比较合适的，如果自己出去玩，可能不会考虑，毕竟价格对于个人来说有点高。', 'star': 3}
{'descr': '酒店的条件还是挺不错的，服务态度也比较好，我觉得位置挺方便的，对于商务出行来说还是比较合适的，如果自己出去玩，可能不会考虑，毕竟价格对于个人来说有点高。', 'star': 3}
{'descr': '价格还是比较合适的,房间也很不错设施和卫生都挺好的,服务也还行,位置还是比较不错的.还是比较不错的一家酒店.', 'star': 3}
{'descr': '价格还是比较合适的,房间也很不错设施和卫生都挺好的,服务也还行,位置还是比较不错的.还是比较不错的一家酒店.', 'star': 3}
{'descr': '酒店是5星的酒店卫生和设施条件都是不错的.就是位置有点偏去我办事的地方有点远.其它各方面还可以 ', 'star': 3}
{'descr': '酒店是5星的酒店卫生和设施条件都是不错的.就是位置有点偏去我办事的地方有点远.其它各方面还可以 ', 'star': 3}
{'descr': '酒店很近，里面的硬件设施和服务都挺好的，就是新酒店甲醛味道很重，如果没有这个味道，那就比较不错了。', 'star': 3}
{'descr': '酒店很近，里面的硬件设施和服务都挺好的，就是新酒店甲醛味道很重，如果没有这个味道，那就比较不错了。', 'star': 3}
