{'短评内容': '酒店设施比较老了，大堂挺壮观，早餐一般……', '短评打分': 4}
{'短评内容': '酒店环境非常好，周围设施方便，酒店环境卫生保持的不错，服务态度好，让人有宾至如归的感觉，总体评价很不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店环境非常好，周围环境非常方便，房间外观简洁典雅，造型刚中有柔，房间宽敞明亮，服务态度很好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置比较偏,早餐一般,,床比硬', '短评打分': 2}
{'短评内容': '很舒适，停车方便', '短评打分': 5}
{'短评内容': '整体还是不错的，干净卫生', '短评打分': 5}
{'短评内容': '国企的服务意识要再加強改革进步！', '短评打分': 3}
{'短评内容': '经常入住，很好', '短评打分': 4}
{'短评内容': '经常入住，很好', '短评打分': 4}
{'短评内容': '位置有点偏，房间有点旧～', '短评打分': 4}
{'短评内容': '唐钢内部宾馆。设施还可以吧。携程价格很好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间干净但有点酒。 其他的都不错。', '短评打分': 5}
{'短评内容': '还可以吧，网上预定合适，', '短评打分': 4}
{'短评内容': '第二次入住，各方面都很好，下回还住这。并推荐给其他朋友。', '短评打分': 5}
{'短评内容': '非常好的环境来唐山住好几回了。', '短评打分': 5}
