{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '总体还是过得去，地方比较方便，到哪里都不远。', '短评打分': 4}
{'短评内容': '价格实惠其他都很一般', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '早餐比较丰富', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常好的', '短评打分': 5}
{'短评内容': '环境，设施差的不行', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '都蛮好', '短评打分': 5}
{'短评内容': '交通方便，还不错的。。', '短评打分': 4}
{'短评内容': '酒店有年头了', '短评打分': 4}
{'短评内容': '很久没住啦 还是很以前一样好', '短评打分': 5}
{'短评内容': '房间卫生很好，环境不错！', '短评打分': 5}
{'短评内容': '还不错，早餐不是自助式的，按份的，还有些冷', '短评打分': 4}
{'短评内容': '老酒店，市中心地段，很方便，推荐！', '短评打分': 5}
{'短评内容': '很不好，设施落后，卫生差，前台态度还行。', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '一直没有评论。现在回味起来，还真是不错的酒店。赞一个', '短评打分': 5}
{'短评内容': '地方很好，交通便利、但是里面的装修还是有点陈旧的啦', '短评打分': 5}
{'短评内容': '交通便利，房间也很干净。前台服务热情，晚上 周围还是很热闹的', '短评打分': 5}
{'短评内容': '服务态度不错，电视不行不清楚。', '短评打分': 3}
{'短评内容': '很好，在市中心很方便', '短评打分': 3}
{'短评内容': '服务态度不错，但是酒店到处有烟味，很潮湿，早餐很简单', '短评打分': 1}
{'短评内容': '地处中心，交通方便，家庭出游还是不错的，价廉物美', '短评打分': 5}
{'短评内容': '交通方便，卫生良好，服务周到。有机会下次还住这里。', '短评打分': 5}
{'短评内容': '酒店价格便宜设施一般。', '短评打分': 3}
{'短评内容': '酒店住宿还可以，就是价格有点贵了。。晚上 周围还是很热闹的，夜景也不错哦。。。。旁边的鱼味馆真是一塌糊涂，又难吃又贵。。。', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '该店交通方便，前台服务热情。\n\n美中不足吃饭高些，如果能够平民化就好了。\n\n今后去千岛湖还会去住，吃饭贵就不在本店吃，到外面去吃。', '短评打分': 5}
{'短评内容': '还不错，干净卫生，就是吃饭太贵了啊。1个人没有100元吃不到什么啊！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '首先我要说说此次千岛湖旅行的感受吧，一个字“悔”两个字“后悔”三个字“真后悔”至于酒店很让人失望，460元一间的房价，真的是不能让人接受，没什么配置不说，装修很是老旧啊，至少有５年以上了吧，墙上多处大面积渗水花黑斑，看上去很让人不舒服，酒店周边也很乱，离广场有一公里吧，有照片为证，此处不可发表啊，这样的房价在杭州可以住杭州湾大酒店或是皇冠之类的。再说说千岛湖的吃吧，我和大多数朋友一样也是冲着其有机', '短评打分': 1}
{'短评内容': '酒店重新装修过房间硬件总体来说还不错，只是毛巾略有些旧。但是酒店环境太吵，楼下隔壁有个酒吧还是舞厅，重低音声音很大，住在10楼把房间的窗户关了房间内还是觉得吵。', '短评打分': 1}
