{'短评内容': '不带早餐，不过边上很多小吃店', '短评打分': 5}
{'短评内容': '酒店没有早餐，附近早餐不错。', '短评打分': 4}
{'短评内容': '酒店位置很好，住在酒店可以看海景，正宗海景房，出门看海景，人还少，对得起这个价格，楼下停车，很方便，', '短评打分': 5}
{'短评内容': '没有餐厅。不过门口吃饭地方很多，很方便。酒店位置非常满意，一出酒店门就到海边，比想象的还近。酒店有个大停车场，估计停车很方便。', '短评打分': 3}
{'短评内容': '早餐没有，不用加床，带孩子去的，位置一般，有停车场。早餐没有，不用加床，带孩子去的，位置一般，有停车场', '短评打分': 3}
{'短评内容': '不错，客服真心不错，我下完订单，要取消，马上帮我取消。', '短评打分': 5}
{'短评内容': '帮朋友订的特价房，酒店位置不错，能看见大海，环境也挺好的。就是酒店设施略微简单了点', '短评打分': 5}
{'短评内容': '总体来说性价比很高，跟闺蜜一起去的，距离景点都很近', '短评打分': 5}
{'短评内容': '卫生挺不错的，房间也还可以，总的很满意', '短评打分': 5}
{'短评内容': '卫生挺不错的，房间也还可以，总的很满意', '短评打分': 5}
{'短评内容': '确实有海景屋内设施有点旧，地点不错，还行吧', '短评打分': 5}
{'短评内容': '位置不错，在房间可以看日出。开着窗子可以听到海浪声。房间很宽敞，卫生很干净。离栈桥，火车站也更近，交通便利。不错的选择哟！', '短评打分': 5}
{'短评内容': '還不錯 入住过几次 前台挺热情 房间也干净', '短评打分': 3}
{'短评内容': '中规中矩，一般吧，就是离海边近', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '靠海边，宾馆设施环境还不错，就是卫生间就一个在里屋，整体感觉不错', '短评打分': 5}
{'短评内容': '还可以，只是房间有点老旧，但看海不错', '短评打分': 3}
{'短评内容': '还行吧，最好住朝东的。', '短评打分': 5}
{'短评内容': '差，就一个字差，特别脏，门一开门框掉了，竟然说我踹得，价格还那么贵，与周围得宾馆真没法比，以后再也不住！', '短评打分': 1}
{'短评内容': '酒店设施比较陈旧，但还干净卫生，靠海，看海景不错', '短评打分': 5}
{'短评内容': '住的房间面朝大海，房间卫生比较干净，虽然设施比较陈旧，但旅游旺季已经很不错了', '短评打分': 5}
{'短评内容': '位置很不错，房间有点潮湿，晚上去啤酒屋吃海鲜非常方便。', '短评打分': 5}
{'短评内容': '雅海阁酒店靠近海边，可观海，但店内服务差，设备脏！', '短评打分': 3}
{'短评内容': '房屋设施陈旧，地理位子临海边，服务一般，网上房价偏高。', '短评打分': 3}
{'短评内容': '，是家比较老的酒店，但能直接看到大海，也不错。', '短评打分': 3}
{'短评内容': '地点不错，只是设备有点陈旧。附近有一个农贸市场海鲜价格比啤酒街便宜可以让小饭馆加工。', '短评打分': 5}
{'短评内容': '此刻，我就躺在雅海阁的房间中，所谓的海景标准间，269元，插座只有一个，没有浴巾，只有一个小台灯，衣柜和房间都是发霉的味道。我不多做形容了，昨天看到有不推荐的人还不信，现在信了，如果你还是不信，我无话可说，请不要来这个酒店。', '短评打分': 1}
{'短评内容': '外楼有点久，房间还算可以。位置不错,附近有个市场可以买海鲜到啤酒屋加工，不错的', '短评打分': 5}
{'短评内容': '我在这家酒店住了三个晚上，酒店的外表一般，大堂设在11楼，服务热情，我住在15楼，两间房间都可以看到大海，听到海浪的声音，真的很舒服。房间设施还可以，简单温馨。卫生间的门可能离海太近有点变形。出门步行5到10分钟就可以到栈桥，晚上海边还有夜市，旁边吃饭的地方很多，大小超市都有，很方便。总之，不错。', '短评打分': 5}
{'短评内容': '位置很好，就是房间有点潮', '短评打分': 3}
{'短评内容': '交通还是比较方便的，就是酒店设施不太好，服务员态度一般。', '短评打分': 5}
{'短评内容': '这家酒店内部环境与图片不符，而且环境非常差，预定房间需要信用卡担保，然后强行扣除信用卡的担保金简直是欺诈，纯粹的黑店。外地旅游的朋友要注意了。客服态度非常差。此酒店万万不能住。', '短评打分': 1}
{'短评内容': ' 地段还不错，', '短评打分': 3}
{'短评内容': '刚到一楼门脸时候有点失望  不过上了楼  环境还是可以的  尤其酒店经理很热情人很好  有什么景点 如何去 都会很热情告诉我们最快捷最便宜的', '短评打分': 3}
{'短评内容': '还不错，比想象的好，因为之前看评价一般，所以还担心了一下。环境卫生都不错，可以看到海，也没有那么潮。只是卫生间灯光很昏暗，其他都不错~以后还会再住的~', '短评打分': 5}
{'短评内容': '距离有点偏，不过外出走15分钟可以坐公交车还是比较方便的。只不过五一期间公交车人是相当多啊！\n酒店设施较差，应该是7天改的酒店，房卡还是7天的呢。非节假日还是挺便宜的，结果五一就涨价很多，觉得有点不值了。这个价位可以住到位置更好条件更好的地方去。\n本来以为应该会很安静的，结果晚上的时候旁边可能是美食城或者有什么商店大声的放音乐，各种最炫民族风，很吵，很崩溃！\n而且没有吹风机，不能吹头发，例外服务员', '短评打分': 5}
{'短评内容': '酒店真的在海边，窗户就能看见栈桥夜景很漂亮。离火车站也近一站地吧，服务态度也不错，房子有点旧旧的，楼下转弯就有公交，整体还行', '短评打分': 3}
{'短评内容': '这里还好老板热情，只是地方不好找', '短评打分': 3}
{'短评内容': '酒店还行， 海就在门口， 房里能看见大海，这个季节的价格还行。', '短评打分': 5}
{'短评内容': '看海很方便，离火车站也近。不错。就是难找。', '短评打分': 5}
{'短评内容': '外观不显眼，前台很不象酒店，像以前的招待所，但房间条件较好，面积不小，干净', '短评打分': 3}
{'短评内容': '没有热水，没法洗澡！就是离火车站近点，别的没什么好的！', '短评打分': 1}
{'短评内容': '空调声音有点大，卫生还行，前台的服务态度不错，就在海边，空气很好，', '短评打分': 5}
{'短评内容': '空调声音太大', '短评打分': 3}
