{'descr': '酒店卫生一般,价格高于同类酒店,服务一般,毛巾有点破,就是坐机场大巴比较方便。', 'star': 3}
{'descr': '酒店设施陈旧 被子看起来不整洁  半夜洗澡水不热 出行还算方便 ', 'star': 1}
{'descr': '总体还可以，就是这间没有窗户。网速挺快的', 'star': 5}
{'descr': '淋浴房只有半边门，最主要的是服务员整夜大声聊天说笑，吵的没法睡觉。', 'star': 1}
{'descr': '离市中心。商场很近，附近停车场有机场大巴，还有地铁口！！', 'star': 5}
{'descr': '房间环境还是不错的 与其价格相符 就是收银员态度有待改进', 'star': 5}
{'descr': '店员非常热情，服务也周到。但是但是，房间里有老鼠！！！！！！！！！', 'star': 1}
{'descr': '房间宽。卫生还可以。服务也好。离地铁站特近。方便。', 'star': 5}
{'descr': '我都没有住过为什么要我点评.点评什么啊.', 'star': 1}
{'descr': '还行把,服务态度也不错,环境才不错,离南京市中心才进也挺方面的,让头回客变成回头客.', 'star': 5}
{'descr': '还不错，还比较满意，没有失望，下次还会入住的，', 'star': 5}
{'descr': '感觉不错，挺喜欢。只是灯光不够亮，电脑不好用', 'star': 5}
{'descr': '服务态度不错…卫生状况会差点…卫生间下水道气味太重了', 'star': 3}
{'descr': '豪华标间的床是一样大，不是一大一小，问前台，前台答，网上乱写的，就是两张小床…这种解释让人晕', 'star': 3}
{'descr': '交通便利，服务一般，下午去时总台居然安排了卫生还未打扫的房间。', 'star': 5}
{'descr': '我定的3046房间光线不行，没有台灯、其他还凑合！空调制热慢点.', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '酒店有其人性化的一面，总体感觉尚可。建议改进处：空调不够给力；没有无线宽带', 'star': 3}
{'descr': '房间很干净，店家服务态度很好。', 'star': 3}
{'descr': '任何时间段淋浴水都很小，很难接受，其他还行吧', 'star': 1}
{'descr': '交通挺方便的 地铁站就在附近 房间还挺干净的 总的来说还不错', 'star': 5}
{'descr': '不错,交通很方便.位于市中心.很繁华', 'star': 3}
{'descr': '这家店靠近地铁2号线和长途汽车站，交通方便，但是卫生条件一般了，因为不是直营店，所以这个价位也不能要求这么多了。', 'star': 1}
{'descr': '很好', 'star': 5}
{'descr': '酒店离汉中门客运站非常近，如果开车的话，可以把车停在汉中门车站里（过夜收费9元），在宾馆住了一晚上，出去几趟，没有见到一个服务员。不知道是不是为了节约成本', 'star': 5}
{'descr': '还可以吧，满卫生的，其他倒是一般般。还有就是挨着长途汽车站，早上会比较吵，睡懒觉的话会被吵醒', 'star': 5}
{'descr': '酒店位置不错，但不能忍受的是洗澡淋浴水量太小，太受罪了。', 'star': 1}
{'descr': '订的是豪华标间，可实际却很一般，比7天的一般标间还差。装修很老，卫生间洗澡的地方，连个挡水都没有，整个卫生间都是水。感觉很不好。', 'star': 1}
{'descr': '总的来说性价比还是很好的。就是隔音措施不怎么好。大清早就被隔壁的声音吵醒。', 'star': 5}
{'descr': '虽说是刚开的，但是是从原先的宾馆改装过来的，设施很一般，房间还有一股难闻的味道。', 'star': 1}
{'descr': '离省人民医院最近的一家连锁宾馆，很新，但是床头的墙上已经裂开。卫生间里设施还行，挺干净的，床铺也舒服，两张床比较大，可能有一米三宽了。不是中央空调，效果不好。非要两张身份证才能入住，否则就要去派出所开证明。。。服务员还行。', 'star': 5}
{'descr': '还不错，服务态度不错，但设备较旧', 'star': 5}
{'descr': '地理位置不错，就是床有点硬', 'star': 5}
{'descr': '空调制冷不好，一个小时温度都没下来\r\n房间地面地毯脏，很多污渍\r\n', 'star': 1}
{'descr': '挺好，交通方便', 'star': 5}
{'descr': '设施陈旧了些，比其他经济型快捷酒店差一些。', 'star': 5}
{'descr': '酒店位置比较好，出行方便，还可以。', 'star': 5}
{'descr': '隔音效果不好，其他还行', 'star': 3}
{'descr': '隔音效果不怎好，其他还行', 'star': 5}
{'descr': '位置不错 很方便 只是卫生间会有一阵一阵的噪音 不知道是不是排气扇的原因', 'star': 5}
{'descr': '总体感觉还不错', 'star': 3}
{'descr': '交通便利，总体不错。', 'star': 5}
{'descr': '临街 较吵 只有一层客房 位置较好 距离地铁汉中门站很近', 'star': 1}
{'descr': '酒店干净卫生，环境很好。适合出差的客人！', 'star': 5}
{'descr': '性价比很好的酒店，服务到位，卫生干净，设施完善，下次还会入住。', 'star': 5}
{'descr': '选择这家酒店是因为距离我办事的地点比较近，酒店的综合水平比较高.服务也不错.', 'star': 5}
{'descr': '酒店服务很好，工作人员对客人都很热情很专业。配置也很齐全。', 'star': 5}
{'descr': '唯一遗憾的是酒店无餐厅，旁边餐饮酒店差', 'star': 1}
{'descr': '位置还是挺好的就在客运站附近很好找，内部环境也很不错房间也很干净和舒适。价格还差不多，服务态度也还行还是挺不错的一家酒店。', 'star': 5}
{'descr': '这家酒店的办事效率很差，我都到店告知没房，查了半天才给我安排，服务态度也不是很热情，房间里环境还可以，打扫的挺干净，酒店的位置很好，周边交通很便利，价格方面我觉得一般。', 'star': 5}
{'descr': '整体感觉不错.酒店的房间一间临街一面紧临长途客运站停 车场，相对来讲有点吵.除了这方面不足外，其它各方面都非常好.', 'star': 5}
{'descr': '整体感觉不错.酒店的房间一间临街一面紧临长途客运站停 车场，相对来讲有点吵.除了这方面不足外，其它各方面都非常好.', 'star': 5}
