{'短评内容': '非常优秀的老牌酒店，一直都很喜欢！', '短评打分': 5}
{'短评内容': '每次出差都来这里，价格虽然在周边算高的，但由于是老品牌酒店，地点好，安静、大气、上档次，服务也是没得说，唯一不满意的有两点，夏天空天不冷和坐便器太小十分不舒服。', '短评打分': 5}
{'短评内容': '升级套房很不错', '短评打分': 5}
{'短评内容': '客户老外出差来访帮预订的酒店，无法提供可供大家参考的信息。', '短评打分': 4}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也很好。', '短评打分': 5}
{'短评内容': '入住非常好，不错', '短评打分': 5}
{'短评内容': '很高档的酒店', '短评打分': 5}
{'短评内容': '挺好的，还行，还不错，还可以', '短评打分': 5}
{'短评内容': '干净整洁，安静舒适。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以毕竟价格便宜', '短评打分': 4}
{'短评内容': '二楼餐饮部门的菜品不行，环境下降', '短评打分': 4}
{'短评内容': '酒店內環境不错, 不失为大型酒店的風範. 酒店內设施齐备, 很好的感觉.', '短评打分': 5}
{'短评内容': '新床头灯使用非常方便，确实不错', '短评打分': 5}
{'短评内容': '淋浴出水太小了', '短评打分': 4}
{'短评内容': '怎么这么多？', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比很高的酒店！服务也很好！不足酒店比较老，设施有些陈旧，卫浴间有条件还是要改善下！', '短评打分': 5}
{'短评内容': '很不错，酒店员工很客气。宾至如归。', '短评打分': 5}
{'短评内容': '设施虽然有点老，但是很环保，整体感觉很好！', '短评打分': 5}
{'短评内容': '酒店老了，设备该换了', '短评打分': 4}
{'短评内容': '服务好, 位置佳, 出行便利, 非常好的选择! 值得推荐......', '短评打分': 5}
{'短评内容': '酒店很旧,  硬件不像五星级,  服务还不错', '短评打分': 3}
{'短评内容': '酒店几乎在各方面都非常好！但只有两点：一是豪华大床间的洗浴设施太落后，还是多年以前的老淋浴设备，希望能更换为像行政类房间一样的淋浴设备，作为5星级酒店，我想这一点是基本的。二是作为5星级酒店，早餐有些差强人意，建议去观摩一下鸢飞大酒店这个4星级酒店的早餐是什么样的。', '短评打分': 5}
{'短评内容': '酒店服务不错，价格也公道，一楼的饭菜也可以，', '短评打分': 5}
{'短评内容': '床短。马桶小。其他尚可', '短评打分': 3}
