{'短评内容': '不好很不好', '短评打分': 3}
{'短评内容': '位置很好找。附近出行方便', '短评打分': 5}
{'短评内容': '11月3日11时 退房时一楼前台的工作人员，特别热心 热情! 谢谢你们', '短评打分': 5}
{'短评内容': '停车位只有三个，经理停一个和老板停两个，免费停车位基本没有，还得自己花钱停收费停车场，很差的一次住宿，房间设施太老旧，电视只能收几个台，网络时断时好的，晚上连上了，早上就不行了。', '短评打分': 2}
{'短评内容': '你和我走一波', '短评打分': 1}
{'短评内容': '环境不行，服务不行，价格又高，建议不要选择', '短评打分': 5}
{'短评内容': '没有房间随便给了个低价房', '短评打分': 2}
{'短评内容': '性价比挺好高', '短评打分': 4}
{'短评内容': '很脏', '短评打分': 2}
{'短评内容': '還不錯', '短评打分': 4}
{'短评内容': '有蟑螂…', '短评打分': 3}
{'短评内容': '酒店很干净，环境不错', '短评打分': 5}
{'短评内容': '酒店太旧。服务人员爱理不理的。周围老旧社区，吃的挺多', '短评打分': 3}
{'短评内容': '不错，性价比很高', '短评打分': 5}
{'短评内容': '还是不错的，就是七楼的电视不怎么好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
