{'短评内容': '性价比蛮高', '短评打分': 4}
{'短评内容': '想不到这么便宜，房间大卫生！服务好', '短评打分': 5}
{'短评内容': '很一般的酒店，胜在便宜', '短评打分': 3}
{'短评内容': '很好的居住环境  来岑溪首选', '短评打分': 5}
{'短评内容': '挺好的，卫生，价格合理', '短评打分': 5}
{'短评内容': '房间汗臭味大，前台毫不专业，网订的半天难被确定', '短评打分': 1}
{'短评内容': '每月都来住，好评好评好评', '短评打分': 5}
{'短评内容': '一直都很好，每月都要去出差，每月都住这里', '短评打分': 5}
{'短评内容': '整理干净卫生，每月过来岑溪都是住这里，值得推荐', '短评打分': 5}
{'短评内容': '每次出差都是住这里，环境不错，安静舒服，停车方便', '短评打分': 5}
{'短评内容': '本来是可以刷预授权的，但是前台的说不可以，又要用现金交押金。非常的不满意，', '短评打分': 3}
{'短评内容': '房间还行，洗手台放过道，看着时尚，用起来感觉别扭', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '算当地干净的房', '短评打分': 5}
