{'短评内容': '房间很小，墙壁很脏，床很小', '短评打分': 3}
{'短评内容': '我吗巩固h', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不怎么好', '短评打分': 3}
{'短评内容': '房间是隔开的特别小太小了78瓶', '短评打分': 2}
{'短评内容': '房间很迷你呀空间太小，卫生间没有门有个帘子，卫生一般般，', '短评打分': 3}
{'短评内容': '其他还行，房间略小，性价比高。', '短评打分': 5}
{'短评内容': '还行，对的起这个价格！', '短评打分': 5}
{'短评内容': '还行，对的起这个价格！', '短评打分': 5}
{'短评内容': '房间太小了！！！！！！！就一张床把空间占完了！！！价格还不便宜&hellip;！！', '短评打分': 1}
{'短评内容': '第二次入住&hellip;布丁价格便宜！', '短评打分': 5}
{'短评内容': '酒店房间稍小点～有卫生间和空调-也可以了！', '短评打分': 5}
{'短评内容': '便捷舒适，交通方便，离车站挺近。', '短评打分': 5}
{'短评内容': '还行吧，就是不隔音，空调声音大', '短评打分': 5}
{'短评内容': '不要相信照片。太垃圾了', '短评打分': 1}
{'短评内容': '酒店设施很好，都是最好的产品，卫生也超级干净，是我住过最干净。性价比最高的酒店，真的很不错，真的很干净。卫生干净。卫生干净。卫生干净。卫生干净，卫生干净，卫生干净。卫生干净，卫生干净，卫生干净，卫生干净，', '短评打分': 5}
{'短评内容': '还不错 性价比在那里摆着', '短评打分': 5}
{'短评内容': '非常可爱温馨的一个酒店，订的双床房，房间够大，床也很舒服，洗澡热水很充足，前台服务也很热情，登记的时候主动跟我们说可以拿洗漱套装，房间里电视机我们用不来，她还主动帮我们弄，只是酒店位置实在很偏，离西湖和火车站都很远，但是离河坊街真的很近，综合起来性价比还是相当不错的', '短评打分': 5}
{'短评内容': '酒店的位置非常优越 处在离开河坊街不远的地方 走路过去就几分钟的时间 酒店设施有点陈旧 相比其他酒店有一点很好的是酒店的每个房间都有一个小窗户 房间虽然很少 但是该有的简单的洗漱用具都免费提供了 在酒店服务方面还有待小小的加强呢  综合起来相对于这个价格在杭州找到这样的连锁酒店还算是性价比高的了 ', '短评打分': 5}
{'短评内容': '位置挺好的，离火车站，长途汽车站都挺近的。', '短评打分': 3}
{'短评内容': '位置好，就是房间太小，卫生一般。价格也对的起了。', '短评打分': 3}
{'短评内容': '环境好 服务好', '短评打分': 5}
{'短评内容': '小的可怜', '短评打分': 1}
{'短评内容': '有点小，不过价位便宜合适', '短评打分': 5}
{'短评内容': '位置很不错，房间也很卫生。前台很热情，跟前台人员问路，非常耐心的解答。', '短评打分': 5}
{'短评内容': '太小了 转身都觉得困难 行李没有地方放 很难受', '短评打分': 1}
{'短评内容': '很好很好很好很好很好满意满意满意满意满意就是有点点小~~~~', '短评打分': 5}
{'短评内容': ' 还不错，就是空间太小', '短评打分': 3}
{'短评内容': '空间小，不过有趣。', '短评打分': 3}
{'短评内容': '没有比这更小的房间了', '短评打分': 3}
{'短评内容': ' 太不值了，房间小的不能在下了，加上厕所差不多10平米，', '短评打分': 3}
{'短评内容': '感觉不错，设计挺好，快捷酒店中算好的。而且在杭州的河坊街，有名的小吃街，感觉不错', '短评打分': 5}
{'短评内容': '感觉还好，卫生间小。', '短评打分': 3}
{'短评内容': '房间小到没办法站，小的不得了，一张一米三五的床就是房间的大小，坑爹啊，这样的破酒店还142，房间完全不隔音，又是马路边，叫床声，汽车声，想死的感觉。', '短评打分': 1}
{'短评内容': '太小了，住的不舒服', '短评打分': 3}
{'短评内容': '还好，蛮温馨的，在这个地段这样的价格，这样的服务，其实蛮不错的，下次有机会，还会选择它', '短评打分': 5}
{'短评内容': '地段不错，就是房间实在台小了点吧', '短评打分': 3}
{'短评内容': '超级烂的一家酒店，所谓的温馨大床房，只有一张床的空位，根本没法容身。。。请各位朋友三思再定这个房。。。', '短评打分': 1}
{'短评内容': '地理位置挺好 就是小了点 下次也没机会住了', '短评打分': 5}
{'短评内容': '挺温馨的 还行', '短评打分': 3}
{'短评内容': '原来以为就在河坊街这边。谁知道却隔着三四条街。真正河坊街这边的店叫“高银街”。有点被骗的感觉。订的房间有点小。价格也说不上。第二晚就换了一间了。换了个家庭房。这个价格跟如家的相比还是有点小贵。如家什么用具都有也差不多这个价格了。真是不能相信网上的评价。以后要找自已住过的地方才行。下次不来了。这次旅游心情也不好了。真是的。', '短评打分': 1}
{'短评内容': '房间太。。。。小，根本就没有放东西的地方，还好带的行李不多！！！', '短评打分': 1}
{'短评内容': '房间的确太小了，主要是卫生间有异味，床单和被罩不干净。', '短评打分': 1}
{'短评内容': '之前挑选酒店时，看到很多客人说酒店房间小，结果……真的很小很小很小……不过还可以接受。酒店虽然是在河坊街18号，但是离真正河坊街步行街还是有一定距离的，起码得走个5到10分钟。酒店外观和大堂装饰还是很现代的，简洁大方，看了很舒服很年轻。就是房间真的太小了。两个人在里面同时站着基本就挪不开步子了，不过对于我们这种出来旅游的年轻人，酒店只是晚上睡一觉早晨洗个澡的地方，也不错。酒店还是挺干净的，有提供毛', '短评打分': 5}
{'短评内容': '＋这个布丁是我住过的最小且环境最不好，房间有股不干净东西受潮的味道，空调的声音无比大，在我耳边轰鸣了一夜！', '短评打分': 3}
{'短评内容': '酒店在河坊街里，逛街很方便，酒店性价比较高，卫生很好，每天都会有服务员帮忙打扫房间，服务很周到热情', '短评打分': 5}
{'短评内容': '酒店地处市中心，河坊街附近，周边有很多小吃，餐馆。还有大型的购物商场，出行很方便，房间干净整洁，前台服务周到，硬件齐全，住着很舒服', '短评打分': 5}
{'短评内容': '房间不是很大，但硬件设施一应俱全还可以上网很方便，酒店在请河坊老街上，周边出行方便的很，住宿条件还不错', '短评打分': 5}
{'短评内容': '位置不错，下车就到，方便，适合出差的人住。', '短评打分': 5}
{'短评内容': '酒店周边出行很方便，门口打车或者坐公交都方便，附近有一些饰品店，餐馆，购物吃饭都没问题，距离西湖也很近', '短评打分': 5}
{'短评内容': '房间住着很舒适，卫生条件很好，干净整洁，服务周到热情，位置也不错，地处市中心，出行去西湖都很方便', '短评打分': 5}
{'短评内容': '交通方便 价格也公道 就是有点小 周围就是河坊街 逛街方便', '短评打分': 5}
