{'descr': '挺好', 'star': 5}
{'descr': '去仪征出差，选择了这家快捷酒店，房间很大，性价比很好，周边也有好多餐厅，服务人员也很热情，下次还会入住的', 'star': 3}
{'descr': '比起一线城市，价格还是比较便宜！停车很方便门口可以用随便停随时可以停来形容！周边不是太繁华，位位置有点偏。吃喝要出门左转弯走过医院有个小区，门口有些饭店。房价比较大。早餐反正是要花钱，基本上每家锦江都差不多。', 'star': 4}
{'descr': '环境可以，看着相对干净，房间电视不行，其它可以。。。', 'star': 4}
{'descr': '非常舒适，极力推荐！非常舒适，极力推荐！非常舒适，极力推荐！非常舒适，极力推荐！非常舒适，极力推荐！非常舒适，极力推荐！', 'star': 5}
{'descr': '很压抑！那窗户位置形状大小都难受', 'star': 4}
{'descr': '那个浴室按沐浴露的都是坏的，', 'star': 3}
{'descr': '交通便利 干净整洁 服务态度很好 安静休息好 周边环境不错 吃饭方便', 'star': 5}
{'descr': '很便宜，酒店很好，就是外面吃的很少选择', 'star': 5}
{'descr': '价格便宜、房间干净，服务态度好。', 'star': 4}
{'descr': '很好，便宜，停车方便，干净整洁，很热情', 'star': 5}
{'descr': '位置不错，房间大，卫生也错，物超所值，下回还住这里。', 'star': 5}
{'descr': '锦江之星仪征大庆北路店，设施设备比较干净，地点位置好，交通便利，出行方便，服务也很好。', 'star': 3}
{'descr': '房间够大，卫生不错，交通也方便，下回来还住他们家。', 'star': 5}
{'descr': '感觉一般', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '很干净、卫生，服务也很好。尤其是早餐，在连锁酒店比较还是不错的。', 'star': 5}
{'descr': '酒店工作人员服务态度不错，标准房A 的空间略微显小，经与前台工作人员协商后满足了我们的要求，换成相对宽敞的标准B房。房间很干净，也很安静。略感不足的是卫生间的毛巾质量不太好，与汉庭连锁酒店相比，毛巾显得薄而小，因使用时间过长，白毛巾的色泽也已发灰，很陈旧。如果酒店能及时更新卫生间的用品，住客的满意度会大大提高。', 'star': 5}
{'descr': ' 还行，房间一般不算大', 'star': 3}
{'descr': '酒店在武汉去扬州的路上，离瘦西湖有30分钟的车程，很方便。酒店很干净，房间也很大，标间是一张大床和一床小床，正好3人住。因此第二天又续订了一天', 'star': 5}
{'descr': '酒店很干净，房间也很大，标间是一张大床和一床小床，正好3人住。因此第二天又续订了一天', 'star': 5}
{'descr': '很好，房间内很干净，服务周到，有早餐，位置近，而且安逸，空气好', 'star': 5}
{'descr': '在我住过的这么多锦江之星中，这里的房间是最大的！ \n', 'star': 5}
{'descr': '酒店很干净很温馨。就是周边没有大型超市比较不方便', 'star': 5}
{'descr': '干净卫生，网速慢，隔音不好。', 'star': 3}
{'descr': '交通方便，卫生舒适，安全温馨，服务也不错。。。', 'star': 5}
{'descr': '很好，房间内很干净，服务周到，有早餐，位置近，而且安逸，空气好', 'star': 5}
{'descr': '酒店设施很新，服务态度也是一流，性价比很高。', 'star': 5}
{'descr': 'big room, new surrounding,but dinner is simple....................', 'star': 5}
{'descr': '感觉很不错，环境很好。服务也不错！', 'star': 3}
{'descr': '房间很新，设施基本还是全新的。\n房间面积很大，卫浴间面积也很大。\n插座很多，可以同时看电视、电脑上网、给手机充电、给相机电池充电、做开水，感觉非常便利！从而节省时间休息。\n早餐非常丰富，营养全面，值得进餐！\n离仪征汽车站非常近，走路10分钟即到。\n服务很好！', 'star': 5}
{'descr': '4月14日是个特殊的日子，在感觉最好的锦江之星，留下了难忘的记忆。', 'star': 5}
{'descr': '帮同事订了这里，深受好评，下次还会再订。', 'star': 5}
{'descr': '在我住过的这么多锦江之星中，这里的房间是最大的！', 'star': 5}
