{'短评内容': '环境不错，出行方便，服务态度很好', '短评打分': 5}
{'短评内容': '酒店老旧，房间整洁真的很差，入住当天床单明显就是前一个住客用过然后没换过，超级恶心的房间，一晚50我都不会再住，还收二百多，强烈建议大家不要考虑这间酒店', '短评打分': 2}
{'短评内容': '不错哈，环境好', '短评打分': 5}
{'短评内容': '交通很方便！服务很热情！吃的玩的都很多！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置不错，挨商场', '短评打分': 5}
{'短评内容': '位置不错，挨商场', '短评打分': 5}
{'短评内容': '预定方便，价格合理，信息准确', '短评打分': 5}
{'短评内容': '环境可以 服务周到。', '短评打分': 5}
{'短评内容': '酒店所处位置交通方便，附近有很多吃的地方，性价比高', '短评打分': 5}
{'短评内容': '酒店所处位置，交通及餐饮，都比较方便，房间设施，齐全，但是，有点陈旧', '短评打分': 5}
{'短评内容': '环境不错，地段好，方便', '短评打分': 5}
{'短评内容': '已经第二次入住了，各方面都非常好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度恶劣，房间肮脏不堪。早餐食品疑似过期产品', '短评打分': 2}
{'短评内容': '房间挺好的，交通便利，购物方便，挺好', '短评打分': 5}
{'短评内容': '外滩近，老外多！！！！！！！！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '地理位置很好，服务不错，卫生也不错，但设施一般，早餐品种太少，开始时间太晚（7：30开始），急待改进。总体印象不错。', '短评打分': 5}
{'短评内容': '酒店位置可以，交通比较方便 ，卫生也不错  。服务很好，设施一般 。早晨可以。', '短评打分': 4}
{'短评内容': '酒店就在电子科大附近，位置很好，酒店比较干净。', '短评打分': 4}
