{'短评内容': '感觉很好，就是停车不方便', '短评打分': 5}
{'短评内容': '服务好，环境一般', '短评打分': 5}
{'短评内容': '马上要装修了。', '短评打分': 5}
{'短评内容': '里面好昏暗，服务也是一般，和预定的房间也是不一样滴', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好好好好好好好好，凑齐十个字', '短评打分': 5}
{'短评内容': '好好好好好好好好，凑齐十个字', '短评打分': 5}
{'短评内容': '好好好好好好好好，凑齐十个字', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体还可以吧！房间够大', '短评打分': 4}
{'短评内容': '很好，前后住了7天，感觉还行', '短评打分': 5}
{'短评内容': '还行，住了好多天，喜欢', '短评打分': 4}
{'短评内容': '周边吃喝的很多，离车站也蛮近，喜欢这里', '短评打分': 5}
{'短评内容': '交通便利，去哪里都很方便，喜欢', '短评打分': 5}
