{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '很一般的酒店，还没早餐！楼里的公司在装修，丑死了！！！！', '短评打分': 3}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '还可以！！！', '短评打分': 4}
{'短评内容': '酒店比较满意，喜欢. 出差可以住', '短评打分': 4}
{'短评内容': '服务态度好.............................................', '短评打分': 5}
{'短评内容': '酒店不错 地理位置优越', '短评打分': 5}
{'短评内容': '还算可以，比较经济实惠。', '短评打分': 4}
{'短评内容': '刚好在装修，而且还没有暖气，胜在隔壁一条街吃东西多，还靠近地铁站', '短评打分': 4}
{'短评内容': '可以的', '短评打分': 3}
{'短评内容': '总体来说对得起这个价格，性价比还行。', '短评打分': 4}
{'短评内容': '평이 괜찮아서 예약을 했지만, 해외카드결재도 되지 않고, 체크인시 방값을 현찰로 다 지불해서 좀 당황스러웠습니다. 방도 작고, 화장실도 작아서 이용하는데 많이 불편했습니다.', '短评打分': 2}
{'短评内容': '周围还有挺多吃的，商场就没什么了，要比较远才有，临近12号地铁站口，但还没开。房间还算安静，装修尚可，卫生不错，早餐在永和大王吃。床不是很硬那种。', '短评打分': 4}
{'短评内容': '价格实惠，而且房间环境很好，设施也很好', '短评打分': 5}
{'短评内容': '住的很舒服~~位置也好，不错的说！', '短评打分': 5}
{'短评内容': '房间设施还不错,也不算小,离漕河泾工业区非常近,就是早餐太简陋了.', '短评打分': 5}
{'短评内容': ' 房间装修如同酒店名称，还不错！', '短评打分': 3}
{'短评内容': '门口在施工，房间很小，还经常从门缝里塞名片进来。', '短评打分': 5}
{'短评内容': '优点：刚装修的酒店，硬件设施不错。\r\n缺点：酒店管理不好，房间有点吵', '短评打分': 3}
{'短评内容': '设施不错，早餐一般，但是比较干净，因为工作人员和老板的小孩也在吃', '短评打分': 5}
{'短评内容': '酒店设施不错，早餐一般', '短评打分': 3}
{'短评内容': '优点：干净，时尚，明亮，感觉还不错。\n缺点：这个价位有点高，酒店吃饭的地方不太正规，去周边吃比较合适', '短评打分': 5}
{'短评内容': '性价比不错的酒店，我的同事出差上海我都推荐来这儿住。', '短评打分': 3}
{'短评内容': '房间装饰布置典雅，床上用品干净整洁，这点让人放心，只是房间面积偏小，而且价格确要300多，偏贵了。', '短评打分': 3}
{'短评内容': '第N次住这儿啦，就像回家一样。', '短评打分': 3}
{'短评内容': '这里已是我出差上海的住宿目的地了，且已带动同事出差也住这里。期待早餐改善。', '短评打分': 3}
{'短评内容': '环境还可以，地方也比较好找，但人员服务态度、早餐、用品前所未见的差！', '短评打分': 1}
{'短评内容': '已经是第三次入住，房间大而净，可免费点播大片，且离办事处近很方便。', '短评打分': 3}
{'短评内容': '預訂時的價格是RMB228可是我入住時的價格却是RMB230，不是2元錢的問題，希望有個解釋，能說服我的合理理由。只希望得到合理的能接受的說明。\n', '短评打分': 1}
{'短评内容': '酒店很好，很干净很豪华', '短评打分': 3}
{'短评内容': '酒店房间大而新，早餐稍差。周边生活较便利。', '短评打分': 3}
{'短评内容': '除了有点吵和早餐比较烂之外，其余都还好，房间比较新。', '短评打分': 5}
{'短评内容': '地方有些偏，餐厅在楼外面，房间里还可以,就是这个价格了', '短评打分': 5}
{'短评内容': '房间较新，装修还不错，很舒适。早餐很一般很一般！', '短评打分': 5}
{'短评内容': '寝具很舒适，差旅的理想选择。酒店早餐一般。', '短评打分': 5}
{'短评内容': '房间很小，隔音效果很差,电梯有异响而且是和别人公用的。', '短评打分': 1}
{'短评内容': '离我的客户比较近，坐地铁方便，环境也安静。', '短评打分': 5}
{'短评内容': '挺好的，房间内还算舒服，就是和写字楼合在一起的电梯，没有私密感，另外，房间内地毯养护需要加强', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '酒店环境不错，很干净，性价比比较高。酒店西餐比中餐好吃。', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 3}
{'短评内容': '服务周到客房舒', '短评打分': 3}
{'短评内容': '客户舒适，服务体贴，非同时尚', '短评打分': 3}
{'短评内容': '酒店装修比较新，感觉很不错............................', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '环境还不错，服务也挺好，下次还会选择这家的~', '短评打分': 5}
{'短评内容': '环境不错 就是答应我的早餐送到房间 但第二天不但没送 一问前台告知我没有了 生气  但环境还是不错', '短评打分': 5}
{'短评内容': '酒店2010年开张，房间较宽敞，空气比较清新，用品都很干净。早餐一般。交通也算方便，主要是离出差工作地点很近，周边饭店较多。', '短评打分': 5}
{'短评内容': ' 干净，房间有点小。', '短评打分': 3}
{'短评内容': '酒店一般，性价比不高', '短评打分': 3}
{'短评内容': '环境不错，就是设施不够齐全，330的价格还没有电脑', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '发表对<上海非同时尚酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n发表对<上海非同时尚酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。发表对<上海非同时尚酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '酒店交通方便，价位合理，周围吃饭也较方便，就是停车位少。总体来说还不错。', '短评打分': 5}
{'短评内容': '在上海，属于新酒店了，房间小了点，但很干净，安静，早餐差了点，没什么太多的吃的', '短评打分': 5}
{'短评内容': '干净漂亮的大堂和房间，吃饭也很方便，出门就有很多饭店，唯一不足的就是房间有些小，', '短评打分': 5}
{'短评内容': '房间比较干净清爽、就是电梯有一股怪味；没早餐不好。房间设施比较新。', '短评打分': 5}
