{'短评内容': '还不错，干净', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '早餐一办', '短评打分': 5}
{'短评内容': '房间设施还不错', '短评打分': 4}
{'短评内容': '房间太旧了', '短评打分': 3}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '很一般的酒店，晚上马路上车辆比较吵', '短评打分': 3}
{'短评内容': '还行，就是电视跟不上', '短评打分': 5}
{'短评内容': '房间一般。早餐糟糕，品种少，服务态度差，1米2以下不管多大都要收28块一位', '短评打分': 5}
{'短评内容': '老牌5星级酒店，很一般，与新兴酒店有很大差距。房间不大，设施陈旧，尤其是电视机，还是那种很老土的大屁股29寸的。房间灯光昏暗，马桶有故障，', '短评打分': 5}
{'短评内容': '一般般……', '短评打分': 3}
{'短评内容': '광저우 공항에서 1시간 정도 걸리며 큰 호텔이라 찾기가 쉽습니다. 내부는 지낼만하며, 직원들도 친절합니다. 식사는 보통 수준이며, 근처에 나가서 먹을 만한 식당은 많지 않습니다. 갈때는 모르고 택시 타고 가느라 꽤 비용이 들었지만 올때는 10분 근처의 공항버스를 이용하여 비용을 절감하였습니다. ', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还是原来那个样，没什么好说的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '电视机还是老式的，设备比较陈旧了，靠路边的房间噪音比较大', '短评打分': 5}
{'短评内容': '交通方便！', '短评打分': 5}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '还是可以的，不过贵了点啊，呵呵', '短评打分': 5}
{'短评内容': '酒店服务好差', '短评打分': 3}
{'短评内容': '客房很大，卫生好，服务态度好。', '短评打分': 5}
{'短评内容': '客房很大，卫生好，服务态度好。', '短评打分': 5}
{'短评内容': '很好，很不错的', '短评打分': 5}
{'短评内容': '酒店干净整洁，房间大设备全。下次还来住', '短评打分': 5}
{'短评内容': ' 还是一如既往的方便，电视机可以考虑更换了。', '短评打分': 3}
{'短评内容': '挺不错的一家酒店，房间够大，挺好的，交通也方便。', '短评打分': 5}
{'短评内容': '不错，环境、服务都可以。跟广州花园酒店有一些差别', '短评打分': 5}
{'短评内容': '外面看比较气派，房间总体还不错，至少可以达到4星的标准，只是只是……早饭真令人无语，没什么选择啊，不是一般的差', '短评打分': 5}
{'短评内容': '不错的酒店，以后还会来，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '地理位置很不错，房间设施尤其是酒店的早餐有点跟五星挂牌不太符合。总体感觉还不错。', '短评打分': 5}
{'短评内容': '干净 舒适 算是性价比比较高，我们公司出差去佛山基本上都是入住佛山三水花园酒店的', '短评打分': 5}
{'短评内容': '房间的窗户是密封的，不通风，淋浴间很小，花洒是固定在墙上，我伸直手都够不着，不管想洗脸还是洗脚，水都是冲到头上，地方太小了都没地方避……', '短评打分': 1}
{'短评内容': '酒店可能好久没有装修了，感觉挺陈旧，希望早餐能丰富一些', '短评打分': 1}
{'短评内容': '一向住那里，，的，，，满意，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '环境不错.公寓套房,我经常住，就是前台长得不够漂亮，可以考虑下引进漂亮点的女孩子。', '短评打分': 5}
{'短评内容': '很好很强大！~很好很强大！~很好很强大！~很好很强大！~很好很强大！~', '短评打分': 5}
{'短评内容': '就是水温忽冷忽热，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '都不错，，就是水温忽冷忽热\n，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店算是三水比较好的，但是进入房间后感觉味道很难闻，而且晚上有人骚扰，早饭是一如既往的差劲', '短评打分': 1}
{'短评内容': '佛山三水最好的了，没说的，就是大环境影响的，三水这边出租车不正规，都是一口价，摩托车还贼多。 交通混乱，在花园感觉还不错。早餐是单调了。 ', '短评打分': 5}
{'短评内容': '一直住的酒店，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '一直住这里，，方便，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店位置佳,房间干净,设施齐备,到其它地方又方便,是商住出游的理想住地.', '短评打分': 5}
{'短评内容': '还可以，硬件有点旧了，大堂挺漂亮，房价一般。', '短评打分': 5}
{'短评内容': '不错，就是电梯太少了，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '一直觉得很好，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '还不错，下次还会入住，支持一下，性价比较高', '短评打分': 5}
{'短评内容': '不错，各方面还可以，早餐太单调了，能丰富点就更好，电梯太少了。', '短评打分': 5}
{'短评内容': '很好，比较舒适，也很干净。最好设计一些有一家四口的房间就好了', '短评打分': 5}
{'短评内容': '房间干净整洁，位置闹中取静。设施齐备而且房内空间够大，二米大床好舒服。', '短评打分': 3}
