{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店离高速挺近，出行方便，早餐品种加了蛮多，房间换了地板和墙纸，装修过比以前住的更舒适了。', '短评打分': 5}
{'短评内容': '早餐一般。四周比较吵。酒店设施比较老旧了。', '短评打分': 3}
{'短评内容': '来的时候看到很多人在搬床垫，就在想是不是换床垫了，一看床果然是换了新的，比以前好多了，墙纸地板也在换，我住的是9楼靠马路边的，房间有窗户，感觉还不错', '短评打分': 5}
{'短评内容': '早餐品种比之前增加了蛮多，挺好的，酒店离徐坊客运站很近，还好我在网上提前预订，不然酒店都没房了。', '短评打分': 5}
{'短评内容': '总体感觉挺不错，房间光线很不错，床很舒服，交通很便利，还有早餐。价钱也很合理，下次来南昌还选他们家。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间比较差，床单不干净并且被子也很薄，厕所的设备都感觉挺旧，而且洗漱用品都比较次，浴巾和毛巾更加让人不敢用，都是破的而且发黄，感觉那些图片好评都是刷的', '短评打分': 1}
{'短评内容': '还算可以的', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '隔音实在不好，隔壁说话就像在耳边一样', '短评打分': 5}
{'短评内容': '酒店还是有点旧 价格很实惠 一般般啦', '短评打分': 3}
{'短评内容': '周围环境一般，卫生服务态度一般，网络差。', '短评打分': 3}
{'短评内容': '一般不怎么好，哎价格一般', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
