{'短评内容': '一般吧，习惯性好评而已', '短评打分': 5}
{'短评内容': '房子太老了还小特别破。没有办法订完了。都想去网吧住了', '短评打分': 1}
{'短评内容': '实在太差', '短评打分': 2}
{'短评内容': '这个酒店还没家庭小旅馆好', '短评打分': 2}
{'短评内容': '卫生间马桶都是脏的', '短评打分': 2}
{'短评内容': '还可以哟，下次也利用看看。', '短评打分': 5}
{'短评内容': '还可以哟，下次也利用看看。', '短评打分': 5}
{'短评内容': '基本满意，服务挺好', '短评打分': 5}
{'短评内容': '全家出动，订了四间房间。可以说非常满意。价格比较合理，而且屋内打扫得十分干净。下次来延吉还是会选择这家酒店', '短评打分': 5}
{'短评内容': '首先是离火车站较近，出行方便，24小时热水。第一次安排的房间不太热，服务很好，帮忙调换了，很感动。但是卫生间设施有点旧，适合经济出行。', '短评打分': 5}
{'短评内容': '太差了，与实际情况严重不符。房间脏乱差，而且还有蟑螂。没有空调。冻死了。太坑人了，', '短评打分': 3}
{'短评内容': '特别差，携程代理确认时间太久，严重影响出行！前台态度蛮横，预授权也不给及时取消，房费还要压双份，不准离店......总之就是差，携程也差，酒店更差，怎么能跟这种酒店合作', '短评打分': 1}
{'短评内容': '房间很冷，换了4次房间，最后房间还算暖和。晚上想冲了澡，放了5分钟，没有热水。 早餐还不错', '短评打分': 3}
{'短评内容': '服务还好，卫生条件一般。室内有蚊子，整体设施过于老化。', '短评打分': 3}
{'短评内容': '酒店很老，早餐很差，卫生更差，以后住火车站也不去了，', '短评打分': 3}
{'短评内容': '真的离火车站很近很近的~~~~ 环境还好吧', '短评打分': 5}
{'短评内容': '内部装修及配套设施有些老，但总体感觉还可以，服务比较热情', '短评打分': 3}
{'短评内容': '房間還行，但浴室和早餐不理想！', '短评打分': 3}
{'短评内容': '地理位置好，老酒店了，装修太旧了，设备也老了。', '短评打分': 5}
{'短评内容': '这个酒店在火车站旁边，房间比较大，早餐很多东北菜和凉拌菜。', '短评打分': 5}
{'短评内容': '离车站近点，有点旧了。。不过还凑合吧。。。', '短评打分': 5}
{'短评内容': '虽然酒店的地理位置还不错，但是服务好差，登记入住时就要求别给我靠路边的房间，竟然回答说她们不清楚。。。令人难以置信，难道酒店都不给前台培训的，基本资料也不用知道的？与之理论时，推说自己刚上班，给人的感觉好差。说了好几遍的只住一晚，还是会一直询问我们住几个晚上。。。总之，下回不会再住了！', '短评打分': 1}
{'短评内容': '这家酒店挺好的，价格又不贵。\n以后还回去的', '短评打分': 5}
{'短评内容': '一个曾经辉煌过的酒店，现在还可以感受到华贵遗风，只是现在有点人老珠黄的感觉，房间真的需要重新装修一下了。', '短评打分': 5}
{'短评内容': '各方面都还行 价格比较合理，就是屋子不隔音 ', '短评打分': 5}
{'短评内容': '还不错的酒店，就像有的朋友说的，隔音差点', '短评打分': 5}
{'短评内容': '房间温都很好，挺暖和的，很适宜，空间大小合适，服务感觉还可以，舒适度不错', '短评打分': 5}
{'短评内容': '位置不错的酒店，走路十分钟就能到火车站，出行方便，房间硬件蛮齐全的，服务很到位，下次还会考虑住的', '短评打分': 5}
{'短评内容': '位置好，出行方便，服务到位，硬件齐全，各方面我们都比较满意', '短评打分': 5}
{'短评内容': '房间有二十平左右，格局布置的合理，服务还行，主要是位置不错，靠近火车站，我们出行都方便', '短评打分': 5}
{'短评内容': '酒店提供早餐，这点挺满意的，房间卫生很好，床品和卫生间打扫的干净，住宿环境还行', '短评打分': 5}
