{'短评内容': '好的好的好的', '短评打分': 5}
{'短评内容': '好的好的好的', '短评打分': 5}
{'短评内容': '好的好的好的', '短评打分': 5}
{'短评内容': '好的好的好的', '短评打分': 5}
{'短评内容': '卫生，服务好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺干净的，我们每次去喀什都是住在这里，只是以前都不是在网上订的', '短评打分': 5}
{'短评内容': '环境不错，卫生干净，服务也热情，最主要吃饭，购物，交通都挺方便。下次去还会住那儿。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '虽然房间的网络是坏的，但是服务人员的周到精神很值得表扬。顺便说一嘴，前台有只会说话的鹩哥，很好玩。', '短评打分': 5}
{'短评内容': '三人间房间不大，在喀什来说性价比一般，但是酒店地角不错', '短评打分': 1}
{'短评内容': '房间还可以，只是大堂有点小，门口的保安对于指导客人停车很不热心。', '短评打分': 5}
{'短评内容': '赶上喀交会，房间非常紧张，能住下就不错了，房间还可以，离清真寺和大巴扎远了点，', '短评打分': 5}
{'短评内容': '服务及时周到人性化。', '短评打分': 3}
{'短评内容': '服务是很热情，但是把我定的房间数额搞错了，我定的二间商务房一间单间，结果只有一个单房不知怎么住法', '短评打分': 1}
{'短评内容': '挺好，干净舒适，出行方便，价格还不贵。', '短评打分': 5}
{'短评内容': '位置挺好。周边交通挺便利，吃饭购物也挺方便。', '短评打分': 3}
{'短评内容': '价格挺实惠的，房间舒适度挺不错。', '短评打分': 3}
{'短评内容': '环境不错，性价比挺好，挺适合出差人士入住。', '短评打分': 5}
{'短评内容': '看着挺新挺卫生的，服务上也不错，办事效率挺高，周边交通也挺便利，下次还会光顾的。', '短评打分': 5}
{'短评内容': '酒店装修的挺好，卫生打扫也不错，基本设施都有，如果能上网就更好了。', '短评打分': 3}
{'短评内容': '房间挺大，设施挺齐全，住的挺舒适，价格也不贵，感觉挺不错。', '短评打分': 5}
{'短评内容': '前台服务挺好，设施挺新，卫生也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺好，干净卫生，设施完善，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '空间挺大，卫生很好，住的挺舒适，服务也不错。', '短评打分': 3}
