{'descr': '位置特别好，酒店就是七天如家差不多', 'star': 4}
{'descr': '房间还可以吧', 'star': 5}
{'descr': '离法盟很近，方便', 'star': 5}
{'descr': '很干净，安排的房间不是很好，在通道处，影响休息！价格高，服务质量一般，没有到家的感觉，员工在客区说话声音太大！', 'star': 5}
{'descr': '给别人订的，听说还可以', 'star': 4}
{'descr': '很好的哦，哈哈', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '还不错，北京的宾馆就是贵', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '还不错，房间很暖和', 'star': 5}
{'descr': '酒店位置不错，服务比较好，房间比较小', 'star': 4}
{'descr': '住在一楼，走道里有股味道。不过这个酒店，安静是真安静，听不到一点声音。通风也一般。', 'star': 4}
{'descr': '四星级的价格，旅馆的享受，失望透顶，携程评分居然还那么高？？？？？？？？？？？？？？？？能不住就别住吧', 'star': 1}
{'descr': '位置好找，就是房间太小，有点压抑。房间暖气太热', 'star': 3}
{'descr': '性价比高位置好唯一缺点网络不好。', 'star': 3}
{'descr': '酒店前台服务态度很差，不建议', 'star': 4}
{'descr': '还是不错的，已经多次入住了，性价比高！还是不错的，已经多次入住了，性价比高！还是不错的，已经多次入住了，性价比高！还是不错的，已经多次入住了，性价比高！还是不错的，已经多次入住了，性价比高！还是不错的，已经多次入住了，性价比高！', 'star': 5}
{'descr': '挺好的人', 'star': 3}
{'descr': '位置好，房间小', 'star': 3}
{'descr': '房间卫生不错，周边交通方便。面积太小、烟味、霉味太重……', 'star': 4}
{'descr': '挺不错的，比较安静，小小巧巧，位置很方便', 'star': 5}
{'descr': '店间虽小,但很干净.服务超好.值得推荐.', 'star': 5}
{'descr': '特别好，服务态度很好，没有带身份证，小哥还带我到警局办证明，很赞。附近也很繁华。', 'star': 3}
{'descr': '整体还不错，但是洗手间挂的毛巾清洁没有做到位，上面粘有头发。', 'star': 3}
{'descr': '酒店比较安静，位置便利，卫生很干净，不错！', 'star': 5}
{'descr': '上次没有点评吗？这个地方真不错，交通还可以，周边也有吃饭的地方，服务很热情，房间略小但不局促，床单、卫生间都很干净。就是停车位不太好找。', 'star': 5}
