{'短评内容': '酒店一般，早餐不好吃，', '短评打分': 5}
{'短评内容': '酒店一般，早餐不好吃，', '短评打分': 5}
{'短评内容': '酒店不错，早餐服务也好，如果再加点水果，则更加好！', '短评打分': 5}
{'短评内容': '房间干净，宽敞，地毯厚实，感觉舒服，性价比高。', '短评打分': 5}
{'短评内容': '早饭很温欣', '短评打分': 3}
{'短评内容': '出差第二次去这个宾馆，安静，干净，设施齐全，服务也好，那天下雨还主动借伞给我，很喜欢他家的免费早餐，家常而又卫生，花不比连锁店贵的钱入住这个星级宾馆你不会后悔。推荐！\n', '短评打分': 5}
{'短评内容': '＋酒店很安静', '短评打分': 3}
{'短评内容': '实在是很差的酒店，房间设施很差，服务态度更差，强烈建议不要选择该酒店，不然一定后悔。', '短评打分': 1}
{'短评内容': '感觉舒服很干净无骚扰很好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '经济实惠挺不错的~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间比较大，干净,免费升级房间到4楼.早餐简单,但是还凑合.\n4楼没有有线宽带,无线的速度实在太慢,电视机比较差.', '短评打分': 5}
{'短评内容': '酒店不错，设施稍旧，房间比较大，网速有点慢', '短评打分': 5}
{'短评内容': '房间环境不错，价格也比较实惠！整体还是比较满意！', '短评打分': 5}
{'短评内容': 'very good good good good good good\n', '短评打分': 5}
{'短评内容': '价格实在，早餐也很不错，一个房间可多人无线上网~', '短评打分': 5}
{'短评内容': '帮朋友订的，他们说不错，下次会再住了。帮朋友订的，他们说不错，下次会再住了。', '短评打分': 5}
{'短评内容': '住在7楼，挺干净的，缺点是洗澡水太小了，不知道是不是和楼层有关系。早餐特别简单，不过也还是比较清爽。', '短评打分': 5}
{'短评内容': '装修有点老，不过这个价钱还是可以的，相对来说还是比较实惠。交通也比较方便', '短评打分': 5}
{'短评内容': '房间宽敞，干净，隔音略差，但不怎么影响休息；早餐简单，但吃着还行，这个价格还有早餐已经不错了，整体感觉性价比不错。', '短评打分': 5}
{'短评内容': '是当地的朋友推荐订的房，有人点评说不好有点担心，去了挺满意的，房间很干净，设施都保养的不错地毯是新的，住5楼水也不小（楼高7层）。他们的窗比连锁店要大，环境很好，入住的客人好像都是出差的，去看过他们的特价房138元的，下次去提前订。问前台为何有人说你们一塌糊涂，她说“竞争激烈”......，呵呵，现在行业的争斗搞的我们也没方向了。不过我很负责的说，不错的酒店。', '短评打分': 5}
{'短评内容': '一般不怎么好', '短评打分': 3}
