{'短评内容': '地理位置很好，交通很方便，但是酒店设施比较老旧，wifi啊，电视啊什么的都不好用，而且酒店生意不好，早餐卷居然要到旁边的小店去吃。', '短评打分': 4}
{'短评内容': '还行，就是没早餐，不过可以凭券在对面小吃店吃', '短评打分': 4}
{'短评内容': '位置环境服务都很好，设施稍显不足。', '短评打分': 5}
{'短评内容': '酒店位置和环境都很好，设施旧了一些。但良好的服务足以弥补了。', '短评打分': 5}
{'短评内容': '吃住行方便', '短评打分': 5}
{'短评内容': '还不错，', '短评打分': 4}
{'短评内容': '酒店位置很好，在中心地区，到哪里都很方便。相反的也会有点喧闹～房间设施齐全，网络很快。服务也不错，早餐中规中矩。总的来说，性价比较高。 ', '短评打分': 5}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '房间太小，豪华大床也特小，完全不值这个价', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '总体感觉不错，干净', '短评打分': 3}
{'短评内容': '还不错，就是小了点', '短评打分': 4}
{'短评内容': '设施太老了，服务热情周到，地段好', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '三明永安酒店总体还好，位置在市中心，也挺干净的，标准三星，推荐！', '短评打分': 3}
