{'短评内容': '1.床头插座不能用。2.隔壁叫床声太大。3.走廊有客人半夜讲话聊天，影响睡觉。', '短评打分': 4}
{'短评内容': '房间太小，没桌子', '短评打分': 3}
{'短评内容': '比着周围同价位的还不错', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '订的钟点房 退房挺快的 好像七天汉庭这些经济连锁酒店退房都不用查房的？ 值得一赞的是净水器 直接接出来就可以饮用', '短评打分': 5}
{'短评内容': '商务房还不错在北京价格可以', '短评打分': 5}
{'短评内容': '价格合适，附近吃饭的地方多，离地铁也近，值得考虑', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '2不错，交通方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '对于初来北京的人来说真是个难找的地方，还好有手机导航。环境还是比较安静的，装修也温馨，所以住进去睡得蛮舒服的。服务态度也好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整体还不错。。就是暖气热了点，还开了点冷空调', '短评打分': 5}
{'短评内容': '满意，方便', '短评打分': 5}
