{'短评内容': '一般，空调暖气不是24小时有', '短评打分': 4}
{'短评内容': '很好，位置好，环境好，热情', '短评打分': 5}
{'短评内容': '酒店有点老', '短评打分': 4}
{'短评内容': '特别差 电视不能看 卫生也差', '短评打分': 1}
{'短评内容': '酒店设施老旧，服务一般。', '短评打分': 3}
{'短评内容': '先缴费。但是没有预定上，非常不好。如果不能预定，就应该不能缴费。否则，太影响客户的计划了。', '短评打分': 1}
{'短评内容': '你们自己感受一下。真是我大沂源的骄傲。', '短评打分': 3}
{'短评内容': '住着非常安静，非常超值舒服。', '短评打分': 5}
{'短评内容': '各方面挺好的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间还可以、就是被子有点硬、不太舒服。', '短评打分': 5}
{'短评内容': '老酒店了 还可以 ', '短评打分': 4}
{'短评内容': '家庭亲子', '短评打分': 5}
{'短评内容': '位置比较好，新汽车站有直达公交车，比较方便', '短评打分': 5}
{'短评内容': '十干净舒适', '短评打分': 3}
{'短评内容': '可能不是豪华间的原因，房间一般，只能说干净。前台服务意识很差！三个接待，一个客人，愣是站半天没人搭理。', '短评打分': 3}
{'短评内容': '算是当地最好的酒店了吧，总体还行，就是早餐一般，要了一份馄饨，就俩个，还烂了一对。', '短评打分': 5}
{'短评内容': '酒店不错，住房干净，酒菜实惠，下次来我还会选择它。', '短评打分': 3}
{'短评内容': '设施还不错服务也很好', '短评打分': 3}
{'短评内容': '沂源比较好的酒店，周边市场超市都距离很近，酒店前台很客气，山东人民也很友好。下次有机会去还会入住！\n\n', '短评打分': 5}
{'短评内容': '沂源比较好的酒店，周边市场超市都距离很近，酒店前台很客气，山东人民也很友好。下次有机会去还会入住！', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '＋设施不错，服务态度好', '短评打分': 3}
{'短评内容': '很不错，设施也挺新的，，环境也挺好，位置也挺容易找的', '短评打分': 5}
{'短评内容': '酒店各项设施都没得说，早餐不错，楼下的餐厅也很有档次，够四星标准。还经历了一个小插曲：离店时结账刷卡，服务员当时很忙忘记把押金退给我了。后来电话沟通，过了两天给我退银行卡上了。在此对酒店的服务表示感谢，特别感谢6月6日早班的服务员！', '短评打分': 5}
{'短评内容': '很不错的酒店，早餐很丰富，房间很干净，下次还来这', '短评打分': 5}
{'短评内容': '环境不错，服务态度较好，房间比较干净，早餐很好。地理位置方便，地处中心位置。', '短评打分': 5}
{'短评内容': '第一次入住，以前都是住另外一家三星级的，不过和这家比起来，那家的设施实在是太旧了。这家的服务员态度不够好，待提高', '短评打分': 5}
{'短评内容': '位置环境均不错，只是设施有点老。非常超值', '短评打分': 5}
{'短评内容': '当地没有更好的选择了，交通各方面真的还可以，早餐还没有来得急吃！', '短评打分': 5}
{'短评内容': '硬件不错,服务很好', '短评打分': 3}
{'短评内容': '济性价比最好的酒店，干净，安静，服务态度也不错，早餐还可以', '短评打分': 5}
{'短评内容': '服务人员很热情，办事效率快，房间布置的温馨，舒适，卫生条件很好，很干净，住着蛮放心的', '短评打分': 5}
{'短评内容': '室内环境很不错，服务态度很好，地理位置不错，门口打车坐公交都很方便', '短评打分': 5}
{'短评内容': '酒店有个地上停车场，自驾过来停车蛮方便的，房间质量很好，卫生设施做的很到位，床品睡着很舒服，服务员响应及时，积极主动', '短评打分': 5}
{'短评内容': '房间干净整洁，采光和通风都不错，前台服务员办理入住手续很快，酒店地处繁华市区，出行很方便。', '短评打分': 5}
{'短评内容': '房间卫生和设施都很好，卫生间洗漱用品齐全，房间通风很好，空气清新，服务很主动，酒店周边出行交通比较方便', '短评打分': 5}
{'短评内容': '酒店在当地算是很上档次的了，位置不错，周边出行很方便，房间装修的温馨，舒适，卫生间打扫的很干净，早餐可口，性价比挺高的', '短评打分': 5}
{'短评内容': '酒店位置不错，周边交通出行方便，购物也没问题，酒店的服务很好，前台服务员周到热情，房间面积挺大的，卫生不错，干净整洁，住宿条件挺好', '短评打分': 5}
{'短评内容': '酒店软硬件都不错，有在家的感觉，酒店有自己的停车场，停车方便，这里的服务员都很友善，房间装修的很高档，舒适度不错', '短评打分': 5}
{'短评内容': '房间大小适中，硬件很齐全，房间布置的很温馨，床品和卫生间干净整洁，感觉住着很放心', '短评打分': 5}
{'短评内容': '酒店装修的比较上档次，配套设施齐全，位置很好，出门就是购物一条街，购物方便，酒店服务很好，服务员很规范，住宿环境很不错', '短评打分': 5}
