{'短评内容': '还可以，希望多搞特价', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店还可以干净卫生，给个好评', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '环境还不错的.', '短评打分': 5}
{'短评内容': '环境不错啊', '短评打分': 5}
{'短评内容': '还可以的。下高速好找，有地下车库停车方便。保安师傅很负责任，热情。前台接待不专业，面无表情也就算了，竟晾着客人两人自顾找自己的充电绳。地毯陈旧，好多烟头烧的洞，换掉更好！', '短评打分': 5}
{'短评内容': '早餐很好。标间不能加床。带小孩也适合，酒店位置很好', '短评打分': 5}
{'短评内容': '很不错，相当不错，', '短评打分': 5}
{'短评内容': '真的很实惠  很棒  就是小卡片有点多', '短评打分': 5}
{'短评内容': '总体来说干净卫生，位置好，停车场大，停车方便', '短评打分': 5}
{'短评内容': '还行，就是墙纸有些脱落了', '短评打分': 5}
{'短评内容': '房间装饰一般，卫生一般，总体来说一般。', '短评打分': 5}
{'短评内容': '比较安静，服务也不错！', '短评打分': 5}
{'短评内容': '房间还不错，闹市区，有停车！', '短评打分': 5}
{'短评内容': '帮朋友订的，评价还不错。', '短评打分': 4}
{'短评内容': '住着还行，性价比蛮高，不过设施有点旧了，期待重新装修后的效果。', '短评打分': 4}
{'短评内容': '都是烂东西', '短评打分': 4}
{'短评内容': '房间卫生一般', '短评打分': 3}
{'短评内容': '人员混杂，环境一般', '短评打分': 3}
{'短评内容': '还不错了', '短评打分': 4}
{'短评内容': '酒店坐落在繁华街道边上，吃住行都很方便', '短评打分': 4}
{'短评内容': '每次来萍乡都是住在这个酒店，位置不错，购物和吃饭方便。布置很温馨和干净，没异味，性价比不错。去其他地方也很方便。这次美中不足的是，萍乡这时候还非常热，酒店居然不提供空调冷气了，要了个电风扇，风叶和防护罩都是灰尘相当脏，不敢用。晚上睡觉不盖被子。希望酒店以后根据天气开放。1612', '短评打分': 5}
{'短评内容': '酒店很干净，服务员比较热情，值得推荐', '短评打分': 3}
{'短评内容': '不错，环境很好，服务态度也很好，价格太美丽！', '短评打分': 5}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': '酒店房间小了点，不过还挺干净的，价位适中，还可以', '短评打分': 3}
{'短评内容': '管理水平太差，管理人员在电梯里抽烟，无视客人的存在。', '短评打分': 1}
{'短评内容': '这次感觉不错，下次来青岛还住在这里。如果能提供免费接机服务就好了', '短评打分': 5}
{'短评内容': '一家比较新的酒店，比较新。值得下次入住。只是门前的马路比好找。春节值得再入住', '短评打分': 5}
{'短评内容': '有点吵，其他都还好。有点吵，其他都还好。有点吵，其他都还好。', '短评打分': 5}
{'短评内容': '早餐很一般，需再多样化。早餐很一般，需再多样化。早餐很一般，需再多样化。', '短评打分': 5}
