{'短评内容': '非常舒服，而且干净、满意，会推荐给亲们的', '短评打分': 5}
{'短评内容': '环境还不错，跟住自己的家一样，老板人不错', '短评打分': 5}
{'短评内容': '酒店设施齐全。干净卫生宽敞明亮。', '短评打分': 5}
{'短评内容': '房间干净卫生，宽敞明亮很舒适。服务员态度很好。在旺角下车，看到一个工商局的蓝色牌子，从那条路一直往后走，走到最里边就到了，五楼有洗衣池，晒衣服的地，特别方便。赞！', '短评打分': 5}
{'短评内容': '第一次到武夷山，选择了枫枫家庭旅馆，地理位置在武夷山风景区度假区，出门几百米就是公交车站，坐车4站左右就到武夷山风景区了。地方略微有一点不好找，我们到得早，找了好久才找到。店面好像改名字叫做某某茶室？建议店家更新一下相关的信息，方便大家。旅馆前台和老板都很客气，寄存行李什么的非常爽快。门外附近就有很多早点店，吃完去景区非常舒适。另外，茶室一层真的非常非常有设计感，可以看到各种茶具，盆栽，美极了。要', '短评打分': 5}
{'短评内容': '又一次比赛', '短评打分': 5}
{'短评内容': '又一次比赛', '短评打分': 5}
{'短评内容': '垃圾旅馆，连自己的门面都没有，借用茶语花香家的门面，电视不能看，空调只有制冷，走廊没有疏散标志，跟迷宫一样，真不知道发生意外往哪跑?', '短评打分': 1}
{'短评内容': '价格公道，适合工薪家庭入住', '短评打分': 5}
{'短评内容': '很好的体验，下次跑马拉松还住这里。', '短评打分': 3}
{'短评内容': '酒店服务超出想象，才一百多，酒店服务员很热情，跑完马拉松延长时间洗澡，早上阿姨做饭，稀饭馒头小菜不错', '短评打分': 3}
{'短评内容': '卫生，服务、设施都一般地方也不好找周边吃的也没有。', '短评打分': 3}
{'短评内容': '酒店环境一般，卫生还好地方还不好找，', '短评打分': 4}
{'短评内容': '相对于非常便宜的价格，这家旅店可以说做得非常好了！值得称赞！  特别应该表扬前台接待的小欧同学，她为人热情、能够事事替旅行者着想，她能让第一次来到武夷山的朋友有宾至如归的感觉。  大家如果去武夷山旅游可以住一下就知道了。我推荐。  ', '短评打分': 5}
