{'短评内容': '环境干净卫生条件也停好，', '短评打分': 5}
{'短评内容': '适合带孩子', '短评打分': 5}
{'短评内容': '环境好，服务热情，没说的5星好评！', '短评打分': 5}
{'短评内容': '200元的价格，可以了，很划算，其他也没啥多计较的啦', '短评打分': 5}
{'短评内容': '酒店不错 。服务周到。小姐非常漂亮，充满热情微笑。', '短评打分': 5}
{'短评内容': '这个价格订到非常划算，自助早餐也不错，晚餐很一般，说是四星的，装修比较老，总之性价比很高', '短评打分': 5}
{'短评内容': '环境不错，下次再来', '短评打分': 4}
{'短评内容': '没想到这个价格也可以住到这么好的房间 每次服务态度都很到位', '短评打分': 5}
{'短评内容': '帮朋友定的  经常住这个酒店   早餐很不错 服务态度好也很好', '短评打分': 5}
{'短评内容': '酒店服务和设施还不错，价格稍回，不过因是春节期间，可以理解。人多时，自助早餐供应不及时。', '短评打分': 5}
{'短评内容': '装修挺新，停车方便，服务不错', '短评打分': 5}
{'短评内容': '写了有返现，为什么不兑现呢？店大欺客是携程还是酒店？', '短评打分': 3}
{'短评内容': '很满意,设施多,房间非常大,性价比高', '短评打分': 5}
{'短评内容': '酒店还不错，停车场很大，服务也还行，周边也比较安静，但是酒店时间长了，设施显得有点旧', '短评打分': 5}
{'短评内容': '不错的！还送一份自助晚餐，虽说是一种营销手段，但是对我们这种还是适用的！', '短评打分': 5}
{'短评内容': '这间房是给我家人预订并入住的，他们对这家酒店的服务和设施挺满意的。', '短评打分': 5}
{'短评内容': '酒店还不错，比较方便，环境设施尚可。以后有机会还会入住', '短评打分': 5}
{'短评内容': '一般般。酒店里感觉人挺少的。4星际标准勉强达到吧。客房有点小。价格还行。自助卷送一张另一张需要购买如果两人入住。', '短评打分': 5}
{'短评内容': '还可以，希望地毯再干净点,性价比还算可以， 就是晚上交通不怎么方便，很难打到出租车。', '短评打分': 5}
{'短评内容': '气派，干净，自助餐很不错', '短评打分': 3}
{'短评内容': '自助餐不错。\n但部分服务人员过于教条，灵活性不足。服务技巧有待提高。', '短评打分': 5}
{'短评内容': '客户有点旧，卫生间不怎么样', '短评打分': 3}
{'短评内容': '房间设施较好，酒店离市中心稍远，离汽车站较近，早餐欠佳', '短评打分': 1}
{'短评内容': '感觉这家酒装修的比较太老气，周边的绿化很少，房间里的设施方面很陈旧了，交通也不是很便利，唯一一点就是餐饮还不错。', '短评打分': 1}
{'短评内容': '房间不大，环境可以，服务也可，性价比一般', '短评打分': 5}
{'短评内容': '一般的酒店  位置有点偏 酒店比较老了   卫生还不错', '短评打分': 1}
{'短评内容': '酒店很安静，虽然位置稍偏，但有很大的停车场，而且在104国道边，很好找，距离鲁迅故居开车去不算太远。没车的朋友不太好打车。酒店的早餐、自助晚餐很丰盛，自助晚餐68元一位，很值。推荐。', '短评打分': 5}
