{'短评内容': '房间有味道', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置很好 很方便', '短评打分': 4}
{'短评内容': '早餐很丰富，每天样式很多', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐丰富，环境不错性价比很高的酒店，以后来水头还会继续选择明超酒店，', '短评打分': 5}
{'短评内容': '可以还不错', '短评打分': 4}
{'短评内容': '整体感觉不错，如果卫生间浴缸能改成淋浴房会更好。', '短评打分': 5}
{'短评内容': '给老公定的，老公说出差的选择还不错啊', '短评打分': 5}
{'短评内容': '很不错的酒店，值得', '短评打分': 5}
{'短评内容': '房间里面很好，装修也很新，服务也很好，价格也非常实惠', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮上海朋友定的，她过去出差。我自己是没住过这个酒店。听她说每次去都住这里，环境和服务都还不错，所以就帮她定这里。', '短评打分': 5}
{'短评内容': '正常，没有好的惊喜！就普通感觉3星标准的商务酒店', '短评打分': 3}
{'短评内容': '性价比高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '窗户太松，一晚上被风吹的响，第一晚没睡着', '短评打分': 4}
{'短评内容': '好环境好', '短评打分': 5}
{'短评内容': '设备有点旧，也是老字号的酒店了，就是整个酒店房子都在晃动，很有心理负担……', '短评打分': 5}
{'短评内容': '一般般，设施有点旧了，早饭没新意，不过也对得起那几块钱了。', '短评打分': 5}
