{'短评内容': '干净整洁，日常出差性价比高', '短评打分': 5}
{'短评内容': '很一般的酒店，床特别硬，非常不舒服', '短评打分': 4}
{'短评内容': '还好吧，卫生一般，在科技区，出差去的，到酒店还是有些失望', '短评打分': 4}
{'短评内容': '房间很小，没有窗口，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽，很不爽。', '短评打分': 2}
{'短评内容': '隔音特别差', '短评打分': 2}
{'短评内容': '很一般，潮，没窗户', '短评打分': 5}
{'短评内容': '酒店还可以，就是隔音不太好，窗户靠走廊，其他的还行', '短评打分': 4}
{'短评内容': '很普通的快捷酒店，无感………………', '短评打分': 3}
{'短评内容': '位置还行，设施陈旧了点，也不便宜。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '附近比较干净清爽的酒店', '短评打分': 4}
{'短评内容': '附近比较干净的连锁', '短评打分': 4}
{'短评内容': '有点旧了', '短评打分': 4}
{'短评内容': '家庭房房间太小，设施一般，位置可以，价格性价比不高', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '附近环境尚可但房间设备不行，热水不足', '短评打分': 2}
{'短评内容': '住的地方离出差的公司比较近，还不错', '短评打分': 3}
{'短评内容': '朋友住的还是可以的', '短评打分': 5}
{'短评内容': '还可以了，我入住的是复式大床房，有点意思，不错了。', '短评打分': 5}
{'短评内容': '复式结构，挺舒服的。就是边上吃的地方少了点。', '短评打分': 5}
{'短评内容': '正好到附近见客户，就找了这家酒店，靠着两条大马路，晚上还算安静；\n房间内该有的都有，稍微有点小，整体还是比较舒适，卫生搞得也还不错；\n\n整体上来讲，谈得上杭州的精品小酒店吧，就是离市区和景区都有点远，呵呵！', '短评打分': 5}
{'短评内容': '小巧精致，就早饭差一点，整体还不错。交通也比较便利，在路口。', '短评打分': 5}
{'短评内容': '很干净，屋子内很温馨，服务很周到，价格也公道，交通便利，强烈推荐！忙着工作忘了照照片了，其实和酒店图片一样的！', '短评打分': 3}
{'短评内容': '住的是精致大床房，房间有点小，总体还行吧。', '短评打分': 5}
{'短评内容': '还可以啦 榻榻米的设计。就是空间有点小，空调很给力。', '短评打分': 5}
{'短评内容': '不错哦，不过房间有点小，其他还行吧，蛮干净的，大厅环境蛮好的，风格也不错', '短评打分': 5}
{'短评内容': '订的特价房,房间切实比较小,没有窗户.\n最糟糕的是房间和卫生间的排气扇都不能转,房间有味道.\n其他都还可以!', '短评打分': 5}
{'短评内容': '还好吧，里火车站比较近。干净、便宜。电视是机顶盒的能点播，有热水和宽带。。。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，晚上很安静，这种复式结构的也是我们喜欢的类型！', '短评打分': 5}
{'短评内容': '越担心越来什么，最终酒店给了一个无窗的房间。不过还好气味不重，就是卫生间有点潮气。隔音不是很好，走廊，隔壁房间有人说话一清二楚。位置还比较好找四桥下来就到了。就是周边没啥商店吃饭不方便。楼下就一个拉面馆……', '短评打分': 1}
{'短评内容': '  酒店很清爽看起来很干净  周边太冷清不适合晚上出去玩  吃的东西便利店也有点远', '短评打分': 3}
{'短评内容': '非常棒的酒店，设施很新很干净，房间较小，但是非常对得起这个价格', '短评打分': 5}
{'短评内容': '酒店蛮不错的  虽然比较小 但是复式结构比较有家的感觉 蛮合算的     就是吃饭不是很方便 周边饭店比较少', '短评打分': 5}
{'短评内容': '很干净，这点很满意，唯一不好的就是木有热水啊亲！', '短评打分': 5}
{'短评内容': '洒店的复式大床房，还是性价比不错的。还配备电脑，卫生间干湿分离。', '短评打分': 3}
{'短评内容': '哈哈 不错！环境好，就是位置有点难找，然后房间非常有意境啦~！', '短评打分': 5}
{'短评内容': '很好，我们住的是复式的，感觉很高级，服务也挺好的，太棒了', '短评打分': 5}
{'短评内容': '精致、舒适，环境适中、安静，服务态度不错', '短评打分': 5}
{'短评内容': '一般，酒店很小，不是一般的小，甚至屋里连桌子都没有。', '短评打分': 5}
{'短评内容': '酒店很好很舒服。', '短评打分': 3}
{'短评内容': '酒店内挺好，就是交通不是很便利，房间不大，东西还算齐全。', '短评打分': 5}
{'短评内容': '房间还不错，但位置太偏僻了。吃饭，坐车都很困难', '短评打分': 5}
{'短评内容': '很喜欢，定的是精致大房，很时尚很漂亮，很安静，就是交通不太方便，出门就打的，打到杭州大厦30吧。', '短评打分': 5}
{'短评内容': '此酒店价格物有所值，精致房没有窗，不通风，房间太闷。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间比较干净 还不错 周围也很安静 就是稍微偏了点 高峰时候要提早出门才行', '短评打分': 5}
{'短评内容': '酒店距离西湖景区有一段距离，出行确实不很方便。好再我们这次自驾，但遭遇了严重的交通拥堵，20公里行走将近3小时。酒店内的设施及布置还不错。', '短评打分': 5}
{'短评内容': '酒店很好。干净时尚,非常时候年轻人来住。', '短评打分': 3}
{'短评内容': '的确很精致，东西都很新，房间里有电脑这是很多酒店都没有的哦……', '短评打分': 5}
{'短评内容': '这家酒店貌似新开没多久,卫生真的干净,服务也好,没想到还有电脑,就是有点偏,下次再去还选这家.', '短评打分': 5}
{'短评内容': '酒店新装修，环境不错，条件也教舒适，但是周围不好打车，如需打车出行，要和总台联系帮忙叫出租车。', '短评打分': 5}
{'短评内容': '地位有点偏周边比较慌凉适合有车来杭州自驾游～往来机场很方便～房间还很新睡得挺舒服热水貌似不太充足', '短评打分': 3}
{'短评内容': '酒店不错住着很温馨适合自驾游的客人就是装修气味还挺大', '短评打分': 3}
{'短评内容': '酒店非常不错，单价也很低，干净舒适。以后去还定这个。尤其是发票用完了，第二天就用顺丰快递寄过来，让人完全放心。谢谢', '短评打分': 3}
{'短评内容': '房间很好，性价比很高的饭店', '短评打分': 3}
{'短评内容': '爱上那酒店前台接待了,人漂亮,心眼好,就是忘了问叫什么了,就知道是一还实习期的', '短评打分': 3}
{'短评内容': '房间很舒服，刚装修的都是新的。就是交通有点不方便。', '短评打分': 3}
