{'短评内容': '便宜', '短评打分': 4}
{'短评内容': '交通方便临地铁站，就是房间香水太浓', '短评打分': 5}
{'短评内容': '交通方便临地铁站，就是房间香水太浓', '短评打分': 4}
{'短评内容': '交通方便临地铁站，就是房间香水太浓', '短评打分': 4}
{'短评内容': '我房间靠窗，外面一晚上大货车呜呜呜的声音', '短评打分': 4}
{'短评内容': '一个多月后才收到住宿发票', '短评打分': 3}
{'短评内容': '服务态度很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '其实一般，不过相比价格已经不错了，毕竟价格在这放着。', '短评打分': 3}
{'短评内容': '周边出行很方便，有公车站，房间虽然小了点但是卫生不错，前台服务很好', '短评打分': 5}
{'短评内容': '担保金退还渠道错误，我用储蓄卡支付，却通知退回至支付宝，我根本没支付宝账号', '短评打分': 2}
{'短评内容': '周围环境有些差，位置也有些偏。还凑合，价格算是实惠吧，也不能要求太高', '短评打分': 4}
{'短评内容': '还凑合了，就图个实惠', '短评打分': 5}
{'短评内容': '太吵啦', '短评打分': 3}
{'短评内容': '一分价钱一分货，在上海，价钱可能算低了，但是周边环境真心差，又有飞机场，整晚都是飞机起飞的声音，还有隔壁就是顺丰，睁眼都是广播里喊话分类和工人打包的嘈杂声，还有一个批发市场，半夜就开始批发蔬菜，那个吵呀！如果可以选择宁愿选贵的！希望对大家有帮助！', '短评打分': 1}
