{'descr': '只能临时居住，电梯都没有', 'star': 4}
{'descr': '环境不好，很乱，休息的不好。', 'star': 1}
{'descr': '还行，离火车站站很近', 'star': 3}
{'descr': '替几个中学生订的，他们说条件太差！', 'star': 3}
{'descr': '跟其它金一村的店相比，中央门这家差太多，以后不会选择了', 'star': 3}
{'descr': '挺好的，电视热水空调，各类设施齐全，交通便利，靠近火车站', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '总体感觉不太好', 'star': 3}
{'descr': '酒店这个房没窗户，有很重味道', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '太脏了，毛巾根本就不能用，房间有霉味！提前打电话问前台房间是否有窗，回答都有窗！结果到了发现只有皮箱那么大一个小窗，太坑了，空调是坏的，服务员半夜还拨打房间电话！简直太差劲儿了！以后都不会住这里！', 'star': 1}
{'descr': '一般', 'star': 4}
{'descr': '还不错！服务态度很好，比较热情，离火车站比较近。', 'star': 5}
{'descr': '房间挺整洁\n第一次住的商务间,比较大,这次的小多了', 'star': 3}
{'descr': '设施陈旧，从走廊看很像大学宿舍。床很小，毛巾极脏！万幸的是空调比较给力，怕冷的可以考虑，其他的最好不要选择。', 'star': 1}
{'descr': '朋友说隔音效果比较差，虽然办了张会员卡，但是估计以后是不会选这家的', 'star': 1}
{'descr': '酒店位置较为偏僻，看起来就像学生宿舍，不像酒店。里面硬件也一般，一般般吧', 'star': 1}
{'descr': '酒店干净卫生，但早餐简单。', 'star': 3}
{'descr': '酒店的床头板，是活动的，人往上一靠，咣咣的响，后来换了间房间总算好点了……比较简陋的，价格倒不比别人家便宜', 'star': 1}
{'descr': '没想向中好', 'star': 3}
{'descr': '酒店外表还可以，房间里面就很一般，有一点像招待所\n\n', 'star': 1}
{'descr': '基本符合要求，门前停车不便，房间光线感觉不够亮。', 'star': 5}
{'descr': '房间还算干净，整洁，就是室内灯光太暗，隔音效果不好', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '可以', 'star': 3}
{'descr': '价格适中，房间设施还可以。比较干净，下次去南京还会光顾的。', 'star': 5}
{'descr': '环境不错 靠马路有些嘈', 'star': 3}
{'descr': '房间很大，但是东西很少，没有沙发！希望能有沙发', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '这是一家连访客来看望都要登记身份证的地方，没带就不让进房间。我订的是商务房，没看出任何“商务”元素，设施简单、没吹风，没茶叶，甚至连电水壶都没有！没多余的凳子更别提沙发了，小圆椅子没靠背，“商务”在哪里呢？为什么要比其他房间贵呢？只是房间面积还算可以。浴室没有塑料围帘，一洗澡卫生间就都是水。', 'star': 1}
{'descr': '标间很大,这点我很喜欢的,也比较干净.有早点,只是卫生间是玻璃{以为不方便,后来才发现有一个拉帘的,避免尴尬)窗外是条臭水沟.离火车站走着十几分钟.', 'star': 5}
{'descr': '房间挺大的，上网和旅店服务什么的都挺好，就是隔壁不知道什么地方总飘来臭味', 'star': 3}
{'descr': '房间挺大的，上网和旅店服务什么的都挺好，就是隔壁不知道什么地方总飘来臭味', 'star': 3}
{'descr': '感觉不错，环境很好', 'star': 3}
{'descr': '感觉不错，环境很好', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '该店靠近火车站，步行十几分钟可到火车站站前广场。酒店设施一般。大多数服务员及保安态度较好。', 'star': 5}
