{'短评内容': '停车方便，早餐很给力', '短评打分': 5}
{'短评内容': '非常满意，酒店整体非常干净，房间卫生也不错，wifi也有。总体感觉该酒店房間还是不错的，还会再来的 。', '短评打分': 5}
{'短评内容': '房间床比较大～睡的舒服。很安静，空调冬天比较热乎。', '短评打分': 5}
{'短评内容': '设施齐全，地段佳', '短评打分': 5}
{'短评内容': '设施齐全，地段佳', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，性价比高。', '短评打分': 5}
{'短评内容': '一踏糊涂', '短评打分': 1}
{'短评内容': '周边环境好，安静', '短评打分': 5}
{'短评内容': '价格不错,谢谢!', '短评打分': 3}
{'短评内容': '很不错，一直住', '短评打分': 5}
{'短评内容': '都不错，就是早餐有点欠缺', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺方便的，周边综合体，停车方便。', '短评打分': 4}
{'短评内容': '挺方便的，停车场大，周边商业。', '短评打分': 4}
{'短评内容': '性价比很高，每次来都入住。这次过来房间洗澡水压小，最后主动帮我换了房间。服务态度也很好！下次过来还入住。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '出差首选，周边有万达跟吾悦，比较方便。', '短评打分': 5}
