{'短评内容': '设施齐全服务态度很好！', '短评打分': 5}
{'短评内容': '酒店早餐非常好，交通便利，适合出差入住', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '早餐一般，不过可以，和价位匹配', '短评打分': 5}
{'短评内容': '比预想的好一点点，前台服务态度很好，不过房间设施有点陈旧！其他', '短评打分': 5}
{'短评内容': '还凑合，就是装修太多年了，一股陈年的破旧感', '短评打分': 5}
{'短评内容': '预订的三人房。空调很好。房间大也很好。不足之处：1.服务员态度恶劣，入住前床单是脏的要求服务员更换，一进房间就骂骂咧咧的不愿给换。2.晚上入睡后房间蚊子太多了，一夜咬醒四次。3.退房时，明明我的鞋子落在房间了，服务员就说没有。因为退房时把服务员态度向前台做了反馈。鞋子很贵，只能遗憾了！总的来说，环境卫生太差，不够星级！', '短评打分': 1}
{'短评内容': '速度快速度快速度快速度快速度快速度快速度快速度快', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还可以吧，服务人员态度不错，房间性价比也能接受！', '短评打分': 5}
{'短评内容': '服务一般，有朝南的房间不给，先给朝北的房间，说不住后才可以给调', '短评打分': 3}
{'短评内容': '出差住的这里，很不错，应该算首套锦州比较好的酒店了，位置也蛮好的，周边吃饭的地方很多，下次来还会住这里', '短评打分': 5}
{'短评内容': '出差住的这里，还不错，应该算锦州不错的酒店，住了三天，周边吃饭的地方很多，应该属于位置好的了，下次还会住这里', '短评打分': 5}
{'短评内容': '好，很好，不错', '短评打分': 5}
{'短评内容': '非常好 不错！', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '位置不错，早餐不错。', '短评打分': 4}
{'短评内容': '环境不错，比较卫生，想睡懒觉的注意：早餐到9点就没了。', '短评打分': 5}
{'短评内容': '不错。一。。很好，\n123455666777888', '短评打分': 5}
{'短评内容': '很好，很干净，不错，。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店一般…隔音非常不好！早餐也不够丰富…', '短评打分': 3}
{'短评内容': '虽然是套房，外部房间比较大，但仅适合打麻将。内房偏小，座椅与床顶在一起，想坐下和站起来都很困难。酒店位置还不错。', '短评打分': 5}
{'短评内容': '地点好，交通非常方便，只是稍为旧一点，每次来都住这。', '短评打分': 5}
{'短评内容': '酒店除了地里位置优越之外，没有一样是好的，310的价格最多值200元，基本上都是自我服务，可能本土酒店对服务的概念很模糊。不值得推荐。', '短评打分': 1}
{'短评内容': '环境不错，早餐不错，性价比高，值得推荐的星级酒店。', '短评打分': 5}
{'短评内容': '酒店的的硬件怎么着也够不上四星标准，还有电视机连液晶的都不是，卫生间一塌糊涂，真的，这些话一点都不夸张，我相信住过的人都有这种看法。', '短评打分': 1}
{'短评内容': '在锦州应该算还可以了，就是酒店稍微旧了些。', '短评打分': 5}
{'短评内容': '位置不错，价格不高，附近饭店特别多，吃饭方便，停车场小', '短评打分': 5}
{'短评内容': '还不错 就是旧了', '短评打分': 3}
{'短评内容': '位置不错,出入火车站方便，其他出行也便利，感觉还行，推荐。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，卫生也很好，推荐，早餐也不错', '短评打分': 5}
{'短评内容': '非常好，性价比高，地理位置好，还会再住！', '短评打分': 5}
{'短评内容': '锦州金厦国际饭店位置不错.房间卫生很干净!早餐品种多!总台服务也好!每次来锦州都住这里!真的不错!', '短评打分': 3}
{'短评内容': '酒店总体还不错，地段还可以，周边有吃饭的地方，离火车站也比较近。', '短评打分': 5}
{'短评内容': '酒店环境很好，很干净，服务很周到。价格也很合理，早餐不错', '短评打分': 5}
{'短评内容': '脏、乱、差、简直就是个招待所，经常有陌生人在酒店走廊里跟着你转悠，跟酒店楼层反应，还没人管，我跟酒店员工说他们这里的问题，酒店员工说怎么地就这样爱住不住，够可以的这样的酒店，我肯定这是最后一次了。 ', '短评打分': 1}
{'短评内容': '卫生交通情况都算可以，楼下餐厅服务质量有待改善，去晚了不太愿意接待，但好在周边吃饭的地方还算不少。\n有的房间没有网线，如需要上网最好在前台提前说明下。', '短评打分': 5}
{'短评内容': '较干净。', '短评打分': 3}
{'短评内容': '内部环境雅舒适，只不过价钱超过公司10元钱，要是能300元就好了，早餐也非常好。已经去过好几次了', '短评打分': 5}
{'短评内容': '酒店设施一般，隔音效果不怎么好，网速还行，感觉价格还是偏贵。前台结账时发现有客人同类房价格好像便宜50多。', '短评打分': 5}
{'短评内容': '还不错。还不错。还不错。还不错。还不错。还不错。', '短评打分': 5}
{'短评内容': '房间设施较旧,价格偏贵。', '短评打分': 5}
{'短评内容': '内部条件舒适，环境优雅，干净，可以上网，早餐也很不错的。', '短评打分': 5}
{'短评内容': '房间设施陈旧，停车场无人管，位置还好，交通方便。', '短评打分': 1}
{'短评内容': '酒店外表不错，但硬件实在太差，建意尽快装修', '短评打分': 5}
{'短评内容': '酒店设施陈旧，亿龙网订房给的是最差的404房，没宽带，和餐厅的包房一层，（前台说就这一间房了，等我们取行李上楼经过前台时，来了个一家3口问有房间吗？回答有，其实就是比亿龙网上定的多20元左右。）破旧的客房连个床头灯都没有，10几寸的电视雪花片片，房间个个角落里排满了推销的商品，我老婆戏称：住在这样的客房，想住在小卖店里一样！大家千万别去住呀！', '短评打分': 1}
{'短评内容': '酒店一般！', '短评打分': 5}
{'短评内容': '酒店位于老城区，离市政府较远，酒店服务还行，设施较陈旧,但在锦州市也算是比较好的酒店了', '短评打分': 5}
