{'短评内容': '还是很不错的，酒店干净，服务号好', '短评打分': 5}
{'短评内容': '窗外不知是不是空调，噪声极大！极差评，烂酒店', '短评打分': 2}
{'短评内容': '前台晚上11点还打电话到房间。窗外不知道是不是空调机噪声超级大，不能入睡。差评的酒店！', '短评打分': 3}
{'短评内容': '房间不错，缺点是临街', '短评打分': 4}
{'短评内容': '酒店位于东安路边，出门就是地铁站，交通便利，服务人员彬彬有礼，房间卫生很干净，只是临街房间较吵，不过有设置双层玻璃窗，对于不是很敏感的人来说还可以。此次入住三个房间连订了五天，并提前在携程上付了房款，其中一个房间因朋友临时有事，提前一天给退了，经与酒店及携程沟通，一天的房费及时给退了，在此感谢相关客服人员。', '短评打分': 5}
{'短评内容': '酒店干净卫生，出行方便', '短评打分': 5}
{'短评内容': '还不错的吧，还不错的吧，还不错的吧，还不错的吧，还不错的吧，还不错的吧，还不错的吧，还不错的吧，还不错的吧，', '短评打分': 5}
{'短评内容': '房间干净，卫生间也可以。主要离医院近。比较方便。', '短评打分': 5}
{'短评内容': '房间挺小的 主要离医院比较近 还算方便 交通非常便利就在地铁口附近 周围吃饭地方也挺多 周一到周五房间挺紧张价格没有优惠', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '对于这家酒店很满意。前台工作人员好热情，服务周到。酒店的网速有待提高一点哦。能含早餐就更加好了。今后有机会还会选择这里。', '短评打分': 5}
{'短评内容': ' 凑合吧', '短评打分': 4}
{'短评内容': '交通非常便利，很满意。', '短评打分': 5}
{'短评内容': '挺干净。不错', '短评打分': 5}
{'短评内容': '装修好多灰 晚上电梯都坐不到 出去一直5楼来回走', '短评打分': 3}
{'短评内容': '给客户订的，还行', '短评打分': 5}
