{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '还好，老牌酒店！', '短评打分': 5}
{'短评内容': '早餐还不错的', '短评打分': 4}
{'短评内容': '早餐一般！', '短评打分': 4}
{'短评内容': '早餐一般！', '短评打分': 5}
{'短评内容': '满意。。。。。舒适', '短评打分': 4}
{'短评内容': '非常残旧的房间，住过最差的所谓星级酒店，没有之一，连烧水的热水壶都是坏的，下次再也不住这里了', '短评打分': 3}
{'短评内容': '酒店设施陈旧', '短评打分': 4}
{'短评内容': '很好，值得拥有！', '短评打分': 5}
{'短评内容': '酒店不错，服务态度好', '短评打分': 3}
{'短评内容': '这个特价的房间，令我很失望！房间内设备太少，安排的房间内霉味很重、窗帘坏的、墙面墙纸发霉、卫生间等都是很差劲的........隔天起来居然停电了，电话、网络都没有，不知道要多久恢复，真的很受伤！...', '短评打分': 2}
{'短评内容': '环境总体还可以  ', '短评打分': 4}
{'短评内容': '总体不错、', '短评打分': 5}
{'短评内容': '总体还不错，装修有点陈旧，', '短评打分': 5}
{'短评内容': '酒店旧了一点， 但还干净！吃饭方便！不过， 靠马路侧有点吵！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '都不错，就是早点蔬菜类很多，肉类少，房间的吹风机是坏的。', '短评打分': 4}
{'短评内容': '在这样的小城市里边，还算可以了，稍微久了点，前台有特色，不像酒店像KTV，很怪', '短评打分': 3}
{'短评内容': '房间比较旧，早餐就很差了，没什么吃的。永州好的酒店不多，选择面太窄', '短评打分': 5}
{'短评内容': '环境很好！交通也是很方便，干净卫生。。。', '短评打分': 5}
{'短评内容': '一般，有间房臭六楼', '短评打分': 3}
{'短评内容': '水壶很多水垢，\n被子不干净盖过之后感觉身上痒', '短评打分': 1}
