{'短评内容': '早餐不怎么样 房间也有一股霉味 窗户是不能打开的 设施设备都太老旧了 ', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生很好，自助餐种类很多，非常好吃', '短评打分': 5}
{'短评内容': '卫生不错，自助餐超好吃，种类也多', '短评打分': 5}
{'短评内容': '位置好，服务态度好', '短评打分': 5}
{'短评内容': '房间很大，外景很漂亮，周围便利', '短评打分': 5}
{'短评内容': '连续下了一周订单，很方便，实惠', '短评打分': 5}
{'短评内容': '服务设施齐全，打扫阿姨也很细心', '短评打分': 5}
{'短评内容': '酒店环境很好，空间足，适合度假首选', '短评打分': 5}
{'短评内容': '环境很好，一直住在这里，交通方便快捷', '短评打分': 5}
{'短评内容': '圣诞节快到了，酒店的圣诞布景有个性，很漂亮！推荐给大家！', '短评打分': 5}
{'短评内容': '好漂亮的房间，床舒服，卫生干净。', '短评打分': 5}
{'短评内容': '新装修好的酒店，高大尚！推荐给大家！', '短评打分': 5}
{'短评内容': '早餐很好吃，服务很好！推荐给大家！', '短评打分': 5}
{'短评内容': '早餐很丰富，出品精美，很好吃！值得推荐！', '短评打分': 5}
{'短评内容': '宝安机场30分钟就到，很快很方便。400多的五星级，很不错，大堂很多奇石，很有特色，装修很华丽，听说已经开业10年的老酒店了，但是保养得还不错。本来打算到外面吃晚餐，但朋友说这里的自助餐挺不错的，就试了下，果然不错，品种很丰富，海鲜很新鲜。晚上到健身房转了圈，一边运动，一边看夜景，舒坦。', '短评打分': 5}
{'短评内容': '/已住，还可以', '短评打分': 3}
{'短评内容': '酒店 房间 小了一点，日本料理不好吃。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '性价比非常高。酒店看着很上档次。环境优雅！房间也比较舒适！', '短评打分': 5}
{'短评内容': '性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，性价比高，好，', '短评打分': 5}
{'短评内容': '早餐很好，但打车不方便。房间比较舒适。', '短评打分': 3}
{'短评内容': '酒店一般，附近比较嘈杂，没有什么商业设施。。', '短评打分': 1}
{'短评内容': '设施已经开始陈旧了，服务也相当一般。不会再去。', '短评打分': 1}
{'短评内容': '人多了去了，整天都有会议。电梯慢，早餐被吃光了。', '短评打分': 5}
{'短评内容': '有人唱歌。一直唱到很晚，我仔细听了听，不怎么样。', '短评打分': 5}
{'短评内容': '客人入住后，由于枕头太软第二天落枕。说再也不会入住。而且酒店服务一般。', '短评打分': 1}
{'短评内容': '酒店很好，很卫生，虽然在马路边但很安静，价格也合理。周围环境就不太好，都是农民房，大床房床还是小，跟不上形式发展。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '1、价格合理，房间很好;\n2、服务水平较高；态度非常好；\n3、位置有点偏，周围在修路；\n4、早餐比较丰富，但是连续住却是缺少变化', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '入住以后感觉真的很不错，服务也挺好的，房间舒适，自助早餐食物品种超多，味道也满意，会向朋友推荐，自己也会再选择这家酒店入住。', '短评打分': 5}
{'短评内容': '房间内的设备陈旧，特别是浴室，下水不畅。地毯很旧很脏，房间打扫也不干净。前台服务冷面，很不亲切。', '短评打分': 1}
{'短评内容': '飯店舒適度夠，服務也不錯，但市價格有點偏高，餐飲價格更是高的嚇人', '短评打分': 5}
{'短评内容': '酒店不错，位置稍偏', '短评打分': 5}
{'短评内容': '虽然陈设有点老旧， 但还是不错的酒店，下次还会来住', '短评打分': 3}
{'短评内容': '不错的酒店, 大床很舒服, 房间有点小, 但这样的价格,也算OK 了', '短评打分': 5}
{'短评内容': 'good hotel and price and service', '短评打分': 5}
{'短评内容': '位置还行，设施挺一般的，服务价格都没问题，硬件设施还是陈旧了。不过酒店的价格倒是挺便宜的。', '短评打分': 5}
{'短评内容': '内部设施还是比较好的。卫生干净。', '短评打分': 5}
{'短评内容': '老牌5星酒店', '短评打分': 5}
{'短评内容': '性价比挺高的， 不过房间空调冷了点', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都还不错，卫生服务也比较达标，酒店位于高速口去往机场比较方便，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '空调有点冷，调到最小了还是凉。', '短评打分': 5}
{'短评内容': '酒店的位置非常好，刚好在高速出入口，去机场很方便，适合商务人员出差入住，配套的娱乐设施均不错，适合同客户谈业务需求', '短评打分': 5}
{'短评内容': '好酒店', '短评打分': 3}
{'短评内容': '房间满意,服务好', '短评打分': 5}
{'短评内容': '适合商务旅行住宿.', '短评打分': 5}
{'短评内容': '服务不好,客人到达后,行礼生光看着也不来拿.门口站了7,8个人看到客人也不招呼.不知所谓.', '短评打分': 1}
{'短评内容': '还可以,下次有时间还中以再住.', '短评打分': 5}
{'短评内容': '早餐的东西和服务好像不如以前，自助晚餐价格太贵，东西也不怎么养。离五星的标准还是有很大的差距。', '短评打分': 3}
{'短评内容': '酒店餐厅菜式性价比不错。房间方面还算满意。', '短评打分': 5}
