{'短评内容': '房间服务一般', '短评打分': 3}
{'短评内容': '价格算比较实惠吧', '短评打分': 4}
{'短评内容': '也就那样了，只能说还对得起这个价格，凑合住吧，wifi用不了。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以，但还有不足之处。', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '住过多次，因离目的地较近。但该酒店除了价格低，真没什么优点了。', '短评打分': 1}
{'短评内容': '酒店设施阵旧，多有故障，只是价格便宜。', '短评打分': 1}
{'短评内容': '性价比尚可，细节有待改善。', '短评打分': 3}
{'短评内容': '性价比尚可，细节有较多问题。', '短评打分': 3}
{'短评内容': '酒店性价比不错，只是细节还需要完善。', '短评打分': 3}
{'短评内容': '提前预定的，前台客服态度挺好，交通很便利，酒店开业有段时间了，我住的那几天价格有些偏贵，附近小吃店还算比较多，上班高峰期出租车不是很容易打到，建议用滴滴打车叫车，最好是私家车，可以开到附近大学的校园里去，较出租车方便', '短评打分': 3}
{'短评内容': '整体感觉还好 就是房间隔音效果不太好 可能是因为靠着电梯的原因吧', '短评打分': 3}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '房间很大，价格合理，早餐八元有点一般，能开发票不过要交10％的税！', '短评打分': 5}
{'短评内容': '服务质量基本可以，早餐的品种较少，单一。房间打扫不是很及时，价位比较满意。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还行吧。就是前台对酒店位置比较木讷，问了很多次，都说不清，还是自己买张地图摸索找到的。', '短评打分': 5}
