{'短评内容': '服务迅速，确认很快，价格实惠！', '短评打分': 5}
{'短评内容': '酒店装修还可以，只是地毯有点味道', '短评打分': 5}
{'短评内容': '房间很好，配套齐全，烫衣服的都有，', '短评打分': 5}
{'短评内容': '还行 灯光不错', '短评打分': 5}
{'短评内容': '还行 ', '短评打分': 5}
{'短评内容': '没有一个东西是好的', '短评打分': 1}
{'短评内容': '不是非常理想，非常不错的一个酒店', '短评打分': 4}
{'短评内容': '不错的一个酒店，多次入住，感觉挺不错0', '短评打分': 4}
{'短评内容': '不错的一个酒店，只是卫生条件有点差强人意，昨天晚上睡了一个晚上，皮肤还有点痒痒的', '短评打分': 4}
{'短评内容': '酒店在桔园立交桥旁边，位置好，但是所有房间没有窗户，空气不好', '短评打分': 4}
{'短评内容': '酒店还是好找的，不过到高铁站要二十多分钟的车', '短评打分': 4}
{'短评内容': '相对干净，设施一般，有些陈旧。但是服务态度很好。', '短评打分': 4}
{'短评内容': '位置一般，就在一个环形交叉口附近', '短评打分': 4}
{'短评内容': '很不错，房间设施比较好，性价比高', '短评打分': 4}
{'短评内容': '没窗', '短评打分': 3}
{'短评内容': '总体还不错', '短评打分': 3}
