{'短评内容': '性价比还是非常不错的，酒店，住的比较满意', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '硬件设施比较差', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格便宜，房间干净。', '短评打分': 5}
{'短评内容': '酒店环境很好，价格便宜。', '短评打分': 5}
{'短评内容': '非常的满意', '短评打分': 5}
{'短评内容': '还不错吧   房间小小的  网络还挺好的  还有个电脑  不过电脑有点烂    热水挺好   重要的是离我考试的地方挺近的', '短评打分': 5}
{'短评内容': '在携程订的房间住进去后，房间内的嗡嗡声响跟飞机起飞时有一比，问前台说是因为房顶上有中央空调机所以才响，我就要求换房间，前台说同等价的房间没有了，只有再加85才能换另一个房间，我只有妥协，一次窝火的住宿，，，', '短评打分': 3}
{'短评内容': '唉，再也不会来了', '短评打分': 3}
{'短评内容': '还行吧，团购没早餐', '短评打分': 3}
{'短评内容': '服务不人性化，位置好，房间小', '短评打分': 3}
{'短评内容': '还不错 周边设施也齐全', '短评打分': 5}
{'短评内容': '房间太小，放张床就没地方了，订的时候也没休息。离火车站有些远。', '短评打分': 4}
{'短评内容': '还行，香水喷的太多了了', '短评打分': 4}
{'短评内容': '还行 不错', '短评打分': 5}
{'短评内容': '环境优雅，卫生也很干净，是一次难忘的旅行！', '短评打分': 5}
