{'短评内容': '之前有住过，这次去香港依然选择美丽华', '短评打分': 5}
{'短评内容': '早餐为西式，品种较少，但吃得健康。地理位置得天独厚，对面就是mira购物商城，购物和便餐均方便，值得一提的是交通都很方便，5分钟即可到达地铁站。只是香港出租车拒载现象严重，出租司机欺骗行为可恶！这与酒店关系不大，但实在令人失望的地方，香港这个地方以后不会再来。', '短评打分': 5}
{'短评内容': '房间在香港酒店来说挺大的（27平），干净卫生，设施也很不错，该有的都有，酒店对面是九龙公园，楼下有商场，购物吃饭方便，去海港城步行十几分分钟，打5分。要说不足的就是贵点', '短评打分': 5}
{'短评内容': '房间很舒适', '短评打分': 5}
{'短评内容': 'b不错', '短评打分': 4}
{'短评内容': '购物方便，住的舒服，干净，值得推荐', '短评打分': 5}
{'短评内容': '位置不错，就在弥敦道上，周围比较方便。这个酒店不是第一次住了，有个疑问，为什么内地游客普遍安排在低楼层，而老外基本都在高楼层呢？没浴缸的房间洗手池好小好小好小。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '房间面积在香港还算大的，浴室是全透明的，总之不错', '短评打分': 5}
{'短评内容': '挺好 离地铁稍微远了点 回头去机场不是太方便', '短评打分': 5}
{'短评内容': '住的很好 房间很漂亮', '短评打分': 5}
{'短评内容': '很不错的产品，很满意的购物体验!', '短评打分': 5}
{'短评内容': '酒店位置相当的好，就在美丽华商场，距离尖沙咀地铁站B1口大概300米左右，饮食、购物有很多的选择，来港是一个非常值得推荐的选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出门购物方便，出门左转就是弥顿道，房间和床1.2都还算宽敞的。临近圣诞加上周六，价格涨的离谱', '短评打分': 5}
{'短评内容': '住香港唯一的选择', '短评打分': 5}
{'短评内容': '来香港都是住美丽华，习惯了，很喜欢', '短评打分': 5}
{'短评内容': '每次都住这里，方便', '短评打分': 5}
{'短评内容': '房间很舒适～大厅很有设计感～出行超方便～周围又有好多美味～总之各种喜欢～～', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置非常好，就在弥顿道，逛街、吃饭都很方便。预订的是22点入住的特价房，实际21点30分就给办入住了，总体情况不错。忘了带转换插座，服务员友好地提供了；还有免费电话可以用！  卫生方面稍显不足，快睡觉时，发现床单上有毛发，汗！不过，服务员及时给更换了被子。  总体来说服务不错！', '短评打分': 5}
{'短评内容': '商务出行，去香港一般都住这家酒店', '短评打分': 5}
{'短评内容': '房间比我想象中的大，住的是城景房', '短评打分': 5}
{'短评内容': '不错，位置很好，离地铁口很近，旁边三家商城。', '短评打分': 5}
{'短评内容': '环境、服务、品质都不错的酒店！下次去香港还会选择此酒店。', '短评打分': 5}
{'短评内容': 'N年前多次入住,重新改造后首次入住，房间好象变小了，当然，尖沙咀寸土尺金可以理解，交通方便，对面就是柏丽大道，过马路就是海港城。酒店自助早餐品种不多，胜在出品也算不错。', '短评打分': 5}
{'短评内容': '地理位置好，出门就是尖沙嘴的主要商业区，步行10分钟中就到了尖沙嘴地铁站，房间也很干净，服务不错。', '短评打分': 5}
{'短评内容': '地理位置很好,但卫生间太小,与之不相符.服务不错,尤其是移动手机很方便.', '短评打分': 5}
{'短评内容': '很好的酒店,购物,吃饭很方便,每次去香港都选这家', '短评打分': 5}
{'短评内容': '交通超级方便，干净舒适，关键是服务态度好的不得了~真心喜欢，下次去还是住Q', '短评打分': 5}
{'短评内容': '酒店服务很好，设施也不错，很喜欢。。。。门童，拿行李的服务员不给小费也非常热情，最后走的时候还是给了小费！不足的是，酒店居然没梳子，郁闷的。。。吃饭的地方偏小！总体很满意。', '短评打分': 5}
{'短评内容': '卫生还可以就是房间装修格调不是很好，位置还是很好的，价格还是比较适中。', '短评打分': 3}
{'短评内容': '酒店服务真得很不错，出门购物很方便，就是这次是元旦入住，价格稍微高了点，不过下次还会入住。', '短评打分': 5}
{'短评内容': '正好赶上装修比较吵.其它各方面都还算不错，挺正规的，而且服务比较到位.', '短评打分': 5}
{'短评内容': '位置好，出行购物挺方便，而且价格适中，性价比不错，整体来讲还是可以的.', '短评打分': 5}
{'短评内容': '价钱有点高，是圣诞去的时候预定的....本来想要住在海港城的太子酒店...不过由于慢了一步，没有订到...总体说来，和太子酒店相比地势有差，其他的都还不错...推荐住在这边，人员服务质量很不错~', '短评打分': 5}
{'短评内容': '酒店的卫生和设施条件还不错.装修比较新服务也不错.位置很好很方便出行.购物观光都很方便.综合水平不错', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;大堂还行，设施很旧，ＰＥＯＰＬＥＳ在酒店房间没信号。&amp;lt;/P&amp;gt;', '短评打分': 3}
