{'descr': '交通比较方便，但是设备设施比较老旧', 'star': 4}
{'descr': '老的酒店，设备设施比较差，但是吧台人员服务还是不错的，很热情', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '还可以性价比高', 'star': 4}
{'descr': '停车场比较小，周边比较方便', 'star': 5}
{'descr': '挺好的，房间无异味，干净并且采光好', 'star': 3}
{'descr': '强烈推荐附近一家锅盖面', 'star': 5}
{'descr': '不是太好就那样！！！', 'star': 3}
{'descr': '酒店房间比较宽敞，设备简单，周边环境不错，交通方便，到大市口和梦溪广场都可以步行就能到，价格便宜，但卫生条件一般。', 'star': 3}
{'descr': '房间比较宽敞，价格便宜，设备简单。卫生状况一般，电视很卡，基本上不能看。周边环境还不错，交通比较方便，距市中心很近，基本上步行就可以到梦溪广场和大市口。', 'star': 3}
{'descr': '酒店环境好，近大市口中心，价格个便宜，就是设施比较老旧。我会来住的。', 'star': 4}
{'descr': '地理位置还不错～周围吃的挺多～离南门大街近～房间干净，就是年代稍微久了点～有点旧～其他都不错～', 'star': 3}
{'descr': '在镇江我觉得算不错的了，又便宜装修又不错，睡的很好，算是国庆节出门比较舒心的宾馆了', 'star': 3}
{'descr': '酒店还不错，价格公道，周边配套很齐全，离市中心及周围景点很近', 'star': 3}
{'descr': '酒店设施较为简单、陈旧，不过相对国庆期间的价格还算便宜，性价比还可以。', 'star': 3}
{'descr': '环境不错，市中心，楼下免费停车场老头很负责-还干净，', 'star': 3}
{'descr': '房间大，价格公道，一切还好……地理位置不错，楼下有公交车，附近有大市口，市中心，比较方便……', 'star': 5}
{'descr': '酒店地理位置佳，到闹市区步行即达，离有名的锅盖面好再来、邵顺兴都很近，方便，去金山焦山也很方便，公交直达，以后来还会选这家', 'star': 3}
{'descr': '＋相对于价格，算是非常合适了。', 'star': 3}
{'descr': '在市中心，环境还可以，晚上逛逛夜市，走回来也不远\n', 'star': 5}
{'descr': '不错，位置好，到那儿都方便，环境也不错，下次还住那儿。', 'star': 5}
{'descr': '不错，房间够大，设施齐全，通风好有窗，服务员态度好', 'star': 5}
{'descr': '：已入住，住宿条件和卫生还可以', 'star': 3}
{'descr': '酒店干净,感觉很好,性价比高,在屋子里可观景,不错,值得推荐!', 'star': 3}
{'descr': '酒店很好，卫生和服务均不错，价格也很公道，下次去还会入住', 'star': 5}
{'descr': '挺好的，环境还不错，价格适中，卫生也好，服务有一个不行，没什么耐心，但是其他的前台还好。', 'star': 5}
{'descr': '挺干净温馨的房间，价格适中，交通方便，出门左边坐5路就可到汽车站', 'star': 5}
{'descr': '各个方面都比较满意.服务态度好，设施完善，性价比较高，交通方便，很好！... \n\n', 'star': 5}
{'descr': '在市中心交通方便，卫生好，只是设备较陈旧，三人房是套间呦，性价比好。', 'star': 5}
{'descr': '镇江京谷大厦宾馆位于闹市区中山东路5号，距公交车青云门站仅20米。宾馆为大厦9~12层，感觉挺安静。乘车至金山，焦山，北固山，南山等风景区非常方便，特别适合旅游人士选住。宾馆虽不豪华，设施也不高档，但完全能够满足客人住宿需要，价位也较合理。大堂及客房服务人员待客热情，能详细介绍旅游路线和景点，我们很满意。希望该宾馆成为其他工薪游客住宿镇江的首选。', 'star': 5}
{'descr': '酒店设施比较陈旧，但是还是相对其他酒店比较安静的。酒店往前走有个夜市，那里可以吃饭，周围还有些想永和豆浆之类的可以解决吃饭问题。性价比还可以。', 'star': 5}
{'descr': '很大的三人间，可以算套间了，设施比较简单。', 'star': 5}
{'descr': '国庆期间在京谷大厦宾馆入住3天，感觉尚可。一是交通比较方便，出门有好几路公交车可到镇江主要旅游景点。二是地段比较繁华，并且闹中有静，购物逛街都很方便。三是房间似乎是经过装修，色调很鲜亮，室内光线非常好，卫生条件也不错。总之比较满意。', 'star': 5}
{'descr': '是为着长江草莓音乐节去的，条件还可以，因为是一家比较老的酒店，重新装修过，蛮温馨的，服务也还可以，距离市中心不算远，对面是镇江日报，总体来说不错。', 'star': 5}
