{'短评内容': '非常不错，经常入住', '短评打分': 5}
{'短评内容': '早餐丰富营养', '短评打分': 5}
{'短评内容': '房间很干净，位置也不错，前台很热情，很晚了还打电话确认到店时间。', '短评打分': 5}
{'短评内容': '离山大二院一公里。卫生不错，安静，院内免费停车。', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 4}
{'短评内容': '这个家庭房性价比不高，和标准间大小一样，只是有一个床比标准间大一点，仅此而已，但是比标准间（170还是180）贵了七八十元，不合适。', '短评打分': 2}
{'短评内容': '物优价廉', '短评打分': 5}
{'短评内容': '物优价廉', '短评打分': 5}
{'短评内容': '环境好 空间打', '短评打分': 5}
{'短评内容': '交通便捷', '短评打分': 5}
{'短评内容': '住的还行 服务的不太满意', '短评打分': 4}
{'短评内容': '离医院挺近的，但也得开车!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境还行挺干净，但是洗漱用品全部需要额外付费，所以带自己用具比较好。特价房还是比较便宜，去山大二院做体检在这住还是不远的。但是周边环境就是老城，真的一般般', '短评打分': 4}
{'短评内容': '环境安静', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '停车比较方便，挺好的，下次出差还住这', '短评打分': 5}
{'短评内容': '设施环境还是比较满意的！不错不错！', '短评打分': 5}
{'短评内容': '房间不错，价格也不贵，', '短评打分': 3}
{'短评内容': '还是有点偏。。设施一般。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住房的条件和设施都很好。住的是大床房，敞亮通风。不过酒店围墙外就是立交桥，尘土飞扬的。浴室水不太热，3天都是。总的来说，性价比高', '短评打分': 5}
{'短评内容': '不错，下次还会来的。\n交通方便，机场大巴到大明湖，再打个车起步价就到了。', '短评打分': 5}
{'短评内容': '开业时间不长，卫生条件很好，服务态度也很好，没有一次性洗漱用品不方便！', '短评打分': 5}
{'短评内容': '酒店比较新，设施房间都比较新，卫生情况很好！', '短评打分': 5}
{'短评内容': '酒店在细节上都设置的非常贴心，枕头、被子都很亲肤，睡得很惬意，公交非常方便，强烈推荐。', '短评打分': 5}
{'短评内容': '酒店环境还不错吧，就是周围商场、超市忒少啦；还有就是有点贵啊，周末还要加十块钱呢', '短评打分': 5}
{'短评内容': '总得来说还可以，就是周围环境乱，开车来比较方便.可以院内停车。', '短评打分': 3}
{'短评内容': '干净卫生，交通方便。对面就是银座购物中心，方便。', '短评打分': 5}
{'短评内容': '挺好的，下次再来住。', '短评打分': 3}
{'短评内容': '价格比较合理，离汽车站很近，很方便，卫生还是比较干净的', '短评打分': 5}
{'短评内容': '环境还不错，就是离繁华地段有点远，坐公交还是很方便的。，十一住着感觉不错', '短评打分': 5}
{'短评内容': '还不错，就是有点偏。倒还干净，就是什么都付费就不太好了', '短评打分': 5}
{'短评内容': '住宿条件比较不错，而且最近办卡好象有优惠，价格也很合适~~', '短评打分': 5}
{'短评内容': '房间总体比较好，就是住的两天晚上都停电，停电以后就没有水了，而且电视信号也不好，有一整天都不能看电视', '短评打分': 5}
{'短评内容': '商务大床房，房间有点小，挺紧凑的，还不错，价位合适,服务也不错，入住时检查下被单哦，我是又让客房给换了一套新的，至于原因，我就不说了', '短评打分': 5}
{'短评内容': '与其他连锁店比，服务尚可，但没提供免费牙具；另外洗澡水热度不够，对老人和孩子相当不利。望今后能有所改善。', '短评打分': 5}
{'短评内容': '不错,地段房间价位等都可,是出差较好的选择', '短评打分': 5}
{'短评内容': '位置有点偏 但是蛮清静的 不远就是华联超市够方便 卫生比较干净 淋雨热水也蛮好用', '短评打分': 5}
{'短评内容': '还好吧，服务还可以！！！房间干净，交通方便！！！', '短评打分': 5}
{'短评内容': '卫生很好，室内设备也好，没有一次性洗漱用品，１楼的餐厅食物不是很到位，但是也对得起这个价格。另外，该酒店的最大的好处就是可以停车。有一个大院子。总的来讲，这家酒店很好', '短评打分': 5}
{'短评内容': '这家酒店设施新，服务好，价格低，我们住的非常满意！', '短评打分': 5}
{'短评内容': '预订的大床房135一间，去住的时候发现是145.后来发现是因为房间里带了电脑所以贵10块。但是事先总台没有说明。房间环境设施都不错。', '短评打分': 5}
{'短评内容': '酒店设施还可以，比较干净，交通方便。带车辆去比较方便，还有小院停车场。', '短评打分': 5}
{'短评内容': '房间宽敞、挺干净、隔音也好，附近交通便利，就这个价格而言物超所值。', '短评打分': 3}
{'短评内容': '房间整齐干净，设施齐全，卫生间很赞。唯一就是电视机太小了点。', '短评打分': 5}
{'短评内容': '网速很好、位置凑合。住的蛮舒心的、这是头一次住佳译，还是不错的。', '短评打分': 5}
{'短评内容': '大是大，宽敞也挺宽敞，环境也可以，唯一让我郁闷的就是蚊子太多了，能不能平时杀杀蚊虫之类的', '短评打分': 5}
{'短评内容': '房间很大，价格便宜，山东的连锁酒店很不错', '短评打分': 5}
{'短评内容': '房间超大，价格实惠，停车安全，山东的经济酒店不错，推荐', '短评打分': 5}
{'短评内容': '一样的舒服 安静 ！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好，挺干净，也挺安静，唯一不太满意的就是床单不太干净', '短评打分': 5}
{'短评内容': '房间宽敞，干净，住二楼或者三楼房间会更明亮。', '短评打分': 3}
{'短评内容': '不错，空间很大，就是卫生间老是有水，不知道是不是通风不好的问题', '短评打分': 5}
{'短评内容': '酒店装修的很有情调,不错，价格也合适,就是离景点有点距离，不过还好吧，做公交的时间不是很长', '短评打分': 5}
{'短评内容': '服务态度不错 也很干净的~~~门口可以免费停车，卫生间也不错。', '短评打分': 5}
{'短评内容': '感觉这家酒店真的很好 很温馨 很干净 而且价位很很便宜', '短评打分': 5}
{'短评内容': '房间大、较安静、但地址不好找！', '短评打分': 3}
{'短评内容': '酒店很干净，挺安静的，有停车场，就是电视有点小，水不大热。总体不错。', '短评打分': 3}
{'短评内容': '环境非常满意。很干净！位置有点偏！前台服务还可以吧！', '短评打分': 3}
{'短评内容': '位置比较难找，开车绕了北园两圈才找到。门口牌子太小，不像别的店那么明显，一次走过了就要绕个大圈回来。不过房间比较干净，面积也比较大，住起来还是比较舒服的。', '短评打分': 5}
{'短评内容': '服务和环境都不错  今后还会常住的 唯一的不完美的地方就是酒店中餐和晚餐不能解决 希望能有所改进', '短评打分': 5}
{'短评内容': '发表对<银座佳驿酒店（济南北园大街店）>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '银座佳驿济南北园大街店非常不错，房间很大，隔音效果很好，卫生也很好，就是电视不好。。。不过总体值得推荐。', '短评打分': 5}
{'短评内容': '服务一般情况，但是条件很好，数字电视，热水温度很好，卫生也很好！', '短评打分': 5}
