{'短评内容': '还行，比较适合', '短评打分': 4}
{'短评内容': '非常好，每次余姚出差！必住酒店！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '很好嗷！', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '家庭房，大床+小床。比周边同类型的便宜。', '短评打分': 5}
{'短评内容': '有点老旧了，但是服务不错，有个大停车场', '短评打分': 4}
{'短评内容': '不会再去了', '短评打分': 2}
{'短评内容': '很一般，好在房间便宜', '短评打分': 4}
{'短评内容': '办事情就在边上，很方便', '短评打分': 5}
{'短评内容': '有个停车场，购物也方便。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还看来', '短评打分': 5}
{'短评内容': '不错的环境', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离市中心有段距离，但宾馆内部环境挺好的，价格也合理', '短评打分': 5}
