{'短评内容': '卫生很差，有难闻的气味。工作人员素质较低，什么都不懂，办事拖沓。WIFI无信号，要求换房，结果折腾了两个小时在房间里修，最后发现修理的人完全不懂网络。对了，押金300', '短评打分': 1}
{'短评内容': '一般吧 隔音效果不行 总体来说对得起价', '短评打分': 3}
{'短评内容': '很好好好好好好好好好好', '短评打分': 3}
{'短评内容': '大房间，但不能刷卡，只能现金，设备陈旧，还可以。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '房间较大，卫生条件一般，不能刷卡，只能付现金比较不方便，周边设施还不错，两个银行还有KFC', '短评打分': 3}
{'短评内容': '挺干净', '短评打分': 5}
{'短评内容': '干净交通方便', '短评打分': 5}
{'短评内容': '交通方便！', '短评打分': 5}
{'短评内容': '卫生干净！交通方便！', '短评打分': 5}
{'短评内容': '                \n离成都市中心比较远。           \n      \n交通不是很方便。', '短评打分': 1}
{'短评内容': '很差！没有什么设施，也谈不上什么服务！还这么贵！', '短评打分': 1}
