{'短评内容': '最关键的是前台小伙子服务特好！', '短评打分': 5}
{'短评内容': '早餐很简单，就炒饭，地瓜，玉米，红薯，豆腐白菜几样，就一个工作人员。仅有的一部电梯还坏了。硬件可以，软件不行。感觉前台也不专业。', '短评打分': 4}
{'短评内容': '挺好的 就是隔音有点差', '短评打分': 5}
{'短评内容': '没吃早饭 没加床 适合带孩子 酒店位置挺好的 出门就是公交站 有停车场 隔音有点不好 其他都好', '短评打分': 5}
{'短评内容': '物美价廉还不错', '短评打分': 4}
{'短评内容': '为准不错，百年老店，你懂得！', '短评打分': 5}
{'短评内容': '有发霉的味道', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '地理位置很不好，离各个景点特别远。其次，酒店设施很差，第二天也没有人来打扫房间，热水时有时无，打了电话很久也没来修', '短评打分': 2}
{'短评内容': '手写发票，根本就报销不了，还说这个行业都是这种发票，我就是做服务业的，明天打12366投诉。', '短评打分': 2}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务台的女士态度很好，还帮我找了一个有窗户的房间，绝对好评！！！', '短评打分': 5}
{'短评内容': '酒店周边噪音小，比较适合入住，适合商务酒店。', '短评打分': 3}
{'短评内容': '周围算好的宾馆了，艺龙做了免费升级', '短评打分': 3}
{'短评内容': '酒店服务还不错   房间也挺干净  下次还来', '短评打分': 3}
{'短评内容': '很不好，房间全是蚂蚁。插座都在电视后面没法用，网络不通，无线没信号。', '短评打分': 3}
{'短评内容': '酒店整体一般,入住时不提醒早餐券的事情,就不给了,早餐什么都没有,他们从外面随便买点回来应付客人,很不好!下次一定不会再住!', '短评打分': 1}
