{'短评内容': '位置很好，离火车站很近，就是酒店设施有些陈旧了。', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '这个酒店评分底是有原因的，不要像我一样以为是个四星酒店就过去，我住的居然还是门店标价970的豪华商务间…超过100就换其他家吧', '短评打分': 1}
{'短评内容': '酒店设施很久，卫生条件很差，设备都生锈，空调也不制冷。这种设施，最多值100的房价。新疆此行最烂酒店。', '短评打分': 1}
{'短评内容': '中央空调无冷气', '短评打分': 3}
{'短评内容': '为什么酒店不是四星级却出现在携程四星级筛选排序中？？', '短评打分': 2}
{'短评内容': '酒店设施一般，房间大门都变形了，需要使劲推才能推开，卫生还行，早餐简单，不过综合来说在奎屯这个地方算好的了，但是不知为何，早上七点（新疆时间才五点）服务员拼命似的很急促的砸门，问她干什么又不砸了，没有任何解释，经她这一折腾我已全无睡意。', '短评打分': 3}
{'短评内容': '早餐一般，是整个旅程最差的，服务员的态度实在不敢恭维', '短评打分': 3}
{'短评内容': '不错的酒店，位置好早歺好', '短评打分': 5}
{'短评内容': '早餐一般，房间有烟头。', '短评打分': 3}
{'短评内容': '位置好，不错的酒店', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店比较旧，总台接待服务态度不太好', '短评打分': 2}
{'短评内容': '酒店非常干净，周边环境也好，尤其吃饭很方便！下次去还会住这，也会推荐朋友来住！', '短评打分': 5}
{'短评内容': '早上五点入住为何收取二天房费', '短评打分': 3}
{'短评内容': '晚上没热水洗澡，联系服务人员看过后就没消息了，未主动联系换房，由于已进半夜，被逼第二天换酒店。\n还要凑满50字字。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '为啥不提供早餐？如果有早餐就更好一些了。大堂的灯光再明亮些', '短评打分': 5}
{'短评内容': '能比东方国际稍好，也不怎么样。不推荐。奎屯酒店都不怎样。', '短评打分': 1}
{'短评内容': '酒店环境不错，设备也可以，就是对服务不太满意!', '短评打分': 5}
{'短评内容': '酒店有点陈旧', '短评打分': 3}
{'短评内容': '比较热情，就是热水不太热！九点多住进去的，桑拿房没有到时间就关门了', '短评打分': 5}
{'短评内容': '硬件设施还是很不错的，赞一个.就是室内空调的温度设置的太高了，造成室内外温差太大，除外比较容易感冒', '短评打分': 5}
{'短评内容': '软件较差，条件还可以，但是与海德的名称不相符，当然价格也和乌鲁木齐海德有差距，', '短评打分': 1}
{'短评内容': '酒店设施陈旧，房间面积小，服务质量差，早餐品种少，质量差。', '短评打分': 1}
{'短评内容': '价格偏高，服务一般，不像四星级酒店的档次。其他都还好。', '短评打分': 5}
{'短评内容': '  我住的是酒店的1115房。上到楼层上时前台给的磁卡根本就打不开房门。于是就让服务员开门。当服务员打开工作间门的时候我看见服务员正在给一个个的纯净水桶里加入自来水。而且退房时我并没有使用他们的非一次性用品但是全部都视为使用全部收费了', '短评打分': 1}
{'短评内容': '酒店还算不错，环境卫生，服务设施都还可以，位置也还不错，价格适中。', '短评打分': 5}
