{'descr': '前台男收银态度很一般 语气过于强硬 然后本来是预定的应该是有窗的 但开完之后上楼发现没窗  不过供暖比较足 晚上睡觉得开空调', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '环境一般', 'star': 3}
{'descr': '性价比很好！', 'star': 5}
{'descr': '666', 'star': 5}
{'descr': '房间有点小，还算卫生', 'star': 5}
{'descr': '条件一般般', 'star': 3}
{'descr': '还可以，加油', 'star': 4}
{'descr': '最糟糕的酒店。下着小雨找了很久，半天没找到。鞋子衣服背包都被打湿了，尽管有伞。还跑到小区里去找过，问了很多住户，都不知道有这酒店。后来问携程联系才知道。你他妈的外面写个甘露园快捷酒店的招牌啊？谁知道这个汗蒸会所就是酒店？里面竟然是洗浴按摩的客房。一进去，都是霉味。没牙刷，毛巾发黑。整个房间找遍了，挪开床头柜才发现一个插座。真心坑爹的地方！', 'star': 2}
{'descr': '至少五个字', 'star': 5}
{'descr': '至少五个字', 'star': 5}
{'descr': '酒店的房间里没有桌子，还是不好放东西，前台的人服务很好，下次还会住。', 'star': 5}
{'descr': '很好，每次都去住那，每年都去，很方便，服务也好，干净', 'star': 3}
{'descr': '很干净很安静，休息的好选择，好评', 'star': 5}
{'descr': '价格有点小贵', 'star': 4}
{'descr': '很干净', 'star': 5}
{'descr': '酒店发票上收款单位居然是“北京甘露园大众洗浴中心”，请各位要报销的朋友们注意了，以免闹笑话。\n基本上对得起198这个价格，房间无窗，如果仅仅睡一觉的话也无所谓。洗手间淋浴房下水极慢，马桶尚干净。\n浴巾根本没法用，也千万别用。', 'star': 1}
{'descr': '房间很宽敞，也干净。周围商场、超市、公交路线很多，相当满意这次入住。', 'star': 5}
{'descr': '挺干净的，位置很好，没有窗户也不觉得很闷，不过人比较少', 'star': 5}
{'descr': '房间新装修的 感觉不错  刚住宿时发现有的房间没有宽带  后来前台换了 顶下', 'star': 5}
{'descr': '楼下是浴池，我们的房间成了蒸包子的笼屉，太热了，我们两大人都病了，发烧了。第二天给换了一间，还可以。不过不推荐，因为一共就10间房。', 'star': 1}
{'descr': '：已入住，房间比较干净，很不错', 'star': 3}
{'descr': '卫生不错 环境也挺好 。工作人员的服务态度也不错，交通也很方便。', 'star': 5}
{'descr': '客房新装修的，很干净。', 'star': 3}
