{'短评内容': '地方很好找，酒店服务好，温泉很棒，这是一次愉快的出游！', '短评打分': 5}
{'短评内容': '环境不错嘛，早餐还可以，有停车场', '短评打分': 5}
{'短评内容': '温泉有很多汤池，可能是旺季、人挺多的、整体不错', '短评打分': 5}
{'短评内容': '不错喔、三百块钱掉在浴袍里面、打电话去的时候还在、服务员还转账给我了', '短评打分': 5}
{'短评内容': '环境很舒适，温泉干净，下次还会再来', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错吧', '短评打分': 5}
{'短评内容': '房间有些旧，就是小孩子喜欢玩水', '短评打分': 5}
{'短评内容': '不错，小朋友们喜欢', '短评打分': 5}
{'短评内容': '完了之后感觉性价比不高，而且房间卫生有待提高，不过温泉很不错！在广东省内感觉能拍得上号！', '短评打分': 4}
{'短评内容': '泡温泉的好去处', '短评打分': 5}
{'短评内容': '温泉不错，去过的温泉当中品质最好的，每年都来', '短评打分': 5}
{'短评内容': '很不錯的溫泉。十分滿意。唯一是没有公交直達', '短评打分': 5}
{'短评内容': '酒店还是一样的干净整洁。温泉服务也好。东西还是超好吃。住店还送送土窑鸡，自行车卷，脚踏船卷。唯一问题是马桶是堵的，但电话前台后很快就弄好了。赞！！！', '短评打分': 5}
